gene_transcript,gene,Non-targetting,replication,umap1,umap2,HBZ,SLC25A37,SPI1,CSF3R
10736_ZW10_P1P2_ENSG00000086827,ZW10,targeting,non-replication,4.6141486,2.0301318,0.11834972,0.10505432,0.038732577,0.05119287
10737_ZWILCH_P1P2_ENSG00000174442,ZWILCH,targeting,non-replication,0.91780597,1.1365073,-0.25502694,-0.02266136,0.017402036,-0.07407384
10738_ZWINT_P1P2_ENSG00000122952,ZWINT,targeting,non-replication,5.995524,0.05467731,-0.1143785,-0.009449663,-0.028352099,0.01328247
10746_AC118549.1_P1P2_ENSG00000036549,AC118549.1,targeting,non-replication,1.8513253,-2.1659758,0.54172504,0.04777574,-0.046194397,0.014867252
10747_non-targeting_non-targeting_non-targeting,non-targeting,non-targeting,non-replication,8.640963,-0.024229752,-0.25412083,0.06924514,0.010310618,0.026831698
10748_non-targeting_non-targeting_non-targeting,non-targeting,non-targeting,non-replication,6.4124007,-0.24346471,0.023045292,-0.0318046,-0.005504657,-0.013684855
10749_non-targeting_non-targeting_non-targeting,non-targeting,non-targeting,non-replication,8.835028,-2.0792792,0.0047885776,-0.10587913,-0.00918903,0.015610249
10750_non-targeting_non-targeting_non-targeting,non-targeting,non-targeting,non-replication,9.458372,-2.6994522,-0.07902522,0.046296578,-0.022394555,-0.037580933
10751_non-targeting_non-targeting_non-targeting,non-targeting,non-targeting,non-replication,3.9144623,0.010053718,-0.16874443,0.0013368395,-0.027516972,-0.016091809
10752_non-targeting_non-targeting_non-targeting,non-targeting,non-targeting,non-replication,6.6876516,-1.7316271,0.051816367,-0.0049117208,0.023267373,-0.0076822527
10753_non-targeting_non-targeting_non-targeting,non-targeting,non-targeting,non-replication,8.760522,0.000113224996,-0.23359105,-0.08619774,-0.018013578,0.054249015
10754_non-targeting_non-targeting_non-targeting,non-targeting,non-targeting,non-replication,6.005384,-0.9079165,0.12920779,-0.0597341,0.024349175,0.006700451
10755_non-targeting_non-targeting_non-targeting,non-targeting,non-targeting,non-replication,4.6317644,-2.3377059,0.41651142,0.11080829,0.043607935,-0.0107106045
10756_non-targeting_non-targeting_non-targeting,non-targeting,non-targeting,non-replication,7.4798574,-0.54469115,-0.12953891,-0.05495332,-0.03140571,0.027632017
10757_non-targeting_non-targeting_non-targeting,non-targeting,non-targeting,non-replication,6.2640347,-1.4213462,0.13843098,0.07099208,-0.023646375,0.014801405
10758_non-targeting_non-targeting_non-targeting,non-targeting,non-targeting,non-replication,8.8882,-0.6402925,-0.1988932,0.020089837,0.011652142,-0.013957754
10759_non-targeting_non-targeting_non-targeting,non-targeting,non-targeting,non-replication,8.799438,-0.6891098,-0.22597744,-0.103822745,0.01374699,-0.0068953317
10760_non-targeting_non-targeting_non-targeting,non-targeting,non-targeting,non-replication,7.19384,0.4131537,-0.097846046,0.0036668286,0.00051481376,0.0056698
10761_non-targeting_non-targeting_non-targeting,non-targeting,non-targeting,non-replication,7.4767385,-1.2146583,-0.19713306,-0.018503372,-0.051655553,0.020348294
10762_non-targeting_non-targeting_non-targeting,non-targeting,non-targeting,non-replication,9.210951,-0.82904756,-0.52240485,-0.08878591,-0.015100764,-0.047478013
10763_non-targeting_non-targeting_non-targeting,non-targeting,non-targeting,non-replication,7.55091,-1.5639615,-0.18435892,0.013651206,0.014973863,0.01466365
10764_non-targeting_non-targeting_non-targeting,non-targeting,non-targeting,non-replication,7.0377493,-3.1148322,0.22787511,0.037957534,-0.049396105,0.03791179
10765_non-targeting_non-targeting_non-targeting,non-targeting,non-targeting,non-replication,6.4118543,-0.94327044,-0.06300024,0.008471176,-0.029419513,-0.011500602
10766_non-targeting_non-targeting_non-targeting,non-targeting,non-targeting,non-replication,8.278626,0.7867791,-0.3265041,-0.1017053,-0.04912651,-0.03715138
10767_non-targeting_non-targeting_non-targeting,non-targeting,non-targeting,non-replication,6.1365323,-1.9618781,0.1494835,0.027022414,0.027261823,0.008153689
10768_non-targeting_non-targeting_non-targeting,non-targeting,non-targeting,non-replication,7.461589,-1.3300905,-0.0064052325,0.043396335,0.014283872,-0.052773435
10769_non-targeting_non-targeting_non-targeting,non-targeting,non-targeting,non-replication,7.649819,1.1472042,-0.47489697,-0.090362646,0.02828685,0.0074199857
10770_non-targeting_non-targeting_non-targeting,non-targeting,non-targeting,non-replication,7.057016,-0.7156757,0.05101459,0.1427658,-0.04153127,-0.017914973
10771_non-targeting_non-targeting_non-targeting,non-targeting,non-targeting,non-replication,8.415334,0.64052314,-0.46627468,-0.036847375,0.011750555,0.0038431524
10772_non-targeting_non-targeting_non-targeting,non-targeting,non-targeting,non-replication,6.4279013,-0.934649,0.032475315,0.039637603,0.012323334,0.027579049
10773_non-targeting_non-targeting_non-targeting,non-targeting,non-targeting,non-replication,6.0332556,-1.4609741,0.12504858,0.0020143404,-0.035166465,0.0040811836
10774_non-targeting_non-targeting_non-targeting,non-targeting,non-targeting,non-replication,8.541542,-2.9645727,-0.026399797,-0.043816697,-0.003787402,-0.059640504
10775_non-targeting_non-targeting_non-targeting,non-targeting,non-targeting,non-replication,8.821989,0.05901812,-0.1734689,-0.051034078,0.006270661,-0.012131212
10776_non-targeting_non-targeting_non-targeting,non-targeting,non-targeting,non-replication,5.8330317,-3.8838334,0.5606284,0.07855446,0.004482762,0.02151008
10777_non-targeting_non-targeting_non-targeting,non-targeting,non-targeting,non-replication,6.648665,-0.21308522,-0.15290265,-0.06498066,-0.013509491,-0.020356476
10778_non-targeting_non-targeting_non-targeting,non-targeting,non-targeting,non-replication,7.3417916,-0.13728857,-0.20012948,-0.09477448,-0.03618492,-0.0078328615
