gene,cd14,cd11b_rep1,cd11b_rep2,cd11b
GPI,0.570153306,1.229694831,0.944790124,1.087242477
CCNC,1.283706189,1.352638186,0.804058818,1.078348502
CDK2,0.038861148,1.080492924,1.074495845,1.077494384
SRFBP1,0.877836141,0.910288068,1.243639491,1.076963779
HSCB,0.089512928,1.051009224,1.097009876,1.07400955
ICT1,-0.174298264,1.112340262,1.033823954,1.073082108
ZMYND8,0.460673381,1.09296987,1.046803393,1.069886632
YTHDF2,-0.295508002,1.239923343,0.891094083,1.065508713
RPP40,0.354233682,1.327675456,0.794617577,1.061146516
CLNS1A,-0.420260552,1.216254831,0.905731779,1.060993305
DIMT1,0.339775505,1.195360725,0.920608613,1.057984669
ARID1A,-0.227587519,1.403048193,0.7013304,1.052189297
GTF2E1,0.2611135,1.065961691,1.030574936,1.048268313
DDX56,0.501657769,0.963774506,1.129479385,1.046626946
MRPS33,0.247027644,1.069717754,1.020887735,1.045302744
HOXA13,0.293608038,0.717402861,1.369257137,1.043329999
COG8,0.390233957,0.846092721,1.219002581,1.032547651
KPNA2,0.688647455,0.820246104,1.240080405,1.030163254
FDX1L,0.441553327,0.939488897,1.10780637,1.023647634
PRPF3,0.188159366,1.317615865,0.728775656,1.02319576
E2F1,0.359049158,0.86088335,1.185342866,1.023113108
LSM2,0.527195318,1.803418946,0.239323573,1.02137126
PBX2,0.583359668,1.094028357,0.948539213,1.021283785
NDUFB10,0.236711926,1.005941027,1.036001556,1.020971292
KIF18B,0.195712812,0.706795368,1.333645781,1.020220575
TIMELESS,0.435850748,1.115752933,0.912988557,1.014370745
EHMT1,-0.061226889,0.920774694,1.102306871,1.011540782
AKIRIN1,0.727186361,1.237027524,0.782489009,1.009758267
UBR5,-0.456993692,0.99691452,1.009294611,1.003104565
CNOT1,0.684103457,1.131716617,0.859574474,0.995645545
RIOK2,0.481291163,1.399771663,0.591083129,0.995427396
ZC3H8,-0.06416723,0.760712895,1.228432095,0.994572495
MDM4,0.201032072,1.369974457,0.618754691,0.994364574
NPM1,0.329625921,0.696692684,1.291483287,0.994087986
FCF1,0.150225982,1.143634348,0.836937036,0.990285692
MTAP,0.80632986,1.122500155,0.857536313,0.990018234
ZMIZ1,0.310300265,1.265693062,0.713269826,0.989481444
DCTN3,0.365637813,0.580621978,1.392643311,0.986632644
POP5,0.07652437,1.043507622,0.927303077,0.98540535
NDUFB2,0.241864864,1.18921564,0.766792903,0.978004271
PBRM1,0.176791818,1.010103117,0.943985497,0.977044307
RPL36A-HNRNPH2,0.329588168,1.048242433,0.90534487,0.976793651
HSD17B10,0.133289371,0.757952473,1.193608261,0.975780367
ATP6AP1,0.415384891,1.177157902,0.773355711,0.975256806
TFAM,-0.139863434,0.708450171,1.239323573,0.973886872
KIF11,-0.24363404,1.211747916,0.732000185,0.971874051
PRPF31,0.299420919,0.864190761,1.078001626,0.971096193
DPF2,0.081189609,0.992245441,0.943148112,0.967696776
PRPF38B,0.703998789,0.769453096,1.145556741,0.957504919
UTP3,0.293048286,0.939310677,0.972227475,0.955769076
RPL11,0.672059955,0.959052706,0.949489473,0.954271089
LSM7,0.242059524,0.913984361,0.99282027,0.953402315
ZNF296,0.433964388,0.956572656,0.949819258,0.953195957
NUBP1,0.310079409,1.100488132,0.80313342,0.951810776
MRPS31,-0.002176251,1.073845349,0.824314239,0.949079794
PSMA1,-0.187054561,1.346726594,0.548730694,0.947728644
MAK16,0.553061506,1.121335224,0.773166133,0.947250678
MRPS23,0.186992588,1.015240942,0.854653592,0.934947267
MED24,-0.173807149,1.074274363,0.795503128,0.934888746
ZNHIT6,0.315363262,1.150009913,0.719491464,0.934750689
ARPC4,0.298938251,0.975191689,0.892816258,0.934003973
KPNA4,0.244549277,0.701114869,1.162765216,0.931940043
UBE2E1,0.278242435,1.014272821,0.839930688,0.927101755
MRPS9,0.177466984,1.199491446,0.653840807,0.926666127
WDR46,0.695712812,0.793829262,1.048790906,0.921310084
MPHOSPH10,0.197928481,1.143600804,0.696668056,0.92013443
RPL36A,0.390057178,0.989680211,0.841244857,0.915462534
RPS8,0.333454758,0.858442942,0.955589051,0.907015996
WDR75,0.545932671,0.954290754,0.859370785,0.906830769
BYSL,0.385708088,1.009953143,0.80061982,0.905286482
UTP20,0.364975115,1.005639491,0.795085585,0.900362538
PCGF3,-0.090598001,1.177569983,0.620940996,0.899255489
MCM5,0.838864905,1.102369724,0.690623375,0.89649655
CHAF1B,0.342720487,0.742780169,1.049332267,0.896056218
RAD51C,0.960639807,1.216036678,0.57349044,0.894763559
SNRPD1,0.132708869,0.646249898,1.143001034,0.894625466
SRSF10,0.395057565,0.888048307,0.899535825,0.893792066
NDUFC2-KCTD14,0.035419474,1.143776248,0.632210257,0.887993252
KIAA1551,0.070429348,0.669535649,1.100014423,0.884775036
XPO1,0.752477285,0.698564444,1.06949573,0.884030087
SAMHD1,-0.214247091,0.987927347,0.765557283,0.876742315
PSMA4,0.525194353,0.820655054,0.927224741,0.873939898
DYNC1I2,0.18774204,-0.214281579,1.953745223,0.869731822
C9orf114,0.398329657,1.024829661,0.70391826,0.86437396
CENPE,0.348538442,1.113900711,0.614041046,0.863970879
PRRC2A,-0.08593448,1.18362743,0.530909296,0.857268363
EIF4G1,-0.234025338,1.184229993,0.523192164,0.853711078
NOP14,-0.066355842,0.904154456,0.794252332,0.849203394
DDX27,0.306188036,0.833095117,0.859760652,0.846427885
MED19,0.242673349,0.732816413,0.950482767,0.84164959
MYEOV2,0.055278962,0.682973873,0.998938341,0.840956107
PDCD10,0.450799908,0.916422003,0.765088724,0.840755363
MEF2D,0.117356543,0.976016014,0.697291441,0.836653728
CHEK2,0.005104595,0.748634025,0.923731258,0.836182642
RPS17,-0.065144809,0.641912651,1.028719034,0.835315843
INTS9,-0.519359384,0.896218458,0.774237129,0.835227794
ORC5,0.502197489,0.909757183,0.759119162,0.834438172
TMA16,0.567738145,0.654942365,1.010706981,0.832824673
TREX2,0.060863744,1.012083601,0.643966048,0.828024825
GLRX3,0.262972645,0.837615563,0.817617688,0.827616625
PRPF6,0.302984899,0.796134831,0.850519784,0.823327308
SURF6,0.588217471,0.523414933,1.122047928,0.82273143
COG3,0.438662839,1.046868323,0.589621034,0.818244678
RPS19BP1,0.321986094,0.724258013,0.911693097,0.817975555
MED14,0.277923352,0.64993401,0.974483541,0.812208775
MAML1,-0.110775627,0.795677501,0.825049001,0.810363251
ZNF496,0.130492994,1.112698162,0.507649649,0.810173905
GRSF1,0.288919374,0.912914226,0.702678964,0.807796595
IMP3,0.175344977,0.847676361,0.764617417,0.806146889
GLS,0.97070662,0.329927469,1.279034119,0.804480794
KAT7,0.044225822,0.741450005,0.866730523,0.804090264
MRPS18A,0.021659286,0.7507075,0.856444475,0.803575987
ZNF277,0.258876562,0.789011171,0.816154182,0.802582677
NRF1,-0.266130107,0.87280584,0.729234632,0.801020236
SMEK2,0.074127726,0.704412502,0.896428331,0.800420417
RRP12,0.681029654,0.606321457,0.994415771,0.800368614
AP2S1,-0.035100717,0.653724599,0.942586573,0.798155586
