gene,wang_cd14,wang_cd11b
AK2,0.183997263,-0.444788853
AK3,0.185272306,-0.097790559
AK4,-0.16215853,0.059935851
AK5,0.357182032,-0.69278775
AK6,0.012998425,0.253018792
AK7,0.308234024,-0.425821031
AK8,-0.004482503,-0.225556745
AK9,0.249512733,-0.574849587
AKAP1,-0.795543602,-0.235784503
AKAP10,0.47128813,-1.119060239
AKAP11,-0.111002964,1.10494699
AKAP12,-0.004723927,0.339102814
AKAP13,-0.266400762,-0.421386026
AKAP14,-0.007736436,0.005617129
AKAP17A,0.085059875,0.434740438
AKAP2,0.134049333,-0.126152368
AKAP3,-0.46821741,-0.567704577
AKAP4,-0.52060461,-0.469241533
AKAP5,0.340369944,0.507855446
AKAP6,-0.329355652,0.086301668
AKAP7,-0.27854664,0.411838412
AKAP8,0.155008724,0.203916142
AKAP8L,-0.296220123,-0.714150027
AKAP9,-0.491323194,-0.230619425
AKIP1,0.119784387,-0.214855668
AKIRIN1,0.618294083,0.214484171
AKIRIN2,0.641686488,-0.378261304
AKNA,0.09491836,-0.305308922
AKNAD1,-1.022156412,0.281739436
AKR1A1,-0.126310667,0.426147715
AKR1B1,-0.528358326,0.355236807
AKR1B10,0.347743187,-0.105715809
AKR1B15,-0.38418585,0.155512625
AKR1C1,0.081521185,-0.091580796
AKR1C2,-0.455428262,0.752275347
AKR1C3,0.147446609,-0.625869866
AKR1C4,0.515044572,-0.073299672
AKR1D1,-0.003879725,-0.074705619
AKR1E2,-0.299823035,-0.280240242
AKR7A2,-0.145655291,-0.266990895
AKR7A3,-0.113536158,-0.1624214
AKT1,-0.262761301,-0.060619516
AKT1S1,0.181674617,0.205061529
AKT2,-0.20040335,-0.135855975
AKT3,0.367466039,-0.148296475
AKTIP,-1.03748274,-0.178441594
ALAD,-0.2699234,0.479993086
ALAS1,0.954724503,0.379467481
ALAS2,0.229779424,-0.157619211
ALB,-0.288870233,-0.70495899
ALCAM,-0.41683955,0.145465206
ALDH16A1,-0.170677984,0.682358314
ALDH18A1,-0.075559803,-0.65410731
ALDH1A1,0.008164525,-0.675988628
ALDH1A2,-0.379701032,-1.027850684
ALDH1A3,-0.798126678,0.448950673
ALDH1B1,-0.26814174,0.398579058
ALDH1L1,-0.176427927,-0.238682801
ALDH1L2,-0.228646227,0.268906099
ALDH2,-0.066380407,0.396745698
ALDH3A1,0.292797553,-0.346608576
ALDH3A2,-0.400890195,0.096222112
ALDH3B1,-0.543312271,-0.23261808
ALDH3B2,0.281742096,0.386523888
ALDH4A1,-0.668081495,-0.753749892
ALDH5A1,-0.113692383,-0.215784068
ALDH6A1,-0.090482019,-0.691202564
ALDH7A1,-0.420541845,-0.062299434
ALDH8A1,-0.016280063,0.51601182
ALDH9A1,0.58742979,0.099227779
ALDOA,0.084437451,-0.504376834
ALDOB,-0.23429156,-0.58944773
ALDOC,-0.086813462,-0.332128276
ALG1,-0.324737693,-0.157699681
ALG10,0.447703414,0.129217942
ALG10B,-0.002849735,-0.271375895
ALG11,0.196125616,-0.654735294
ALG12,-0.359850616,1.042052549
ALG13,-0.323463582,-0.928765493
ALG14,-0.163325607,-0.618550883
ALG1L,-0.13160412,0.073469407
ALG1L2,0.571751631,0.127852401
ALG2,0.391843616,0.213070549
ALG3,-0.061485844,-0.113842366
ALG5,-0.329340039,-0.272790719
ALG6,-0.064991236,0.573381263
ALG8,0.333422338,-0.645265953
ALG9,-0.131101258,0.225726669
ALK,-0.493659491,-0.094131792
ALKBH1,0.12004241,0.001936349
ALKBH2,-0.21899532,-0.289823147
ALKBH3,-0.022366403,-0.244421125
ALKBH4,0.014370609,0.292792083
ALKBH5,0.091408629,-0.372440109
ALKBH6,-0.305837576,0.214578513
ALKBH7,-0.41056451,0.725855771
ALKBH8,-0.082791007,0.119825358
ALLC,0.240970748,-0.638082487
ALMS1,0.054415101,-0.791466391
ALOX12,0.465645357,-0.515565516
ALOX12B,-0.627217654,-0.170213584
ALOX15,-0.315253753,0.320239886
ALOX15B,-0.196450456,-0.670560659
ALOX5,-0.137478055,-0.343081088
ALOX5AP,-0.305523828,0.13098202
ALOXE3,-0.21698273,-0.801557832
ALPI,-0.048553297,-0.399430103
ALPK1,0.000682362,-0.07852028
ALPK2,0.046923929,-0.568871829
ALPK3,0.129067619,-0.007192846
ALPL,-0.521506945,-0.264553901
ALPP,-0.125066225,-0.384496564
ALPPL2,0.157773117,0.158830458
ALS2,0.076719215,0.800377062
ALS2CL,0.253975216,0.098314292
ALS2CR11,-0.222486359,0.595860838
ALS2CR12,0.006486284,-0.843338742
ALX1,0.433253307,-0.419289575
ALX3,0.309035703,-0.079512446
ALX4,0.54811855,0.439309946
ALYREF,0.237169682,0.200879032
AMACR,-0.105873611,-0.199894081
AMBN,-0.025865312,-0.295382595
AMBP,-0.226707854,0.169576905
AMBRA1,-0.039475599,0.164536199
AMD1,0.021419966,-0.697905492
AMDHD1,-0.265602075,0.559477762
AMDHD2,-0.271068361,0.173627754
AMELX,0.323727534,0.134189586
AMELY,0.01668637,0.21965835
AMER1,-0.91860757,0.174853333
AMER2,-0.162628299,0.206749818
AMER3,-0.133016461,0.658821962
AMFR,0.091646945,-0.04473487
AMH,0.19002161,-0.352975236
AMHR2,-0.062105357,0.26880819
AMICA1,0.125623207,-0.114001386
AMIGO1,0.201767248,-0.020255011
AMIGO2,0.017642634,-0.248556563
AMIGO3,0.312911889,-0.107339208
AMMECR1,0.354798407,-0.050684737
AMMECR1L,-0.269543043,-0.022521908
AMN,0.038739747,-0.281456911
AMN1,-0.080810934,-0.330334153
AMOT,0.00783474,0.120798347
AMOTL1,0.299429834,0.333401258
AMOTL2,-0.145783643,0.136298269
AMPD1,0.27768002,-0.227280873
AMPD2,-0.115222524,0.341776776
AMPD3,-0.435769537,-0.1340352
AMPH,0.043766219,-0.183723784
AMT,0.173643298,0.315416142
AMTN,-0.491536787,-0.064795056
AMY1A,0.766855307,0.354608844
AMY1B,0.59232793,0.546083047
AMY1C,0.397343914,-0.263611887
AMY2A,-0.104230104,1.333919643
AMY2B,0.243236252,-0.346367618
AMZ1,-0.466234687,0.751305302
AMZ2,-0.145998426,0.20661742
ANAPC1,-0.052613182,0.360427169
ANAPC10,0.466558205,0.283021126
ANAPC11,1.644587349,0.502023918
ANAPC13,0.781814403,-0.289604387
ANAPC15,0.221568223,0.195568437
ANAPC16,-0.459611697,-0.143619406
ANAPC2,0.023169828,0.350034858
ANAPC4,0.465558994,0.817070136
ANAPC5,0.64875832,-0.177138164
ANAPC7,-0.12867648,0.561392235
ANG,-0.282593595,0.013669747
ANGEL1,-0.842338033,-0.177846814
ANGEL2,-0.239210448,-0.4664168
ANGPT1,-0.343136678,-0.464751226
ANGPT2,0.002304032,0.64122941
ANGPT4,0.218277735,0.289978867
ANGPTL1,-0.359866491,-0.040405214
ANGPTL2,0.170050484,-0.091778135
ANGPTL3,-0.440993406,0.038145387
ANGPTL4,0.359487859,-0.122352832
ANGPTL5,-0.627946834,0.887389891
ANGPTL6,-0.619799433,-0.051680382
ANGPTL7,0.124080774,0.332415966
ANHX,0.037078452,0.117444257
ANK1,-0.244794009,0.301580613
ANK2,-0.986165722,0.546202993
ANK3,0.078176255,-0.090153773
ANKAR,-0.50755885,0.775251666
ANKDD1A,0.151076439,-1.193318867
ANKDD1B,-0.274656982,0.402699026
ANKEF1,-0.09875383,-0.2567771
ANKFN1,0.278172537,0.205053335
ANKFY1,-0.00273843,0.856822879
ANKH,-0.235155298,0.175378732
ANKHD1,-0.181718958,0.796077066
ANKHD1-EIF4EBP3,0.070698686,0.834871652
ANKIB1,-0.329249392,-0.090417714
ANKK1,-0.410783771,-0.292973134
ANKLE1,0.40079945,0.074449923
ANKLE2,-0.094062953,-0.833459095
ANKMY1,-0.438385221,0.015877766
ANKMY2,-0.712979589,0.103501293
ANKRA2,0.398993014,-0.201154461
ANKRD1,-0.094492008,-0.697371449
ANKRD10,-0.959532327,0.233789269
ANKRD11,-0.351466088,-0.717723769
ANKRD12,-0.342005746,-0.456701329
ANKRD13A,-0.249360108,-1.068491507
