logFC	AveExpr	t	P.Value	adj.P.Val	B	gene	nlogpval
UBE2H	0.870125509705542	5.70336319209404	6.40427343135598	3.68652311315124e-07	1.58813158391752e-06	5.77280354068512	UBE2H	5.79911351714708
SPRED2	1.19341282252289	4.11755091814037	6.40390837845271	3.69034456418024e-07	1.58921208438239e-06	5.96943071243786	SPRED2	5.79881814122514
PDE4DIP	1.60843652917609	3.10843694647397	6.40364339236722	3.69312099952363e-07	1.58984195002616e-06	6.17591352064293	PDE4DIP	5.79864604778221
LINC00702	4.87638515585648	-0.601249453806834	6.40245330841288	3.70561632735081e-07	1.59408685308468e-06	6.54817238062347	LINC00702	5.79748801996135
IST1	0.85584453903827	6.05557411997786	6.39884664802004	3.74374588076342e-07	1.60991716073625e-06	5.73207700263939	IST1	5.79319647027915
SLC25A24	1.47171917242318	3.24355791050464	6.39651973323288	3.76855595503066e-07	1.61943521348814e-06	6.11552482538131	SLC25A24	5.79063642152685
LONRF3	2.17247249239277	2.12016841789095	6.39553802640533	3.77907285312676e-07	1.62222634252171e-06	6.3436699045989	LONRF3	5.78988855058711
ABTB2	3.79606358868344	1.13755527270123	6.3943663307538	3.79166387044029e-07	1.62705406014887e-06	6.53929032177335	ABTB2	5.7885980170482
STARD3NL	1.09726534177076	5.33804226407457	6.39307988450356	3.80553677687004e-07	1.63242823597676e-06	5.79564518054747	STARD3NL	5.78716590187791
FAM21A	1.52811794984821	3.92634617756341	6.38614441574883	3.88121581072556e-07	1.66312296478718e-06	6.00556817624688	FAM21A	5.77907563956323
STX6	1.13501070783806	4.84010379122174	6.36862902650003	4.07917609948989e-07	1.74239710483329e-06	5.78612136432503	STX6	5.75885285921133
PLEKHH2	4.61538760535321	1.03815178571842	6.36706254741428	4.09736965965526e-07	1.74893369493786e-06	6.45086117888487	PLEKHH2	5.75722665505446
CDKN1B	1.40549618966495	3.39813671434248	6.3663430383909	4.10575368254665e-07	1.75189440453092e-06	5.9787431787638	CDKN1B	5.75649207448734
SH3BP2	1.32870229285717	4.61309716217447	6.36493480038172	4.12221321142104e-07	1.75767801520106e-06	5.71729533358333	SH3BP2	5.7550606793355
EPHA1	3.13063673504632	1.3047309587406	6.35952914893167	4.18601553987499e-07	1.78237065615859e-06	6.44552168467411	EPHA1	5.74900197640162
ITM2C	1.29416846237857	4.10426216195087	6.35136228558088	4.28430387423876e-07	1.81973889723283e-06	5.80337493226607	ITM2C	5.73999092169943
CLCN7	1.56475004992385	2.67212399955094	6.34910258775514	4.31190850607669e-07	1.83017905408748e-06	6.1007419420626	CLCN7	5.73750641934163
RRAGA	1.28447003859335	4.70180794289708	6.34020384455339	4.42237284374376e-07	1.87377919405263e-06	5.72352924756592	RRAGA	5.72728158765017
BRD2	1.11992291928076	5.37129270003081	6.33665501630237	4.46721877441164e-07	1.89211810952591e-06	5.58574785287962	BRD2	5.72305175762007
BCAP31	0.883263494080201	8.12422958193955	6.33420754205693	4.49841421527154e-07	1.90466446532544e-06	5.51990484846793	BCAP31	5.72018152061426
MT-ATP6	0.794304266099385	11.513680092995	6.32963350022742	4.55730540374832e-07	1.92825009408246e-06	5.52292056821336	MT-ATP6	5.7148366387755
SUN2	1.97718796931046	1.61944364719843	6.32919462855389	4.5629966613527e-07	1.9299833134928e-06	6.17720123570022	SUN2	5.71444644585716
ADORA3	1.08010967543367	7.00117591075711	6.3289730824237	4.5658723798203e-07	1.9305248661148e-06	5.52778746876614	ADORA3	5.71432460007625
AC079780.3	3.90832564768177	0.253340703519942	6.32848145775185	4.57226031201878e-07	1.93255054263847e-06	6.37110546727407	AC079780.3	5.71386913901277
TRIM38	1.00768054775663	5.43962008904442	6.31530627538469	4.74685302724582e-07	2.00214947656681e-06	5.54913099977869	TRIM38	5.69850350206909
PIGC	1.18262657436597	5.45988412019034	6.31478846450565	4.75385062419747e-07	2.00440231370779e-06	5.54313094481794	PIGC	5.69801510461747
OSER1	1.11780398043539	4.74728876943292	6.31438233204461	4.75934630292556e-07	2.00602053680607e-06	5.59941747522253	OSER1	5.6976646251661
IL27RA	1.33912998426925	4.21584934953599	6.31371970852906	4.76832651684995e-07	2.0087941454943e-06	5.82213091558131	IL27RA	5.69706456601757
RP11-785H5.1	1.00331812635768	5.19588912587852	6.31063720047398	4.81032753704082e-07	2.02468777480803e-06	5.56068749892203	RP11-785H5.1	5.69364193942839
SDHAF2	1.10474496064006	6.39939857890541	6.30770804374576	4.8505849128733e-07	2.0402130007188e-06	5.46672973378935	SDHAF2	5.69032448933497
RPGRIP1	4.70570632169922	0.277076617965411	6.30702276642361	4.86005210419812e-07	2.04277493966313e-06	6.29193943035424	RPGRIP1	5.68977947861794
GRIP2	2.21549736260021	1.9335490874123	6.30652174316528	4.8669855987492e-07	2.04497891425222e-06	6.18041805025981	GRIP2	5.68931116563763
ZNF333	1.21200625319021	3.91966006127413	6.30559600673033	4.87982282457093e-07	2.04894989591023e-06	5.73253518284424	ZNF333	5.68846866150889
CYB5R4	1.20764537433895	4.08331398998134	6.30437656521186	4.89678502620954e-07	2.05535884849676e-06	5.71215747312647	CYB5R4	5.68711234297697
CTC-518P12.6	1.42665675338158	4.29775625116088	6.30013459680751	4.95625475668202e-07	2.07815796294557e-06	5.67377166341545	CTC-518P12.6	5.68232144434945
PANX1	2.07016969288465	2.98057793755313	6.28907445209126	5.1147607776991e-07	2.13795233751077e-06	6.03611529489406	PANX1	5.67000198097326
C9orf16	1.26917334367686	3.81379731379928	6.28512216268439	5.17263419259106e-07	2.16065054761976e-06	5.69349842447223	C9orf16	5.66541546796758
NAB2	1.82760418263671	3.12555045556115	6.27461010326271	5.32979827767817e-07	2.22322954009595e-06	5.88397453104655	NAB2	5.65301569571277
RP11-139K1.2	3.74171529660993	0.901662062925756	6.26048705465789	5.54856136219955e-07	2.31036135765822e-06	6.16405015343021	RP11-139K1.2	5.63632008791592
IP6K2	1.03127546099994	5.21330430430106	6.26038740052843	5.55013673804845e-07	2.31036135765822e-06	5.42104523820625	IP6K2	5.63632008791592
RTN2	2.8371538456289	0.945110753238979	6.25934025642212	5.56671774928877e-07	2.31646669477797e-06	6.14835953029376	RTN2	5.6351739395265
CMTM7	1.00888910084054	5.66620536442025	6.2546376904486	5.6417987589399e-07	2.34529051123091e-06	5.34958332360081	CMTM7	5.62980335354164
CTD-2370N5.3	1.55989975882894	3.3204372458054	6.25440240937821	5.64558196462906e-07	2.3460572580349e-06	5.79720038920082	CTD-2370N5.3	5.62966139267013
NFE2L1	1.16785657354251	4.31953928638543	6.24157302169344	5.85579336087086e-07	2.42674504999652e-06	5.41783094516473	NFE2L1	5.6149758475641
PHLDB1	2.61216269527474	1.64402245247503	6.2413478200711	5.85955298439109e-07	2.42747177898379e-06	6.04164910993483	PHLDB1	5.61484581036037
KIAA0513	3.12309456420145	1.97768403915051	6.23505890305019	5.96553212551598e-07	2.46546804135481e-06	5.9819479944095	KIAA0513	5.60810062264135
MTATP6P1	0.747503538489951	10.1978514457007	6.23468404910982	5.9719097665488e-07	2.4672611841928e-06	5.2421406438431	MTATP6P1	5.60778487367622
OXR1	1.04195681529645	5.27105468875805	6.23370000806745	5.98868465151366e-07	2.47334720027191e-06	5.32045395325523	OXR1	5.60671491454117
SETX	1.09547596121422	5.54496910115594	6.23284690102523	6.00326596320242e-07	2.47767808392607e-06	5.28417142469615	SETX	5.60595512066231
LIMS3L	3.55690815693952	0.00692515804065755	6.23216411696609	6.01496190318863e-07	2.48165884727193e-06	6.1075072276057	LIMS3L	5.60525792103657
TXLNB	4.94246824515796	0.954055281117045	6.22977436729644	6.05607904573962e-07	2.49777138829227e-06	6.0952349551739	TXLNB	5.60244731349856
HTR7	3.35065722583475	1.40206879295506	6.22471023567762	6.144149785565e-07	2.53064521971144e-06	6.0873474759628	HTR7	5.59676873588543
HTR7P1	4.79518414828586	0.598984382203832	6.22268258793769	6.1797738363086e-07	2.5430741112946e-06	6.08326383497883	HTR7P1	5.59464098325437
ZC3H12C	2.1948295639804	2.39353323669224	6.22263397396503	6.18063049443635e-07	2.5430741112946e-06	5.87823014639026	ZC3H12C	5.59464098325437
TCF7L1	3.09847626497443	0.261867902900081	6.21411416552542	6.33262813966669e-07	2.60472920183911e-06	5.98825678174708	TCF7L1	5.58423742102479
TRAF6	1.56871786381646	3.14083067394551	6.21021264449335	6.40348603775123e-07	2.62940565126663e-06	5.69932961821683	TRAF6	5.58014240799158
RP11-463J10.3	2.4523958015	1.39481903127598	6.20994024355929	6.40846303056992e-07	2.63055668700565e-06	5.98680296157085	RP11-463J10.3	5.57995233496605
TBK1	1.11025087288237	4.55773175665214	6.20777916538777	6.4480861996395e-07	2.64502681701144e-06	5.34637757133368	TBK1	5.57756992044503
CLSTN1	1.1470542195069	4.61033489410737	6.20520782715692	6.49555339106754e-07	2.66269280438036e-06	5.29267631434308	CLSTN1	5.57467893534782
TEAD1	2.05253250482087	2.7817602850688	6.19925388645058	6.60682063792301e-07	2.70649784805474e-06	5.73900665256461	TEAD1	5.56759231388174
HM13	1.15927278240236	3.93926074887409	6.19886618524299	6.61413228750735e-07	2.70854872457281e-06	5.46464441074205	HM13	5.56726334740454
RP4-737E23.2	4.4741663341754	1.38686428201429	6.19565349115964	6.67503517021129e-07	2.73256429616802e-06	6.00664759465444	RP4-737E23.2	5.56342961047891
HPCAL1	1.56736803590073	4.09325625792393	6.18955625375423	6.79217934857761e-07	2.77770065215065e-06	5.34441186900358	HPCAL1	5.55631455921903
CREB3	1.43178846753783	3.78595706251151	6.18702359688114	6.84144565965541e-07	2.79407134416099e-06	5.48490558107683	CREB3	5.5537625087516
RHBDD2	2.17130139516883	2.11079244304378	6.18368820412227	6.90687719425839e-07	2.81699093116686e-06	5.78143604996187	RHBDD2	5.55021455115073
DENND6B	2.62882225286415	0.958117973010199	6.18148890531291	6.95036635764296e-07	2.83377302202956e-06	5.87044084145909	DENND6B	5.5476349385726
ANKRD10-IT1	2.59040562207151	1.44394310244709	6.17732425721951	7.03347628153859e-07	2.86572715430634e-06	5.83321982921235	ANKRD10-IT1	5.5427651611194
CSRNP2	1.73676125279549	2.8674960806442	6.17705013284478	7.03898173213227e-07	2.86700497948612e-06	5.59412345683551	CSRNP2	5.54257155275932
STX4	1.88488786918436	3.10918374334499	6.17504674165956	7.079349482155e-07	2.88247671882765e-06	5.6427009336469	STX4	5.54023419172642
LIMS3	5.92401838852722	0.371012074337784	6.16570656146528	7.27065361107105e-07	2.955397357997e-06	5.91734300809602	LIMS3	5.52938411925524
MAP3K14-AS1	2.13445105767626	2.04320641884338	6.16493117670574	7.28676727494033e-07	2.95896546288768e-06	5.72678718173857	MAP3K14-AS1	5.52886010390487
DCTN5	0.84926117885198	5.64964810280023	6.15880266751722	7.41540010686146e-07	3.01018975823987e-06	5.08307980981283	DCTN5	5.52140612621384
PPP2R2B	4.17872406130248	-1.14065798880275	6.15659077589141	7.46238608801211e-07	3.02824728541363e-06	5.88329180972358	PPP2R2B	5.51880866341715
RP11-553A21.3	4.52000300256521	-0.346480734541052	6.15547157872266	7.48627478098895e-07	3.03692293411825e-06	5.86658298973167	RP11-553A21.3	5.51756622873101
RP11-1149M10.2	2.43851093164492	3.46111922930985	6.15376470599507	7.52285560354324e-07	3.04971777750341e-06	5.77712462163801	RP11-1149M10.2	5.51574034863485
MIDN	1.81889092027805	2.49286793435906	6.1486697895971	7.6331222408091e-07	3.09294497623388e-06	5.52973832946662	MIDN	5.50962780606554
SCAND1	1.1938624243363	5.66575197504778	6.14860212068388	7.63459767292835e-07	3.09294497623388e-06	5.05476739424278	SCAND1	5.50962780606554
CTD-2619J13.8	1.62644536681693	2.76647277509059	6.14557430304184	7.70091026786174e-07	3.11772215294061e-06	5.45206451437793	CTD-2619J13.8	5.5061625911425
DUSP11	1.15280307128994	4.65389440781971	6.14149430273754	7.79118592997175e-07	3.15187480822937e-06	5.20100170348243	DUSP11	5.50143104092072
IFIT2	3.51805824902427	1.81466564792583	6.1375604777164	7.87923707798234e-07	3.1845907775773e-06	5.83258182402417	IFIT2	5.49694636692622
ZSWIM8	2.89153473544927	1.60867037443466	6.13690395589109	7.89402940766382e-07	3.18873749956346e-06	5.75281144829349	ZSWIM8	5.49638123089293
ZNF532	2.17249755116845	2.80378177965442	6.13682827301409	7.89573644386302e-07	3.18873749956346e-06	5.6049509919658	ZNF532	5.49638123089293
AGPAT4	2.39309371400374	1.56300817844483	6.13671293048035	7.89833872378111e-07	3.18873749956346e-06	5.65405428529425	AGPAT4	5.49638123089293
CAPRIN2	3.50285767729715	1.37005793381313	6.13663766818279	7.90003720658727e-07	3.18873749956346e-06	5.76798615515909	CAPRIN2	5.49638123089293
MT-TW	0.942417283203313	5.58546655862972	6.13415073301039	7.9563686543625e-07	3.21040403756054e-06	5.02485768598335	MT-TW	5.49344030708397
RP11-465L10.10	3.55792886962903	0.651134653569147	6.13157070629816	8.01523655846125e-07	3.23200191915827e-06	5.83333919488435	RP11-465L10.10	5.49052839001391
FAM122C	1.71944292042217	2.77977232718526	6.13003278875258	8.05053547625451e-07	3.24515422378934e-06	5.40068760208812	FAM122C	5.48876465881766
PFKFB4	2.60341970197369	2.66223961774659	6.12303887048897	8.21304934126759e-07	3.30625782031534e-06	5.68435922977432	PFKFB4	5.48066328337967
ODF2L	1.29751970257878	4.44011448113417	6.12023418076298	8.27914538460885e-07	3.32733106274167e-06	5.10606847982897	ODF2L	5.47790398555475
SLC15A3	2.45553783104177	2.71713091228457	6.11839563217655	8.32276367009982e-07	3.34375043731334e-06	5.61723872144696	SLC15A3	5.47576614383537
CHMP1B	1.11676635858842	4.63568635307072	6.11543963789817	8.39337853123083e-07	3.36876529374541e-06	5.06168584186662	CHMP1B	5.47252924582565
PSMG3-AS1	2.10784468543065	1.87025362330217	6.10714910640414	8.59466625075625e-07	3.44270295598813e-06	5.43343637085044	PSMG3-AS1	5.46310044756558
DUSP7	1.35818743451897	4.38242395311281	6.10332973532261	8.68902724197646e-07	3.47589813736057e-06	5.0678083471517	DUSP7	5.45893295921716
CAPN2	1.11866985178717	4.23388089150616	6.10025177553998	8.76583001406983e-07	3.50199105316141e-06	5.16006606643151	CAPN2	5.45568496778073
CHD9	1.15794278060808	6.48066816708911	6.09649690867475	8.86045005718155e-07	3.53862396508099e-06	4.84629594884138	CHD9	5.45116558558717
CAP1	0.775760468795436	8.40149373794941	6.09239885230649	8.96489302428963e-07	3.57797396065069e-06	4.82735397623376	CAP1	5.44636282441338
SAMD9L	1.64184429015851	3.79428518672509	6.08446923401002	9.17052220243508e-07	3.6576298342672e-06	5.27094558309039	SAMD9L	5.43680024885131
RP5-1031D4.2	3.77771470194475	1.83375247373622	6.08087990011688	9.26515579651575e-07	3.692939732992e-06	5.58293525136796	RP5-1031D4.2	5.43262777976916
S1PR2	1.99240671031102	2.9171658996592	6.08042301694935	9.27727199204353e-07	3.69533470624486e-06	5.42979311151699	S1PR2	5.43234621911166
HEG1	1.71310814806128	2.86608466402956	6.07925708141618	9.30826410440582e-07	3.7064594908659e-06	5.23139919729838	HEG1	5.43104074206579
NBR1	1.45872695782873	3.57278312590009	6.07717307963303	9.36391967016152e-07	3.7273928404812e-06	5.16735249188728	NBR1	5.42859483330935
RP11-257P3.3	2.65010545874361	1.4128209356675	6.07705825892588	9.36699580853096e-07	3.7273928404812e-06	5.64500008147718	RP11-257P3.3	5.42859483330935
FAM21C	1.64936898070993	3.3985190102714	6.07611483559521	9.39230944488147e-07	3.73623723183796e-06	5.2143752831095	FAM21C	5.42756555610169
NKG2-E	3.55384621417008	0.156905421578108	6.07164459540737	9.51319351258765e-07	3.78183819631482e-06	5.67319928157499	NKG2-E	5.42229705612314
TET2	1.33579921294496	4.00004268734923	6.06715171167126	9.63626913156054e-07	3.82573795147684e-06	5.09875388571532	TET2	5.41728478081295
NEMF	0.748341628192904	6.43366908298629	6.05561040420116	9.95982778890108e-07	3.95160249421285e-06	4.72969140098493	NEMF	5.40322674911795
GBP3	2.20515694939612	2.70824692536737	6.05443687393042	9.9933343624328e-07	3.96359682464108e-06	5.42070434223944	GBP3	5.40191052818744
TTL	0.993331541370496	4.61560145029584	6.05383898649275	1.00104488418471e-06	3.96908392644797e-06	4.81035434993289	TTL	5.40130971782051
ALDH1A2	4.48438284830229	-0.558196834466597	6.05314784548299	1.00302694845592e-06	3.97564006002787e-06	5.62040434218789	ALDH1A2	5.40059294193564
FGGY	1.55975540063195	3.76363585411776	6.04929977760108	1.01413497848271e-06	4.0170367838361e-06	5.10810472730928	FGGY	5.3960941914339
SLC35G2	2.32956406607693	2.53890827704695	6.04826578348116	1.01714082003874e-06	4.02762469348455e-06	5.35142507807956	SLC35G2	5.39495100513495
KLF3	1.58001172625287	3.57740558251769	6.04118811975726	1.03795804244959e-06	4.10334213383941e-06	5.16651746723046	KLF3	5.38686227034875
RP11-157I4.4	2.62101236301666	1.40295733411085	6.03900254926283	1.04447266725616e-06	4.12640017840903e-06	5.54044298711383	RP11-157I4.4	5.38442865642898
ZBED5-AS1	1.74300446024819	4.52060761438871	6.03556478687342	1.05480317699178e-06	4.16585288667673e-06	4.86015365304002	ZBED5-AS1	5.38029607083393
NF1	0.951320206664575	5.17554868039542	6.03418180292252	1.05898802273954e-06	4.18101600755993e-06	4.72944730371357	NF1	5.37871816969387
MANF	0.911392068428154	6.20188406015729	6.03392962832732	1.05975289170596e-06	4.18267114890209e-06	4.68687009596088	MANF	5.37854627929491
CHST2	1.6753124567092	3.54415961419962	6.03197123283076	1.06571185346945e-06	4.20070981720972e-06	5.1419272357077	CHST2	5.37667731825666
MT-ND4	0.786171727024218	12.2764493869184	6.02668422478102	1.08196808591737e-06	4.26201035406449e-06	4.66083599111241	MT-ND4	5.37038549955199
TXNL1	0.9342252074265	5.99440431623724	6.01683535417411	1.11291971185513e-06	4.38108049224429e-06	4.64357281462612	TXNL1	5.35841876758959
RP11-626G11.4	3.12902150068345	1.67645276813629	6.01643459377525	1.11419787136741e-06	4.38468567200553e-06	5.40044723001646	RP11-626G11.4	5.35806153475095
SLC12A6	0.794479880623406	5.98695317997107	6.01456680394781	1.12017440378998e-06	4.40677193116467e-06	4.64398500287375	SLC12A6	5.35587942546007
HLA-J	1.75926461162724	2.43737344249185	6.01085331763836	1.13215282574769e-06	4.44955548696745e-06	5.15237916180985	HLA-J	5.3516833731089
AKAP12	4.53497428035874	-0.689847675111158	6.00523253875606	1.15052930326966e-06	4.51444717862066e-06	5.46649702210684	AKAP12	5.34539542408226
MMP19	3.68909554581295	0.604948275560254	6.00444007223517	1.15314422258152e-06	4.52324091975978e-06	5.47511731941136	MMP19	5.34455027996671
WDFY3	1.23308032613325	4.13914171659339	6.00188528492543	1.16161511721253e-06	4.55351620777093e-06	4.8745832568035	WDFY3	5.34165311325901
FNDC3A	1.81143311626407	3.16952448811597	5.99642467703989	1.17993146870095e-06	4.62082547014571e-06	5.13492806379927	FNDC3A	5.33528043459406
TROVE2	0.847696548147105	6.93813908611274	5.99390438262243	1.18848300730615e-06	4.65130429217714e-06	4.54496021761969	TROVE2	5.33242524765456
RAC2	0.90883701931443	7.76135513667694	5.99221207908053	1.19426009845869e-06	4.67089251824455e-06	4.53942431125061	RAC2	5.3306001261334
RP11-83A24.2	2.13207109942553	1.75949505380347	5.98745137985788	1.21066397756612e-06	4.73352012682637e-06	5.29911302302853	RP11-83A24.2	5.32481577193183
ZMIZ1-AS1	3.6007775825505	-0.301435200336405	5.98442517504107	1.22120905194831e-06	4.77166636668597e-06	5.43635454612254	ZMIZ1-AS1	5.32132992966487
MT1X	1.0482656346909	9.49623076048801	5.98351327209241	1.22440474839118e-06	4.78260873475843e-06	4.51556700135568	MT1X	5.32033514730824
RHOBTB3	1.11454417017919	4.43747108684815	5.98266530342655	1.22738394446226e-06	4.79269864857624e-06	4.67883417417027	RHOBTB3	5.31941987736642
HSD3B7	3.04721139825383	1.63763544875082	5.98191161278506	1.2300380347047e-06	4.8015129864392e-06	5.35936623789179	HSD3B7	5.31862189218158
ADAP2	2.5818038651682	3.57558537034121	5.97688672577095	1.24788122285757e-06	4.86802407408106e-06	5.29400961310667	ADAP2	5.31264728269861
ERAP2	1.13728375860835	4.42527412713257	5.9754043296794	1.25319475617618e-06	4.88717684321235e-06	4.76142111154267	ERAP2	5.31094194567784
AHI1	1.02886789441661	5.42598107964774	5.97033291988252	1.27154564795148e-06	4.95554714520478e-06	4.54590394982502	AHI1	5.30490838779329
MAGED2	1.17022541713327	4.25644554042197	5.96995445088817	1.27292593434221e-06	4.95932927607054e-06	4.80123416460542	MAGED2	5.30457705564658
LEPR	2.34305425661377	1.766501584715	5.96939896210109	1.27495454801008e-06	4.96563404746379e-06	5.26465234380032	LEPR	5.30402528982039
SLC38A6	1.95209867968429	3.06649566339084	5.96856674251756	1.27799985757096e-06	4.9742927875414e-06	4.98757299259491	SLC38A6	5.30326865568222
LINC00963	1.32565019320869	4.17966310875108	5.96698790959446	1.28379735430463e-06	4.99462449132145e-06	4.7764329976412	LINC00963	5.3014971575836
TNIK	1.90759668114419	2.41688588826965	5.96570191754405	1.2885390902525e-06	5.01047928378712e-06	5.09786517480557	TNIK	5.30012072915306
BET1	1.2877360904668	7.50209659277954	5.95671097354149	1.32218678184725e-06	5.12977949571453e-06	4.43757281924042	BET1	5.28990130269571
RP11-733O18.1	4.0156050767089	1.92101766324368	5.95552122529357	1.32670505011208e-06	5.14565955493792e-06	5.32890868027555	RP11-733O18.1	5.28855895079238
FAM127A	1.52644760019414	3.5115737342191	5.95440703713431	1.33095045471304e-06	5.15881853058377e-06	4.78038034299706	FAM127A	5.28744974883773
TIPARP	1.84398415903488	3.22537938838678	5.95309168836372	1.33597994412702e-06	5.1683802122382e-06	4.97411606274728	TIPARP	5.28664554493496
MT-TH	0.819939181295852	5.56333589938774	5.94442011779734	1.36961947049079e-06	5.293441460367e-06	4.46160297691146	MT-TH	5.27626188537648
TRAFD1	1.22995048277709	3.77332836846185	5.94306853554122	1.37493889367911e-06	5.31060821972897e-06	4.76083007498692	TRAFD1	5.27485573666895
QSER1	1.95576889577196	2.3244319408204	5.94268366971969	1.37645740954802e-06	5.31477699838564e-06	5.06785520229302	QSER1	5.27451495322956
OVCA2	1.01374175241101	4.17308816624646	5.94099898908656	1.38312432456335e-06	5.33711334551694e-06	4.72296058830145	OVCA2	5.27269357388559
RARB	2.94065331855804	-0.0275312647322515	5.94004861357337	1.3868996433722e-06	5.34997532178738e-06	5.27112644770709	RARB	5.27164822127527
ST5	3.8323679905258	0.656838355196814	5.93890146758041	1.39147043738102e-06	5.36589667391577e-06	5.31069164072829	ST5	5.27035769438869
RP11-30B1.1	4.12044793524487	-0.139961626658057	5.92868928811536	1.43283476850302e-06	5.51486435548825e-06	5.27975600804863	RP11-30B1.1	5.25846516507101
ITGB7	3.54310640741327	0.856766639229165	5.92693949276974	1.44004545578991e-06	5.54085534515539e-06	5.26458682682333	ITGB7	5.2564231877973
MTND1P23	0.787509247627835	9.17153775221403	5.92554368938579	1.4458235557701e-06	5.56056697365471e-06	4.34959191144102	MTND1P23	5.25488092406978
VPS37B	2.20071826244125	1.70921249330899	5.92029076645197	1.46777853533513e-06	5.63323439774512e-06	5.08588274800786	VPS37B	5.24924217748303
RRAS	2.5642640946706	1.91675501436775	5.91442343878488	1.49269828539227e-06	5.72161607587324e-06	5.13689047527489	RRAS	5.24248128699277
PCSK7	1.63147269392176	2.67458270229673	5.91278190988623	1.49974609089148e-06	5.74681046417916e-06	4.86531753242729	PCSK7	5.24057312611643
RNF217	2.0531606146001	1.68866789810552	5.90771785970251	1.5216999209841e-06	5.82355811000272e-06	4.99576999048215	RNF217	5.23481158659136
MT-ND2	0.766849607586623	11.0697386753434	5.89670483991185	1.5705664788524e-06	6.0067714793277e-06	4.27788551046362	MT-ND2	5.22135888996954
CTGF	3.96529821979082	-0.601355852039953	5.89528042062509	1.57700109336337e-06	6.0294755863476e-06	5.1940977638446	CTGF	5.21972045898082
TANC1	2.27236220937462	2.06817649774669	5.89249115230997	1.58967812674291e-06	6.07218908198106e-06	4.93975401489289	TANC1	5.21665471340005
CYSLTR1	1.16244033715172	4.97547516327454	5.88866174281246	1.60724966912664e-06	6.12963386262257e-06	4.35638838213717	CYSLTR1	5.21256546613274
PTGES3L	4.22675502008238	1.32898196631667	5.88528981904642	1.62288368157676e-06	6.18535919079067e-06	5.16081394923255	PTGES3L	5.20863507533173
LINC01094	4.05797431562732	0.158248001281941	5.87582511063711	1.66758913413412e-06	6.34375860174694e-06	5.12869787564134	LINC01094	5.19765335152966
RP11-405K6.1	2.56332986960733	0.972973468379349	5.87491503832798	1.67195249513379e-06	6.35835862464298e-06	5.02622609759183	RP11-405K6.1	5.19665498061892
SEMA3D	4.33284944708999	0.223833694501025	5.86649259351472	1.71288290897795e-06	6.50175535807471e-06	5.09399658079255	SEMA3D	5.18696937575608
LRPAP1	0.778632994779513	5.85733522821002	5.86550301461454	1.71775763245673e-06	6.51821420832827e-06	4.20340060210074	LRPAP1	5.18587137139982
STRADB	1.67818468724955	2.53605904571425	5.8651156374389	1.71966967237338e-06	6.52342404557687e-06	4.70349675789341	STRADB	5.18552438988646
RP11-150O12.6	4.60272545571016	1.64948947214527	5.8629832418805	1.73023326219972e-06	6.56143926852987e-06	5.10561726338142	RP11-150O12.6	5.18300088656633
TGM2	4.04874179867907	0.619658848826563	5.86088971718946	1.74066776991423e-06	6.59894131695866e-06	5.10017462813095	TGM2	5.18052573371309
DIRC3	4.15449418527352	0.156547497233605	5.85968057805405	1.74672314285665e-06	6.61982359903173e-06	5.09787611179124	DIRC3	5.17915358321707
MYO9B	1.31317739883522	4.02059358953834	5.85916222658741	1.74932553136169e-06	6.62761059956413e-06	4.46285664007477	MYO9B	5.17864301615924
PHACTR1	3.83164131821076	0.50674430949202	5.85831207310487	1.7536021787515e-06	6.64173394837933e-06	5.0935736942969	PHACTR1	5.17771852516415
PHLDA3	2.18455383263962	2.67466919824738	5.85617431925983	1.76440253846351e-06	6.67989641809432e-06	4.90294625495974	PHLDA3	5.1752302718656
PHF20L1	1.03493776552528	4.82392292279648	5.85609942012844	1.76478215425564e-06	6.67989641809432e-06	4.28276075813723	PHF20L1	5.1752302718656
PLA2G4A	1.2994371352587	4.90967888085676	5.85377416204546	1.77660834098312e-06	6.72255707762251e-06	4.36692180295471	PLA2G4A	5.17246550172775
PARP9	1.85182390995132	3.142496613803	5.85035168210733	1.79416008159126e-06	6.78260891825549e-06	4.7643323838696	PARP9	5.16860322340971
RNF149	1.07992198222181	4.32688031940305	5.8500623033725	1.79565209287778e-06	6.78612928666897e-06	4.38950638975244	RNF149	5.16837787060424
CDS2	1.01331649107476	4.37204794451944	5.84744583268096	1.80919914751305e-06	6.83519165908693e-06	4.35745821181812	CDS2	5.16524930328828
C18orf32	1.10639225442488	5.71801457342204	5.84450139317051	1.8245672293527e-06	6.88895102726895e-06	4.17119987042761	C18orf32	5.16184690258454
TMTC1	3.93103406019635	-0.167154463973175	5.84325385001207	1.83111812593993e-06	6.90943545276286e-06	5.05283234569549	TMTC1	5.16055743594939
SFMBT2	1.24924094815743	3.54714177084837	5.84325072305084	1.83113457540786e-06	6.90943545276286e-06	4.42961519980396	SFMBT2	5.16055743594939
MT-TD	2.03073728827868	2.7541879682839	5.84284951459634	1.83324637674721e-06	6.91524763248689e-06	4.73734165218121	MT-TD	5.16019226334975
NLK	1.73144894399461	2.23450034804157	5.83307298285626	1.88546987088155e-06	7.10559667005222e-06	4.7818403456902	NLK	5.14839944769695
CTD-3074O7.5	1.89340921799352	1.76790981614465	5.82438523065203	1.9331313204706e-06	7.27291892671945e-06	4.82948255421802	CTD-3074O7.5	5.13829125360478
