Cluster,Score,Type,Gene,Symbol,Network
7,2.0,Clustered,3684,ITGAM,MyList_SUB1
7,2.0,Clustered,222487,ADGRG3,MyList_SUB1
6,1.8888888888888888,Clustered,10322,SMYD5,MyList_SUB1
6,1.8888888888888888,Clustered,283899,INO80E,MyList_SUB1
6,1.8888888888888888,Clustered,1072,CFL1,MyList_SUB1
6,1.8888888888888888,Clustered,908,CCT6A,MyList_SUB1
6,1.8888888888888888,Clustered,6944,VPS72,MyList_SUB1
6,1.8888888888888888,Clustered,9924,PAN2,MyList_SUB1
6,1.8888888888888888,Clustered,4798,NFRKB,MyList_SUB1
6,1.8888888888888888,Clustered,9470,EIF4E2,MyList_SUB1
6,1.8888888888888888,Clustered,3015,H2AZ1,MyList_SUB1
6,1.8888888888888888,Clustered,339287,MSL1,MyList_SUB1
6,1.8888888888888888,Clustered,10204,NUTF2,MyList_SUB1
6,1.8888888888888888,Clustered,10575,CCT4,MyList_SUB1
6,1.8888888888888888,Clustered,51377,UCHL5,MyList_SUB1
6,1.8888888888888888,Clustered,54617,INO80,MyList_SUB1
6,1.8888888888888888,Clustered,10525,HYOU1,MyList_SUB1
6,1.8888888888888888,Clustered,55929,DMAP1,MyList_SUB1
6,1.8888888888888888,Clustered,54891,INO80D,MyList_SUB1
6,1.8888888888888888,Seed,80314,EPC1,MyList_SUB1
9,1.25,Clustered,10959,TMED2,MyList_SUB1
9,1.25,Clustered,10113,PREB,MyList_SUB1
9,1.25,Seed,476,ATP1A1,MyList_SUB1
9,1.25,Clustered,6185,RPN2,MyList_SUB1
8,1.2,Clustered,11091,WDR5,MyList_SUB1
8,1.2,Seed,64324,NSD1,MyList_SUB1
8,1.2,Clustered,55626,AMBRA1,MyList_SUB1
8,1.2,Clustered,3609,ILF3,MyList_SUB1
8,1.2,Clustered,55884,WSB2,MyList_SUB1
10,1.0,Clustered,86,ACTL6A,MyList_SUB1
10,1.0,Clustered,54556,ING3,MyList_SUB1
10,1.0,Seed,93973,ACTR8,MyList_SUB1
11,1.0,Seed,23526,ARHGAP45,MyList_SUB1
11,1.0,Clustered,6037,RNASE3,MyList_SUB1
11,1.0,Clustered,29108,PYCARD,MyList_SUB1
12,1.0,Clustered,10621,POLR3F,MyList_SUB1
12,1.0,Clustered,9330,GTF3C3,MyList_SUB1
12,1.0,Seed,112495,GTF3C6,MyList_SUB1
13,1.0,Seed,8890,EIF2B4,MyList_SUB1
13,1.0,Clustered,8891,EIF2B3,MyList_SUB1
13,1.0,Clustered,8893,EIF2B5,MyList_SUB1
14,1.0,Clustered,60412,EXOC4,MyList_SUB1
14,1.0,Clustered,54536,EXOC6,MyList_SUB1
14,1.0,Clustered,55770,EXOC2,MyList_SUB1
15,1.0,Clustered,833,CARS1,MyList_SUB1
15,1.0,Clustered,6738,RO60,MyList_SUB1
15,1.0,Seed,5496,PPM1G,MyList_SUB1
16,1.0,Seed,1340,COX6B1,MyList_SUB1
16,1.0,Clustered,1345,COX6C,MyList_SUB1
16,1.0,Clustered,1351,COX8A,MyList_SUB1
