"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"WDR26",8.08433692723221e-60,-0.757223559732814,0.225,0.43,1.9140476108915e-55
"CYSTM1",1.03243014374027e-59,0.434286789041463,0.576,0.4,2.44438160831946e-55
"PSIP1",1.14990763284411e-59,0.3723572929114,0.66,0.427,2.72252131152172e-55
"TBCEL",2.27857401669309e-59,-0.687014860953878,0.107,0.295,5.39475184192256e-55
"CCNA2",2.33987893926988e-59,0.376460136219857,0.575,0.371,5.53989737661536e-55
"JUND",3.81164850389172e-59,0.371835887879078,0.768,0.616,9.02445899781404e-55
"MALAT1",1.1529943418961e-58,-0.794441193001119,0.986,0.958,2.7298294038732e-54
"TPX2",1.57935661394922e-58,0.266129218133277,0.673,0.417,3.73928471918617e-54
"TFDP1",1.85716720257719e-58,0.343363562239843,0.795,0.563,4.39702906882176e-54
"FAM13A",4.27988058569619e-58,-0.927357431227502,0.314,0.481,1.01330452746943e-53
"LBR",5.74320053358735e-58,0.37632831916991,0.711,0.472,1.35976015833214e-53
"SLC39A8",9.3802001234601e-58,-0.326605300133152,0.059,0.236,2.22085618123041e-53
"LDLRAD4",1.93092176330821e-57,-0.409006643123464,0.03,0.19,4.57165036680851e-53
"MDN1",2.00034208126861e-57,-0.289246957708162,0.034,0.198,4.73600991161156e-53
"MT-CO1",2.19565214059817e-57,-1.14106965233974,0.877,0.859,5.19842600808023e-53
"TMEM106C",2.57734276173716e-57,0.40051935978391,0.406,0.25,6.1021167226889e-53
"MCM6",2.76412795887111e-57,-0.2783552763668,0.033,0.197,6.54434935542325e-53
"SNHG6",3.24507172028822e-57,0.389815282022075,0.687,0.474,7.68303180495438e-53
"GGCT",5.59281941287532e-57,-0.267397579005219,0.038,0.203,1.32415592419236e-52
"ECI1",8.16578570162311e-57,0.373556006820562,0.522,0.344,1.93333142271629e-52
"NME1",9.0055870797369e-57,-0.408831651758247,0.022,0.174,2.13216279699851e-52
"SGO1",1.53523508266986e-56,0.374582847651962,0.465,0.302,3.63482258172917e-52
"TMCC2",1.91208393535757e-56,-1.04287344391403,0.086,0.255,4.52704992535258e-52
"MYL12B",1.97075178819805e-56,0.366364861640091,0.788,0.639,4.66595193373771e-52
"EIF3B",2.55120500491434e-56,-0.415729187297435,0.206,0.41,6.04023296963519e-52
"PSMA7",3.74231243939923e-56,0.344583154521842,0.891,0.666,8.86029893152162e-52
"PPP3R1",4.02832737554136e-56,-0.621876505870719,0.242,0.44,9.53746789433172e-52
"SPTLC2",6.29866691123342e-56,-0.436644394675973,0.123,0.311,1.49127237790362e-51
"RPS11",9.65991502279072e-56,-0.631202074915828,0.935,0.877,2.28708148079593e-51
"ATAD2",9.81088817586344e-56,0.254512400221489,0.678,0.42,2.32282588451743e-51
"UBR2",1.26504795992416e-55,-0.832048825014992,0.233,0.431,2.99512754991643e-51
"RANBP17",1.38906672184161e-55,-0.321406236489231,0.019,0.168,3.28875437063219e-51
"HYLS1",1.64761293986933e-55,0.285317875454218,0.26,0.126,3.90088839643462e-51
"ATG14",2.92611980651216e-55,-0.771361124394081,0.225,0.412,6.9278812538982e-51
"UBALD2",2.96110004655134e-55,0.463193326157625,0.512,0.342,7.01070047021496e-51
"RNF10",9.95898073671592e-55,-0.624781573765578,0.325,0.528,2.35788827922486e-50
"DPCD",1.29506664970683e-54,-0.339848867999901,0.036,0.194,3.06619979984588e-50
"CA2",2.23155226704801e-54,0.386092251095884,0.785,0.588,5.28342314746286e-50
"TCP11L2",2.28911022899787e-54,-0.927783806784864,0.154,0.319,5.41969737817536e-50
"TRIM59",3.29430105773433e-54,0.358759034100204,0.566,0.386,7.79958718429181e-50
"HES6",4.03501073990887e-54,0.348838902947014,0.66,0.447,9.55329142780824e-50
"H1F0",4.7857994506622e-54,0.529114186393993,0.691,0.499,1.13308587793878e-49
"HIST1H3G",9.28187004428837e-54,0.376093128869101,0.396,0.238,2.19757555168571e-49
"SNRPG",1.78630037567111e-53,0.293886379181001,0.765,0.485,4.22924476943892e-49
