,display.name,cd11b.y
229,KANSL2,-2.309254688
230,KANSL3,-1.258842294
231,KCMF1,-0.530290664
232,KCNJ2,-0.407782708
233,KHDRBS1,-0.711976913
234,KIAA0556,-0.389509131
235,KIDINS220,-0.428776622
236,KLK2,-0.424710644
237,KMT2E,-0.391379443
238,KRTAP19-1,-0.480629659
239,LARS,-0.402945026
240,LCE3E,-0.483527941
241,LEKR1,-0.574108423
242,LEO1,-2.932745442
243,LINGO1,-0.45641417
244,LMBRD1,-0.390595541
245,LUC7L3,-0.458546361
246,MAD2L2,-0.42023848
247,MAGEB2,-0.383175169
248,MAU2,-0.386178903
249,MBD3,-0.715884437
250,MBTPS2,-1.203001839
251,MEMO1,-0.772812377
252,MEN1,-0.68636495
253,MESDC2,-0.746975892
254,MFAP2,-0.387731821
255,MGAT5,-0.435984375
256,MNT,-0.430279451
257,MSL1,-0.72985509
258,MTA2,-0.461018163
259,MUSK,-0.645298233
260,MYLK2,-0.5074428
261,NAA25,-0.722529787
262,NACC2,-0.415609329
263,NAE1,-0.541612793
264,NAT6,-0.422073399
265,NBEA,-0.459602553
266,NCMAP,-0.397580313
267,NCOA6,-2.015324326
268,NCOR1,-0.411062597
269,NDC1,-0.443679907
270,NFRKB,-0.570784877
271,NIPA1,-0.501087207
272,NKTR,-0.59339174
273,NKX6-1,-0.47309912
274,NR1H2,-0.407547754
275,NRDE2,-0.786896172
276,NSD1,-0.632908662
277,NUDC,-0.870025221
278,NUDCD3,-2.149636095
279,NUDT5,-0.536058335
280,NUP153,-0.88215286
281,NUP35,-1.064423992
282,NUP43,-0.445828433
283,NUTF2,-0.558533657
284,OBSL1,-0.397732696
285,OR4D5,-0.429763306
286,OR4Q3,-0.429829769
287,OR8H3,-0.460235035
288,OSGIN1,-0.410622331
289,PAF1,-1.08593499
290,PAIP2,-0.530015009
291,PAN2,-0.592856446
292,PARM1,-0.439452222
293,PCBP1,-1.323936165
294,PCNP,-0.481124766
295,PDAP1,-0.415290347
296,PDCL,-1.105550145
297,PDE4B,-0.665552496
298,PDRG1,-0.468509553
299,PFDN2,-0.405094761
300,PGPEP1,-0.392293525
301,PHF1,-0.402354485
302,PITHD1,-0.442375402
303,PLA2G7,-0.44928934
304,PLK5,-0.406191984
305,PMM2,-0.476545253
306,POLR2B,-0.598119034
307,POLR2C,-0.437559143
308,POLR2M,-0.458488309
309,POLR3A,-0.576539306
310,POLR3F,-0.41639635
311,PPIA,-0.557036837
312,PPIE,-0.511053413
313,PPIL2,-0.497539822
314,PPM1G,-0.448965944
315,PPP1R8,-0.783215997
316,PRB2,-0.412575178
317,PRDM16,-0.569982776
318,PREB,-0.632079104
319,PRKAG1,-0.392442078
320,PRKDC,-0.541687831
321,PROK1,-0.42453161
322,PRR14L,-0.731290381
323,PUM2,-0.455682457
324,PVRL4,-0.485377594
325,PYCARD,-1.012559283
326,QARS,-0.482357315
327,QPCT,-0.470127349
328,RAN,-0.448516346
329,RANBP3,-0.610134434
330,RANGAP1,-0.649459671
331,RBBP5,-0.779550863
332,RBL1,-0.430592023
333,RBM22,-0.421815661
334,RBM26,-0.450148067
335,RBM4B,-0.51657166
336,RBM5,-0.647654766
337,RCOR3,-0.587855994
338,RCVRN,-0.384863325
339,RFPL4A,-0.437504862
340,RGS7BP,-0.411455953
341,RNASE3,-0.439577847
342,RNF40,-0.572147988
343,RPAP3,-0.554254152
344,RPL22L1,-0.512025649
345,RPN1,-0.50444748
346,RPN2,-0.766297883
347,RPP21,-1.005857144
348,RPRD2,-0.504227863
349,RQCD1,-1.135888808
350,RTCB,-0.499680325
351,RTF1,-1.200767434
352,S100B,-0.384528641
353,SAE1,-1.113800724
354,SAMD5,-0.394270826
355,SAMM50,-0.889601411
356,SAP130,-1.34290532
357,SBNO1,-0.670078515
358,SCN11A,-0.38965462
359,SCN9A,-0.434981523
360,SDHD,-0.407073629
361,SEC13,-0.474476337
362,SEC61B,-0.416365978
363,SEL1L,-0.710697295
364,SERGEF,-0.403014267
365,SERPINA11,-0.447907681
366,SETD1B,-0.912809143
367,SEZ6L,-0.526584401
368,SFPQ,-1.082253013
369,SIGLEC9,-0.51043681
370,SIN3A,-0.633498823
371,SIRT1,-0.569923989
372,SIRT6,-0.581823533
373,SLC15A1,-0.394140596
374,SLC15A4,-0.403425058
