,Symbol,canonicalName,DEGREE,Gene,id,MCODE_CLUSTER_ID,MCODE_SCORE,MCODE_TYPE,name,selected,shared.name,cd11b
51,FBXO11,FBXO11,11,80204,80204,1,5.73913043478261,Clustered,80204,false,80204,-0.778985092
52,FIP1L1,FIP1L1,18,81608,81608,4,9,Clustered,81608,false,81608,-1.098868753
53,FZR1,FZR1,4,51343,51343,3,2.65,Clustered,51343,false,51343,-0.613478175
54,GATAD2B,GATAD2B,4,57459,57459,3,2.65,Clustered,57459,false,57459,-0.903012974
55,GLMN,GLMN,10,11146,11146,1,5.73913043478261,Clustered,11146,false,11146,-0.46448444
56,GMPPB,GMPPB,4,29925,29925,3,2.65,Clustered,29925,false,29925,-0.683016752
57,GPN3,GPN3,7,51184,51184,2,3.75,Clustered,51184,false,51184,-0.502811181
58,GTF3C3,GTF3C3,2,9330,9330,12,1,Clustered,9330,false,9330,-0.764871048
59,GTF3C6,GTF3C6,2,112495,112495,12,1,Seed,112495,false,112495,-0.428798729
60,HCFC1,HCFC1,13,3054,3054,2,3.75,Clustered,3054,false,3054,-0.408360859
61,HDAC1,HDAC1,10,3065,3065,3,2.65,Clustered,3065,false,3065,-0.940740977
62,HDAC2,HDAC2,12,3066,3066,2,3.75,Clustered,3066,false,3066,-0.417965611
63,HDAC7,HDAC7,8,51564,51564,1,5.73913043478261,Clustered,51564,false,51564,-0.774453997
64,HNRNPA2B1,HNRNPA2B1,18,3181,3181,4,9,Clustered,3181,false,3181,-0.603918019
65,HSP90B1,HSP90B1,4,7184,7184,5,2.10526315789474,Clustered,7184,false,7184,-0.499296154
66,HSPE1,HSPE1,3,3336,3336,5,2.10526315789474,Clustered,3336,false,3336,-0.414455283
67,HUWE1,HUWE1,12,10075,10075,1,5.73913043478261,Clustered,10075,false,10075,-0.435915338
68,HYOU1,HYOU1,2,10525,10525,6,1.88888888888889,Clustered,10525,false,10525,-0.952573236
69,IGBP1,IGBP1,5,3476,3476,5,2.10526315789474,Clustered,3476,false,3476,-0.48248465
70,ILF3,ILF3,2,3609,3609,8,1.2,Clustered,3609,false,3609,-0.553656506
71,ING2,ING2,10,3622,3622,1,5.73913043478261,Clustered,3622,false,3622,-0.539951884
72,ING3,ING3,2,54556,54556,10,1,Clustered,54556,false,54556,-0.446381806
73,INO80,INO80,4,54617,54617,6,1.88888888888889,Clustered,54617,false,54617,-0.493781351
74,INO80D,INO80D,4,54891,54891,6,1.88888888888889,Clustered,54891,false,54891,-0.535486474
75,INO80E,INO80E,5,283899,283899,6,1.88888888888889,Clustered,283899,false,283899,-0.559236525
76,INTS3,INTS3,9,65123,65123,1,5.73913043478261,Clustered,65123,false,65123,-0.888001202
77,INTS5,INTS5,9,80789,80789,1,5.73913043478261,Clustered,80789,false,80789,-0.505829462
78,INTS6,INTS6,10,26512,26512,1,5.73913043478261,Clustered,26512,false,26512,-0.392659163
79,IPO8,IPO8,3,10526,10526,3,2.65,Clustered,10526,false,10526,-0.740252753
80,ITGAM,ITGAM,4,3684,3684,7,2,Clustered,3684,false,3684,-3.806033778
81,ITGB2,ITGB2,4,3689,3689,7,2,Clustered,3689,false,3689,-2.374042197
82,IWS1,IWS1,8,55677,55677,1,5.73913043478261,Clustered,55677,false,55677,-1.443159419
83,KANSL2,KANSL2,8,54934,54934,2,3.75,Clustered,54934,false,54934,-2.309254688
84,KANSL3,KANSL3,9,55683,55683,2,3.75,Clustered,55683,false,55683,-1.258842294
85,KMT2E,KMT2E,6,55904,55904,2,3.75,Clustered,55904,false,55904,-0.391379443
86,LEO1,LEO1,11,123169,123169,1,5.73913043478261,Clustered,123169,false,123169,-2.932745442
