Gene,Non-leukemia,Leukemia,Leukemia/Non-leukemia
NFIL3,0.033548566,0.04149777,0.007949204
NFIX,0.112030502,0.09286747,-0.019163032
NFKB1,0.126764326,0.166254495,0.039490169
NFKB2,-0.275357954,-0.276549879,-0.001191925
NFKBIA,-0.087079617,-0.084001984,0.003077633
NFKBIB,-0.27933377,-0.251260668,0.028073102
NFKBID,-0.086919311,-0.05823785,0.028681461
NFKBIE,-0.505161887,-0.5327123,-0.027550413
NFKBIL1,0.062731698,0.045157286,-0.017574412
NFKBIZ,0.05134997,0.024159897,-0.027190074
NFRKB,-0.628763927,-0.619973895,0.008790032
NFS1,-1.485901948,-1.603932723,-0.118030776
NFU1,-0.153702955,-0.090649581,0.063053374
NFX1,-0.059562367,-0.102147799,-0.042585433
NFXL1,0.113871101,0.154760218,0.040889116
NFYA,-0.360298929,-0.360842878,-0.00054395
NFYB,-0.845324012,-0.896895629,-0.051571617
NFYC,-0.987006592,-0.993704441,-0.006697849
NGB,0.117542192,0.110012202,-0.00752999
NGDN,-0.34978866,-0.413484795,-0.063696135
NGEF,0.073085216,0.005146162,-0.067939054
NGF,-0.24518799,-0.253394308,-0.008206317
NGFR,-0.274045541,-0.236048154,0.037997387
NGLY1,-0.277385432,-0.206991038,0.070394394
NGRN,-0.315409258,-0.350256079,-0.034846821
NHEJ1,-0.25941535,-0.192076971,0.067338379
NHLH1,0.079372072,0.12774856,0.048376488
NHLH2,-0.01207995,0.045355741,0.057435692
NHLRC1,-0.163427661,-0.219695265,-0.056267604
NHLRC2,-1.01711041,-0.854279764,0.162830647
NHLRC3,-0.101746234,-0.085039407,0.016706827
NHLRC4,0.019059493,0.024593703,0.00553421
NHP2,-0.941969658,-0.902801499,0.039168159
NHP2L1,-1.411889344,-1.618573825,-0.206684481
NHSL1,0.014122985,0.014886637,0.000763652
NICN1,-0.016799745,-0.026872155,-0.01007241
NID1,-0.098775124,-0.174172395,-0.07539727
NID2,0.073711674,0.076643275,0.002931602
NIF3L1,-0.150989633,-0.100094872,0.050894762
NIFK,-1.314119669,-1.26521342,0.048906249
NIM1K,-0.013807567,-0.067662399,-0.053854832
NIN,-0.002744997,0.070590891,0.073335888
NINJ1,-0.060443516,-0.041608485,0.01883503
NINJ2,0.041439907,-0.03486134,-0.076301248
NINL,0.169802695,0.177617694,0.007814999
NIP7,-1.809888154,-1.916655951,-0.106767797
NIPA1,0.097860597,0.138147329,0.040286732
NIPA2,-0.218623414,-0.246107663,-0.027484248
NIPAL1,0.133303187,0.161244694,0.027941506
NIPAL2,-0.31767923,-0.298507553,0.019171677
NIPAL3,0.029743316,0.066376067,0.036632751
NIPAL4,0.261891608,0.248513572,-0.013378036
NIPBL,-0.390101395,-0.492608525,-0.10250713
NIPSNAP1,-0.173842086,-0.172532434,0.001309652
NIPSNAP3A,0.020683231,0.083771879,0.063088648
NIPSNAP3B,-0.226310621,-0.207118676,0.019191945
NISCH,-0.410280047,-0.457218087,-0.04693804
NIT1,-0.188001704,-0.189533189,-0.001531485
