0_1,0_2,4_1,4_2,8_1,8_2,12_1,12_2,24_1,24_2,36_1,36_2,48_1,48_2,0_1,0_2,4_1,4_2,8_1,8_2,12_1,12_2,24_1,24_2,36_1,36_2,48_1,48_2
Runx2,0.00653065278145481,0.00495078696489687,0.0132130530396975,0.0136020082855225,0.0208477291815483,0.0199560518087548,0.0184536471300028,0.0196393947487498,0.0164318811753543,0.0174965148027892,0.0157579818356492,0.0158957374669423,0.0170480157611696,0.0180920448644798,0.00451085839099588,0.0071995470420956,0.00570559162307821,0.0051564971619148,-0.00299854610624723,-0.000806535062756492,-0.0131931633020645,-0.008021245899491,-0.0263319220165666,-0.0281143033979297,-0.0382721919681502,-0.0379455184173724,-0.0403457733244894,-0.0424860187958336
Fos,0.0122216594936499,0.0177141226909446,0.021308937660238,0.0224663870488174,-0.00149448456946302,-0.00420317591157746,-0.0177978235676361,-0.0147953203810876,-0.0322148318133426,-0.0427787604508861,-0.0312752645511754,-0.0327479171740221,-0.0295959539799969,-0.0307655669603875,0.00410922306072606,0.00668773934592166,0.0475589410334704,0.0470685399533167,0.0115548678178306,0.0100196575140894,0.00904181886412801,0.0103035082500599,0.00512836274240572,0.00350560485778651,-3.83885062518394e-05,0.00352951651446873,0.00089286624122633,-0.000483527049418512
Ctcfl,0.0118489700310386,0.013220843146542,0.00882579882223292,0.00765028613208101,-0.00882754236961586,-0.00457107966881926,-0.00709002109320815,-0.008311969033735,-0.0127924357418981,-0.0173132453264937,-0.0275560872656508,-0.0260575286071531,-0.0304249123226312,-0.0231393737720484,0.0101581342296953,0.00796725964033159,0.0116369103336961,0.0123810665456653,0.00981186796448951,0.00767854089002052,0.00349779703148658,0.000284733228832526,0.00276800326164455,0.0116846718420625,0.0110347201724064,0.0122045938648032,0.0125155975860393,0.0115195033580288
Spic,-0.0207404529653026,-0.0216966141242265,-0.0184174440885875,-0.0169445873288279,-0.0132094176397928,-0.0115514500981008,-0.0100778977085886,-0.00899888895616616,0.0025434799445245,0.00680937077555361,0.0131709323516149,0.0120867461696773,0.0138795562661441,0.0122666650680316,-0.0179441626680184,-0.0151205689175767,-0.0149871015347228,-0.0180814712912034,0.0104744660223342,0.00814000516716938,0.0115271137115862,0.0159408423157208,0.0139962197243211,0.0055379203559177,0.0080987433127774,0.00762452468800137,0.0254464203047518,0.0230629944078074
Smarcc1,0.00973057470356254,0.015314000050074,0.019082382649681,0.0205403192045029,-0.00050341070963505,-0.00375738906841779,-0.0158456428499527,-0.0134883224505924,-0.0284139664387726,-0.0391282424548107,-0.0259575434546618,-0.0268604081962992,-0.0263272974520203,-0.0264578510927976,0.00445209140880427,0.00586223001134312,0.0429523465454405,0.043658319683119,0.0127361200247106,0.0116222033615643,0.00848414420248531,0.00997530222166684,0.00347761459097108,2.3059220573057e-05,-0.002916035959477,0.00196238278463057,-0.00115211117713779,-0.00285751540650173
Bcl11a,-0.0165031103004224,-0.0167009852743347,-0.0115345609728027,-0.0120784033254901,-0.00331426506920258,-0.00301038377022724,-0.00129567824848939,0.000475892915905237,0.0095923529075914,0.0109373946225708,0.0189753398814427,0.0175516900922475,0.0188547068101975,0.0184537995183159,-0.0168582906882693,-0.0132980965147867,-0.00927904591585118,-0.012186422311934,0.0112216410682531,0.0101657501913058,0.00437143814781344,0.0132649287367066,0.00137350398737913,-0.00652414288289618,-0.00836790967892101,-0.00805143883500258,0.0046138828781263,0.00240815958044422
Bcl11b,-0.0165031103004224,-0.0167009852743347,-0.0115345609728027,-0.0120784033254901,-0.00331426506920258,-0.00301038377022724,-0.00129567824848939,0.000475892915905237,0.0095923529075914,0.0109373946225708,0.0189753398814427,0.0175516900922475,0.0188547068101975,0.0184537995183159,-0.0168582906882693,-0.0132980965147867,-0.00927904591585118,-0.012186422311934,0.0112216410682531,0.0101657501913058,0.00437143814781344,0.0132649287367066,0.00137350398737913,-0.00652414288289618,-0.00836790967892101,-0.00805143883500258,0.0046138828781263,0.00240815958044422
Cebpe,-0.0352051182027705,-0.0270280990732146,-0.0274561915878838,-0.0296617201162795,-0.0232534385687534,-0.0267294368483251,-0.0280756825529683,-0.028649002053201,-0.0290076170623824,-0.0386494861331269,-0.00847163934628122,-0.0118115789815437,-0.00290770210062398,-0.00348744909433108,-0.0348070836052303,-0.0331136298011763,-0.0292823366509113,-0.0305259201650934,-0.00056305788172696,-0.00723440337925589,0.0185016402749296,0.0219931716056357,0.0620827741139042,0.0573029850102004,0.0644989850390479,0.0675229918463263,0.0750096622952395,0.0718819107446416
Bach2,0.0106835843415719,0.0134372282943257,0.0154320082737476,0.0158155787696177,-0.00121228633006006,-0.00253752173473835,-0.0135726009015797,-0.0112066285289929,-0.0242843453752471,-0.0327790211314543,-0.0269566872332763,-0.0273726877513695,-0.0252632711530026,-0.0246742266588083,0.00555352313491569,0.00515117241282909,0.0340814257030032,0.0341483284144564,0.00892404077167329,0.00898118008541472,0.00861430155668582,0.00882740335293152,0.00409903581357087,0.00319098622757095,0.000353952596263182,0.00447347074581922,0.00319085915397594,0.00142304164239272
Tal1,0.00839826655349159,0.00458161403538512,0.0129662281118155,0.011697636285561,0.0190628843420274,0.0201558164546584,0.0203136301485462,0.0199982484635752,0.0197924825051605,0.0176511318081388,0.0106111306025679,0.0101401428887338,0.00863115048406331,0.0099563964248166,0.0052915969014469,0.009033307157146,0.00711485855079084,0.0043862851254683,-0.00280660721326527,-0.00228091145368196,-0.0156252387058245,-0.00869650139269171,-0.0233162521172737,-0.0281913043088947,-0.0331977628099229,-0.033539486353803,-0.0341181340451071,-0.0344840189734422
