_MEMBER_MyList,_LogP_MyList,GO,Description,_PATTERN_,_RANK_,GiniIndex
1,-5.9,ko00240,Pyrimidine metabolism,M1,1,0
1,-22,CORUM:320,"55S ribosome, mitochondrial",M1,1,0
1,-4.5,GO:0070816,phosphorylation of RNA polymerase II C-terminal domain,M1,1,0
1,-6.3,GO:0042775,mitochondrial ATP synthesis coupled electron transport,M1,1,0
1,-2.9,R-HSA-202424,Downstream TCR signaling,M1,1,0
1,-5.3,CORUM:268,9-1-1-RAD17-RFC complex,M1,1,0
1,-4.6,hsa05166,HTLV-I infection,M1,1,0
1,-4.4,GO:0031109,microtubule polymerization or depolymerization,M1,1,0
1,-2.3,WP2032,Thyroid stimulating hormone (TSH) signaling pathway,M1,1,0
1,-3.8,R-HSA-5655862,Translesion synthesis by POLK,M1,1,0
1,-3.6,R-HSA-110320,Translesion Synthesis by POLH,M1,1,0
1,-2.9,GO:0033045,regulation of sister chromatid segregation,M1,1,0
1,-5.5,GO:0000956,nuclear-transcribed mRNA catabolic process,M1,1,0
1,-2.3,GO:0016445,somatic diversification of immunoglobulins,M1,1,0
1,-5.5,R-HSA-110313,Translesion synthesis by Y family DNA polymerases bypasses lesions on DNA template,M1,1,0
1,-4,R-HSA-4608870,Asymmetric localization of PCP proteins,M1,1,0
1,-4.4,CORUM:2199,CHTF18-RFC2-5 complex,M1,1,0
1,-3.3,GO:2000779,regulation of double-strand break repair,M1,1,0
1,-5.7,GO:0000154,rRNA modification,M1,1,0
1,-19,GO:0000398,"mRNA splicing, via spliceosome",M1,1,0
1,-3.3,R-HSA-983705,Signaling by the B Cell Receptor (BCR),M1,1,0
1,-8.2,M66,PID MYC ACTIV PATHWAY,M1,1,0
1,-25,R-HSA-69620,Cell Cycle Checkpoints,M1,1,0
1,-3.5,R-HSA-6784531,tRNA processing in the nucleus,M1,1,0
1,-3.7,GO:0030330,"DNA damage response, signal transduction by p53 class mediator",M1,1,0
1,-6,R-HSA-6807878,COPI-mediated anterograde transport,M1,1,0
1,-9.6,CORUM:475,STAGA complex,M1,1,0
1,-4.5,R-HSA-8854050,FBXL7 down-regulates AURKA during mitotic entry and in early mitosis,M1,1,0
1,-3.8,CORUM:2804,CTF18-cohesion-RFC complex,M1,1,0
1,-4.4,GO:2000002,negative regulation of DNA damage checkpoint,M1,1,0
1,-5.9,WP186,Homologous recombination,M1,1,0
1,-2.7,GO:0034728,nucleosome organization,M1,1,0
1,-4.5,GO:0072711,cellular response to hydroxyurea,M1,1,0
1,-2.8,GO:0046939,nucleotide phosphorylation,M1,1,0
1,-6.2,GO:0032986,protein-DNA complex disassembly,M1,1,0
1,-4.7,GO:0034502,protein localization to chromosome,M1,1,0
1,-5.3,CORUM:274,9-1-1-RAD17-RFC complex,M1,1,0
1,-9.5,CORUM:6643,"SAGA complex, GCN5-linked",M1,1,0
1,-3.5,CORUM:7215,CCR4-NOT-CNOT8-CNOT6 complex,M1,1,0
1,-5.3,GO:0097428,protein maturation by iron-sulfur cluster transfer,M1,1,0
1,-51,R-HSA-8868773,rRNA processing in the nucleus and cytosol,M1,1,0
1,-2.6,CORUM:642,CtBP complex,M1,1,0
1,-8.1,CORUM:7581,ESR1-TRAP/Mediator coactivator-complex,M1,1,0
1,-6.9,GO:0031570,DNA integrity checkpoint signaling,M1,1,0
1,-2.3,GO:0006790,sulfur compound metabolic process,M1,1,0
1,-4.8,CORUM:1029,TFIIH transcription factor complex,M1,1,0
1,-3.7,R-HSA-2132295,MHC class II antigen presentation,M1,1,0
1,-5.7,hsa00240,Pyrimidine metabolism,M1,1,0
1,-4.5,GO:0006278,RNA-dependent DNA biosynthetic process,M1,1,0
1,-11,R-HSA-450531,Regulation of mRNA stability by proteins that bind AU-rich elements,M1,1,0
1,-11,GO:0090501,RNA phosphodiester bond hydrolysis,M1,1,0
1,-2.3,GO:1902117,positive regulation of organelle assembly,M1,1,0
1,-5.2,GO:0000076,DNA replication checkpoint signaling,M1,1,0
1,-3.3,CORUM:6657,"ATAC complex, GCN5-linked",M1,1,0
1,-7,GO:0016180,snRNA processing,M1,1,0
1,-5.3,R-HSA-71291,Metabolism of amino acids and derivatives,M1,1,0
1,-2.5,GO:0051098,regulation of binding,M1,1,0
1,-4.5,GO:0065004,protein-DNA complex assembly,M1,1,0
1,-5.4,R-HSA-6807505,RNA polymerase II transcribes snRNA genes,M1,1,0
1,-3.9,R-HSA-975957,Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC),M1,1,0
1,-12,hsa03013,RNA transport,M1,1,0
1,-4.2,GO:0045006,DNA deamination,M1,1,0
1,-2,GO:0001958,endochondral ossification,M1,1,0
1,-6.2,GO:0009060,aerobic respiration,M1,1,0
1,-6.4,WP405,Eukaryotic transcription initiation,M1,1,0
1,-4.5,R-HSA-1592230,Mitochondrial biogenesis,M1,1,0
1,-3.2,ko00230,Purine metabolism,M1,1,0
1,-2.8,CORUM:6665,"ATAC complex, YEATS2-linked",M1,1,0
1,-3.4,GO:0006096,glycolytic process,M1,1,0
1,-4.3,R-HSA-5676590,NIK-->noncanonical NF-kB signaling,M1,1,0
1,-22,GO:0006974,cellular response to DNA damage stimulus,M1,1,0
1,-21,GO:0006397,mRNA processing,M1,1,0
1,-2.5,GO:0030071,regulation of mitotic metaphase/anaphase transition,M1,1,0
1,-3.6,R-HSA-948021,Transport to the Golgi and subsequent modification,M1,1,0
1,-2.9,GO:0043928,exonucleolytic catabolism of deadenylated mRNA,M1,1,0
1,-4,WP3651,Pathways affected in adenoid cystic carcinoma,M1,1,0
1,-2.2,GO:0051153,regulation of striated muscle cell differentiation,M1,1,0
1,-4.6,GO:0015980,energy derivation by oxidation of organic compounds,M1,1,0
1,-2.8,GO:1990542,mitochondrial transmembrane transport,M1,1,0
1,-2.1,R-HSA-179409,APC-Cdc20 mediated degradation of Nek2A,M1,1,0
1,-6.6,GO:0044270,cellular nitrogen compound catabolic process,M1,1,0
1,-2.7,R-HSA-210744,Regulation of gene expression in late stage (branching morphogenesis) pancreatic bud precursor cells,M1,1,0
1,-11,GO:0034471,ncRNA 5'-end processing,M1,1,0
1,-4.6,ko05166,HTLV-I infection,M1,1,0
1,-6.5,ko00190,Oxidative phosphorylation,M1,1,0
1,-4,R-HSA-1234176,Oxygen-dependent proline hydroxylation of Hypoxia-inducible Factor Alpha,M1,1,0
1,-2.9,R-HSA-72086,mRNA Capping,M1,1,0
1,-2.7,R-HSA-113418,Formation of the Early Elongation Complex,M1,1,0
1,-11,GO:0033750,ribosome localization,M1,1,0
1,-9.1,hsa03420,Nucleotide excision repair,M1,1,0
1,-5.3,GO:0043487,regulation of RNA stability,M1,1,0
1,-3.5,R-HSA-6804115,TP53 regulates transcription of additional cell cycle genes whose exact role in the p53 pathway remain uncertain,M1,1,0
1,-4.8,CORUM:3525,Tetrameric COG subcomplex,M1,1,0
1,-2.2,GO:1902749,regulation of cell cycle G2/M phase transition,M1,1,0
1,-2.5,R-HSA-3232142,SUMOylation of ubiquitinylation proteins,M1,1,0
1,-6.5,GO:0000723,telomere maintenance,M1,1,0
1,-2.6,R-HSA-2644602,Signaling by NOTCH1 PEST Domain Mutants in Cancer,M1,1,0
1,-2.2,GO:1901985,positive regulation of protein acetylation,M1,1,0
1,-5.6,GO:0032200,telomere organization,M1,1,0
1,-3.7,GO:1901976,regulation of cell cycle checkpoint,M1,1,0
1,-4.2,GO:0007093,mitotic cell cycle checkpoint signaling,M1,1,0
1,-4.9,hsa03440,Homologous recombination,M1,1,0
1,-7.5,GO:0071028,nuclear mRNA surveillance,M1,1,0
1,-4.6,GO:0071479,cellular response to ionizing radiation,M1,1,0
1,-2.5,GO:0051382,kinetochore assembly,M1,1,0
1,-3.7,R-HSA-180746,Nuclear import of Rev protein,M1,1,0
1,-2.7,CORUM:739,SIN3-ING1b complex II,M1,1,0
1,-9.9,GO:0071051,polyadenylation-dependent snoRNA 3'-end processing,M1,1,0
1,-4.1,R-HSA-674695,RNA Polymerase II Pre-transcription Events,M1,1,0
1,-7.1,R-HSA-6791312,TP53 Regulates Transcription of Cell Cycle Genes,M1,1,0
1,-2.6,GO:0007219,Notch signaling pathway,M1,1,0
1,-4.6,WP1530,miRNA regulation of DNA damage response,M1,1,0
1,-3.6,M84,PID ATM PATHWAY,M1,1,0
1,-4.3,R-HSA-5689603,UCH proteinases,M1,1,0
1,-4.4,CORUM:270,RAD17-RFC complex,M1,1,0
1,-5.7,R-HSA-5687128,MAPK6/MAPK4 signaling,M1,1,0
1,-4.9,WP1541,Energy metabolism,M1,1,0
1,-25,R-HSA-5419276,Mitochondrial translation termination,M1,1,0
1,-4.8,CORUM:819,20S methylosome-SmD complex,M1,1,0
1,-4.4,GO:0071033,nuclear retention of pre-mRNA at the site of transcription,M1,1,0
1,-4,GO:0050686,negative regulation of mRNA processing,M1,1,0
1,-2.8,GO:0009179,purine ribonucleoside diphosphate metabolic process,M1,1,0
1,-2.2,R-HSA-9675136,Diseases of DNA Double-Strand Break Repair,M1,1,0
1,-2.5,R-HSA-8864260,Transcriptional regulation by the AP-2 (TFAP2) family of transcription factors,M1,1,0
1,-15,WP411,mRNA processing,M1,1,0
1,-5.3,hsa00190,Oxidative phosphorylation,M1,1,0
1,-5.7,GO:0044154,histone H3-K14 acetylation,M1,1,0
1,-2.5,GO:2001251,negative regulation of chromosome organization,M1,1,0
1,-4.5,GO:0045931,positive regulation of mitotic cell cycle,M1,1,0
1,-3.3,R-HSA-913531,Interferon Signaling,M1,1,0
1,-2.4,hsa00310,Lysine degradation,M1,1,0
1,-8.7,R-HSA-69183,Processive synthesis on the lagging strand,M1,1,0
1,-2.7,R-HSA-5693568,Resolution of D-loop Structures through Holliday Junction Intermediates,M1,1,0
1,-16,GO:0140694,non-membrane-bounded organelle assembly,M1,1,0
1,-6,GO:0007052,mitotic spindle organization,M1,1,0
1,-25,R-HSA-5368286,Mitochondrial translation initiation,M1,1,0
1,-19,GO:0000462,"maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",M1,1,0
1,-6.8,R-HSA-110373,Resolution of AP sites via the multiple-nucleotide patch replacement pathway,M1,1,0
1,-7.1,CORUM:1108,DNA synthesome complex (15 subunits),M1,1,0
1,-2.4,GO:1902099,regulation of metaphase/anaphase transition of cell cycle,M1,1,0
1,-2.1,GO:0060348,bone development,M1,1,0
1,-4.8,GO:0001701,in utero embryonic development,M1,1,0
1,-4.7,CORUM:803,BRG1-SIN3A-HDAC containing SWI/SNF remodeling complex I,M1,1,0
1,-2.8,GO:1904874,positive regulation of telomerase RNA localization to Cajal body,M1,1,0
1,-11,R-HSA-174417,Telomere C-strand (Lagging Strand) Synthesis,M1,1,0
1,-11,R-HSA-1989781,PPARA activates gene expression,M1,1,0
1,-2,R-HSA-446652,Interleukin-1 family signaling,M1,1,0
1,-3,WP1971,Integrated cancer pathway,M1,1,0
1,-14,R-HSA-72163,mRNA Splicing - Major Pathway,M1,1,0
1,-3.2,GO:0045930,negative regulation of mitotic cell cycle,M1,1,0
1,-3.6,GO:0090672,telomerase RNA localization,M1,1,0
1,-3,GO:0016574,histone ubiquitination,M1,1,0
1,-4.4,R-HSA-157118,Signaling by NOTCH,M1,1,0
1,-5.3,CORUM:3522,COG complex,M1,1,0
1,-5.6,GO:0000480,"endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",M1,1,0
1,-11,GO:0071428,rRNA-containing ribonucleoprotein complex export from nucleus,M1,1,0
1,-2.4,GO:0010035,response to inorganic substance,M1,1,0
1,-8.9,GO:0051054,positive regulation of DNA metabolic process,M1,1,0
1,-59,GO:0034660,ncRNA metabolic process,M1,1,0
1,-3.8,CORUM:3063,Brg1-associated complex II,M1,1,0
1,-2.8,GO:0043650,dicarboxylic acid biosynthetic process,M1,1,0
1,-5.1,CORUM:807,BRG1-associated complex,M1,1,0
1,-16,ko03030,DNA replication,M1,1,0
1,-2.7,R-HSA-167158,Formation of the HIV-1 Early Elongation Complex,M1,1,0
1,-2.3,GO:0031331,positive regulation of cellular catabolic process,M1,1,0
1,-2.7,R-HSA-168274,Export of Viral Ribonucleoproteins from Nucleus,M1,1,0
1,-8.4,CORUM:867,TRAP-SMCC mediator complex,M1,1,0
1,-21,WP466,DNA replication,M1,1,0
1,-9.2,R-HSA-6782210,Gap-filling DNA repair synthesis and ligation in TC-NER,M1,1,0
1,-3.5,WP3875,ATR signaling,M1,1,0
1,-3.6,GO:0071482,cellular response to light stimulus,M1,1,0
1,-3.7,hsa04919,thyroid hormone signaling pathway,M1,1,0
1,-88,GO:0022613,ribonucleoprotein complex biogenesis,M1,1,0
1,-4.5,R-HSA-159236,Transport of Mature mRNA derived from an Intron-Containing Transcript,M1,1,0
1,-2.4,GO:0070507,regulation of microtubule cytoskeleton organization,M1,1,0
1,-5.3,CORUM:3556,COG complex,M1,1,0
1,-2.2,R-HSA-167200,Formation of HIV-1 elongation complex containing HIV-1 Tat,M1,1,0
1,-3,R-HSA-167160,RNA Pol II CTD phosphorylation and interaction with CE during HIV infection,M1,1,0
1,-8.7,R-HSA-6799198,Complex I biogenesis,M1,1,0
1,-2.7,hsa04115,p53 signaling pathway,M1,1,0
1,-4.4,GO:0000967,rRNA 5'-end processing,M1,1,0
1,-10,GO:0000966,RNA 5'-end processing,M1,1,0
1,-3.2,GO:2000045,regulation of G1/S transition of mitotic cell cycle,M1,1,0
1,-2.1,R-HSA-1980143,Signaling by NOTCH1,M1,1,0
1,-2.9,GO:0051147,regulation of muscle cell differentiation,M1,1,0
1,-4.8,CORUM:2200,RFC2-5 subcomplex,M1,1,0
1,-6.2,GO:0071478,cellular response to radiation,M1,1,0
1,-6.1,GO:0051236,establishment of RNA localization,M1,1,0
1,-5.4,GO:0000027,ribosomal large subunit assembly,M1,1,0
1,-2.4,GO:0070734,histone H3-K27 methylation,M1,1,0
1,-70,GO:0016072,rRNA metabolic process,M1,1,0
1,-9.2,R-HSA-5693567,HDR through Homologous Recombination (HRR) or Single Strand Annealing (SSA),M1,1,0
1,-4.7,CORUM:7372,BRD7-SWIu2013SNF complex,M1,1,0
1,-5.3,GO:1901977,negative regulation of cell cycle checkpoint,M1,1,0
1,-5.6,M151,PID AR TF PATHWAY,M1,1,0
1,-3.1,R-HSA-9616222,Transcriptional regulation of granulopoiesis,M1,1,0
1,-2.7,R-HSA-194315,Signaling by Rho GTPases,M1,1,0
1,-8.5,GO:0090068,positive regulation of cell cycle process,M1,1,0
1,-2,GO:0043984,histone H4-K16 acetylation,M1,1,0
1,-7.9,GO:0006401,RNA catabolic process,M1,1,0
1,-5.5,CORUM:194,PA28gamma-20S proteasome,M1,1,0
1,-3.3,GO:0046785,microtubule polymerization,M1,1,0
1,-12,GO:0140053,mitochondrial gene expression,M1,1,0
1,-3.8,R-HSA-73884,Base Excision Repair,M1,1,0
1,-13,R-HSA-453274,Mitotic G2-G2/M phases,M1,1,0
1,-2.3,GO:0045840,positive regulation of mitotic nuclear division,M1,1,0
1,-6,M288,PID HES HEY PATHWAY,M1,1,0
1,-3.8,GO:0040031,snRNA modification,M1,1,0
1,-4.4,R-HSA-5362768,Hh mutants are degraded by ERAD,M1,1,0
1,-19,GO:0006412,translation,M1,1,0
1,-2.2,R-HSA-8951664,Neddylation,M1,1,0
1,-2.2,R-HSA-201681,TCF dependent signaling in response to WNT,M1,1,0
1,-3.1,R-HSA-69273,Cyclin A/B1/B2 associated events during G2/M transition,M1,1,0
1,-24,GO:0006261,DNA-dependent DNA replication,M1,1,0
1,-26,R-HSA-69239,Synthesis of DNA,M1,1,0
1,-4.2,M2,PID SMAD2 3NUCLEAR PATHWAY,M1,1,0
1,-2,GO:0021872,forebrain generation of neurons,M1,1,0
1,-3.5,CORUM:7214,CCR4-NOT-CNOT7-CNOT6L complex,M1,1,0
1,-2.8,M1529,SA G1 AND S PHASES,M1,1,0
1,-4.6,GO:0007080,mitotic metaphase plate congression,M1,1,0
1,-6.7,R-HSA-163200,"Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins.",M1,1,0
1,-3.4,GO:0032434,regulation of proteasomal ubiquitin-dependent protein catabolic process,M1,1,0
1,-2.7,R-HSA-983168,Antigen processing: Ubiquitination & Proteasome degradation,M1,1,0
1,-3.1,CORUM:300,PC2 complex,M1,1,0
1,-4.2,GO:0006606,protein import into nucleus,M1,1,0
1,-6.1,R-HSA-3214847,HATs acetylate histones,M1,1,0
1,-4.9,R-HSA-167161,HIV Transcription Initiation,M1,1,0
1,-3.8,CORUM:561,LSm1-7 complex,M1,1,0
1,-5.2,GO:0002181,cytoplasmic translation,M1,1,0
1,-5.3,hsa05012,Parkinson's disease,M1,1,0
1,-2.4,GO:0051983,regulation of chromosome segregation,M1,1,0
1,-2.2,GO:0051259,protein complex oligomerization,M1,1,0
1,-7.5,GO:0010257,NADH dehydrogenase complex assembly,M1,1,0
1,-4.5,WP3959,DNA IR-double strand breaks and cellular response via ATM,M1,1,0
1,-3.9,GO:0071407,cellular response to organic cyclic compound,M1,1,0
1,-2.1,GO:0009895,negative regulation of catabolic process,M1,1,0
1,-3.6,GO:0000082,G1/S transition of mitotic cell cycle,M1,1,0
1,-4.1,CORUM:2797,PCNA-CHL12-RFC2-5 complex,M1,1,0
1,-2.4,WP391,Mitochondrial gene expression,M1,1,0
1,-2.2,GO:0048872,homeostasis of number of cells,M1,1,0
1,-5.6,R-HSA-1852241,Organelle biogenesis and maintenance,M1,1,0
1,-2.9,M258,PID BARD1 PATHWAY,M1,1,0
1,-6.7,R-HSA-194441,Metabolism of non-coding RNA,M1,1,0
1,-5.2,GO:0006338,chromatin remodeling,M1,1,0
1,-2.8,GO:0008652,cellular amino acid biosynthetic process,M1,1,0
1,-6.3,GO:0034427,"nuclear-transcribed mRNA catabolic process, exonucleolytic, 3'-5'",M1,1,0
1,-3.7,GO:1904872,regulation of telomerase RNA localization to Cajal body,M1,1,0
1,-3.6,GO:0072332,intrinsic apoptotic signaling pathway by p53 class mediator,M1,1,0
1,-4.4,CORUM:266,RAD17-RFC complex,M1,1,0
1,-27,GO:0016071,mRNA metabolic process,M1,1,0
1,-3.7,GO:0007549,dosage compensation,M1,1,0
1,-6.3,CORUM:1183,CDC5L complex,M1,1,0
1,-7.3,GO:2000036,regulation of stem cell population maintenance,M1,1,0
1,-5.2,R-HSA-450385,Butyrate Response Factor 1 (BRF1) binds and destabilizes mRNA,M1,1,0
1,-5.2,R-HSA-187577,SCF(Skp2)-mediated degradation of p27/p21,M1,1,0
1,-44,R-HSA-1640170,Cell Cycle,M1,1,0
1,-2.1,GO:0018027,peptidyl-lysine dimethylation,M1,1,0
1,-4.8,GO:0000959,mitochondrial RNA metabolic process,M1,1,0
1,-9.1,R-HSA-6782135,Dual incision in TC-NER,M1,1,0
1,-6.5,GO:0098813,nuclear chromosome segregation,M1,1,0
1,-4.6,GO:0006413,translational initiation,M1,1,0
