,Ung,Rrm2,Aurka,Spi1,lambda,bc
2792,0.2628304,1.0937666,1.05589,4.343059,0.0,BRQ 0h
2793,1.0240657,7.5011883,0.7089863,2.5362623,6.62185363041309,BRQ 12h
2794,0.03754924,1.1070099,2.3845317,2.2328413,15.598953072113199,BRQ 0h
2795,0.022933094,0.6987562,3.1496162,9.976339,14.7825137825055,BRQ 48h
2796,1.877081,0.9680591,0.2741053,4.3099074,2.12247658297252,BRQ 0h
2797,0.044267513,3.3924165,1.7570558,3.140229,14.0650823398209,BRQ 0h
2798,0.34956574,1.4108564,0.73594993,3.531898,0.0,BRQ 0h
2799,0.4579632,0.70046955,0.5897759,8.297724,1.1290171681131398,BRQ 24h
2800,0.010615777,2.6559668,2.5123265,4.338809,15.1813187261667,BRQ 0h
2801,0.5129158,9.393348,0.25011998,1.6508977,7.2048672576237305,BRQ 12h
2802,0.09461385,1.4275385,1.7519976,7.319801,12.165626897532698,BRQ 24h
2803,0.087813966,4.4083505,0.79815537,3.5256891,10.260367594922,BRQ 12h
2804,0.14597218,4.1550155,1.4630053,6.055828,12.3902971093531,BRQ 24h
2805,0.044228286,2.068062,1.7855189,7.8494897,12.531980974408699,BRQ 24h
2806,0.09268702,2.729154,1.229959,7.3136377,12.787638352629001,BRQ 24h
2807,0.08035618,2.5039854,2.6937656,7.113999,14.044221941924,BRQ 24h
2808,0.29391497,1.275154,0.8135811,4.779792,0.0,BRQ 0h
2809,2.4288588,4.303071,0.2162732,3.331531,3.87028075455416,BRQ 0h
2810,0.10618924,2.8037226,1.4302807,8.823517,12.845895980985599,BRQ 24h
2811,0.0,1.1181322,3.0823832,8.576684,14.654026682509699,BRQ 24h
2812,0.041755162,3.1313095,2.303896,7.830151,12.211960408694198,BRQ 24h
2813,0.5514432,0.93125176,0.82822895,4.4678054,0.6759032142242739,BRQ 0h
2814,0.5177746,9.076823,0.71190107,2.4471183,8.10374857236062,BRQ 12h
2815,0.045445643,2.8174675,1.8026145,3.7834227,13.0221132363374,BRQ 24h
2816,3.123136,5.887468,0.15600586,2.46677,3.0503045749807995,BRQ 0h
2817,0.013437483,2.4985201,1.5919036,8.6592455,12.050523711463699,BRQ 24h
2818,1.263309,8.883896,0.5295429,2.086549,6.7349241143718395,BRQ 0h
2819,1.0318397,9.284053,0.39782965,2.5956273,6.76508334881955,BRQ 0h
2820,3.121582,7.0867424,0.20814368,2.3480053,4.2794535760963,BRQ 0h
