,Ung,Rrm2,Aurka,Spi1,lambda,bc
3906,0.0,0.56903493,0.108394995,0.4751572,6.518703626103701,BRQ 12h
3907,0.0,0.49518433,0.06901361,0.29702985,12.2741519038365,BRQ 0h
3908,0.0,0.1882739,0.26383275,0.57362866,9.33289629585682,BRQ 0h
3909,0.0,0.41353485,0.21767579,0.38310468,11.436956270839,BRQ 0h
3910,0.0,0.51174664,0.1854219,0.44088668,8.98740688548001,BRQ 12h
3911,0.16507484,0.11770626,0.029971192,0.7714971,1.8418596284593702,BRQ 24h
3912,0.0,0.35442463,0.017132098,0.16049322,9.21457940905816,BRQ 0h
3913,0.0,0.27269876,0.3788259,1.528474,12.992591066186302,BRQ 12h
3914,0.0,0.27101436,0.19401172,0.9606138,11.488323476927302,BRQ 48h
3915,0.0,0.42605573,0.21820477,0.55380124,10.517705792087801,BRQ 24h
3916,0.0,0.27749997,0.29406404,0.5682597,14.490734000785901,BRQ 0h
3917,0.0,0.43339628,0.19377708,0.6772578,9.7298281107211,BRQ 12h
3918,0.03733089,0.6109365,0.025119968,0.28540558,6.40365181046312,BRQ 0h
3919,0.0,0.43162724,0.3069463,0.931534,11.3720498661989,BRQ 24h
3920,0.04896585,0.5863738,0.054166235,0.31227106,6.96436366905357,BRQ 0h
3921,0.22285733,0.5931196,0.048157543,0.32782787,3.1032556339365898,BRQ 0h
3922,0.0,0.45238584,0.05319797,0.21126807,5.377526746364531,BRQ 0h
3923,0.0,0.22814065,0.223767,1.2920521,11.9885627571314,BRQ 24h
3924,0.021783203,0.1526087,0.2431215,1.1817602,14.846087691036,BRQ 48h
3925,0.0,0.45948005,0.29495028,0.9408159,12.7617821832,BRQ 0h
3926,0.023140611,0.30230612,0.14386937,0.5974056,10.1499502112125,BRQ 12h
3927,0.0,0.079487056,0.22851175,1.0674677,13.539913363725299,BRQ 24h
3928,0.0,0.06732001,0.1175049,1.155247,12.0816257579786,BRQ 24h
3929,0.12749052,0.24416155,0.011488775,0.27578238,2.98211892797386,BRQ 0h
