,0,1,bc
191,1.927008,7.2264895,E2 w/d 12h
192,0.59963906,-3.254188,E2 w/d 0h
193,2.9449887,7.866989,E2 w/d 12h
194,0.5173659,0.026887381,E2 w/d 0h
195,-0.64144164,1.8498614,E2 w/d 24h
196,2.178977,-2.9645712,E2 w/d 0h
197,-3.6429334,1.1346285,E2 w/d 24h
198,-0.29688096,-7.362605,E2 w/d 0h
199,3.016665,-4.7815924,E2 w/d 0h
200,4.2101774,-3.263827,E2 w/d 0h
201,3.5884097,-2.6648505,E2 w/d 0h
202,-1.5185099,4.020659,E2 w/d 24h
203,2.7431066,3.6542482,E2 w/d 12h
204,-5.2770085,4.8575177,E2 w/d 24h
205,2.5569623,-2.1415856,E2 w/d 0h
206,2.288058,-4.141604,E2 w/d 0h
207,-0.47765493,-7.1735907,E2 w/d 0h
208,1.8374993,-3.4471793,E2 w/d 0h
209,4.0997806,2.5239727,E2 w/d 12h
210,0.47160512,0.38678387,E2 w/d 0h
211,2.1761966,6.8284736,E2 w/d 12h
212,0.12240472,2.555587,E2 w/d 24h
213,0.095597684,-7.4591494,E2 w/d 0h
214,1.3596234,-1.8055212,E2 w/d 0h
215,-0.65134025,-5.48874,E2 w/d 0h
216,-4.398307,3.0454035,E2 w/d 48h
217,5.4599466,-2.2117808,E2 w/d 0h
218,-3.7940474,-0.095632456,E2 w/d 48h
219,5.4673367,-1.8443109,E2 w/d 0h
220,4.4928484,2.9479532,E2 w/d 12h
221,-1.3133351,-4.9409113,E2 w/d 0h
222,-5.446134,1.4543009,E2 w/d 24h
223,0.5750523,-5.3699327,E2 w/d 0h
224,-2.0716069,3.4071882,E2 w/d 24h
225,-0.62920094,5.4476557,E2 w/d 24h
226,1.416859,4.99292,E2 w/d 12h
227,3.8470137,-3.855368,E2 w/d 0h
228,-1.0629418,1.3582828,E2 w/d 24h
229,-1.4566059,2.8132596,E2 w/d 24h
230,-0.949564,-5.5017605,E2 w/d 0h
231,3.652137,2.2808888,E2 w/d 12h
232,-0.8258142,-4.4734282,E2 w/d 0h
233,-0.6511318,-3.5442095,E2 w/d 0h
234,2.043715,6.9461093,E2 w/d 12h
235,2.997771,-3.2892838,E2 w/d 0h
