"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Trib2",-3.3471077564779,2.18219479047687,-15.1759702065932,1.00206781999344e-15,8.23408006770556e-14,25.7986265436791
"Ppp1r14c",-1.15518800117313,5.00650684808668,-15.0868761983822,1.17426989167809e-15,9.52846625228543e-14,25.5223791768464
"Il10rb",-1.49789202271971,6.10678771715344,-14.886606549102,1.6816362779921e-15,1.31954822104536e-13,25.2010560079783
"Gm29017",-1.32939807372411,3.60993745485081,-14.7382763560784,2.19932163916102e-15,1.67963487301339e-13,25.0623057255661
"Rgag4",-2.15069241196028,3.67332266660078,-14.5055302884952,3.36506993468925e-15,2.4407096626855e-13,24.6981608048039
"Slc18a1",-4.67267487315157,2.83693020072813,-14.447270982109,3.7461004816142e-15,2.68793477887822e-13,23.8417027806346
"Fam129b",-1.92587688791557,5.45665105037596,-14.4470926418792,3.74733262710436e-15,2.68793477887822e-13,24.4809397848069
"Zfp608",-1.42206613192741,6.33956742775338,-14.4322023485246,3.85169325169616e-15,2.73259745829351e-13,24.3198085274628
"Prcp",-1.12474474729845,6.45306699346261,-14.388054305523,4.1790329150527e-15,2.94871654000702e-13,24.2322729955619
"RP24-295G1.1",-4.19670199383047,2.43365000253913,-14.3460470961542,4.51708397456107e-15,3.1194309171131e-13,23.5928113021348
"9330175E14Rik",-2.74819269228152,3.23544789031943,-14.3426089312997,4.54596871720171e-15,3.12276782303861e-13,24.3605335222514
"Serpinf1",-1.213884837864,5.39891857947789,-14.2940523034784,4.97480092768059e-15,3.34652023026306e-13,24.0611837398782
"Gfra1",-3.65428297678206,3.45132827231323,-14.2778618170165,5.12686204850611e-15,3.41067273759658e-13,24.1662680576227
"Cd244",-1.92700177041374,3.62177076291093,-14.2755482275622,5.1489783298847e-15,3.41067273759658e-13,24.2607336484624
"Itsn1",-1.88841657135569,4.39107177968014,-14.2009124346378,5.91766717925999e-15,3.88025621153194e-13,24.1036387899722
"Prkce",-1.48623190106129,4.26586450819369,-14.1691305278955,6.27993453328297e-15,4.07661950228064e-13,23.9539128843302
"Fzd5",-3.43813752098258,3.30973172338524,-14.1587299272366,6.40337631266618e-15,4.12559425450597e-13,23.9067767245617
"Qrfp",-1.80944795743675,4.21583118263582,-14.1356239634987,6.6866225293632e-15,4.276473906341e-13,23.9606488922776
"Thbd",-1.7844881194625,4.68683901533484,-14.0773691955921,7.45936031053659e-15,4.72414023959495e-13,23.8825979236742
"Dbn1",-1.8514663647547,3.51559719804458,-14.0472522497551,7.89429036898618e-15,4.95128366476075e-13,23.8213115336187
"Ccl9",-1.46612433890602,9.31298283035697,-14.0058375710539,8.53534620085181e-15,5.32761537142592e-13,23.4197747657455
"Lgmn",-5.44232481276637,3.50624093125112,-13.865852512857,1.11271848789777e-14,6.81435100395127e-13,22.6175030753945
"Acot1",-1.40100715636766,4.81609953870016,-13.8005051577668,1.26020026165829e-14,7.60985116144635e-13,23.3318752289886
"Nxpe3",-1.03244789317517,5.25256462315316,-13.7128193141241,1.49028016231478e-14,8.83484353759488e-13,23.0043438854723
"Gch1",-2.52335695980627,4.06625900941344,-13.6685454857904,1.62244348298132e-14,9.53130485952328e-13,23.1137984571106
"Rundc3b",-1.70542897271195,4.55351342265087,-13.5931843433939,1.87578557468118e-14,1.09207731462268e-12,22.824342017602
"Zfp703",-1.42847810480673,5.44134957031206,-13.586006453093,1.90194643316675e-14,1.10236475633053e-12,22.843753662
"Tcf4",-1.45118843528823,4.88323462985413,-13.5356123242389,2.09649506216582e-14,1.19906587630391e-12,22.7241975534906
"Ephb2",-2.14039363344792,3.06766310628179,-13.4664197090561,2.39747096361666e-14,1.35332024002762e-12,22.7057221383131
"Mpp4",-1.29944338335486,3.67398085502043,-13.3606210784972,2.94614752069107e-14,1.64162374511297e-12,22.4363440702065
"Vsig2",-2.37383378397682,1.86629138854533,-13.3074914741957,3.26883086216231e-14,1.78316096989299e-12,22.4368372958253
"Stxbp1",-1.42495129529821,4.51009478403742,-13.3031072611645,3.29703057195829e-14,1.79101874124412e-12,22.3276379714077
"Epb4.1l5",-1.75407727720448,2.90333072060166,-13.2838257667396,3.42404970716057e-14,1.85226822283607e-12,22.4076278025035
"Cd33",-1.22417109190228,8.5448356125357,-13.2447858253241,3.69685720309979e-14,1.99154759617612e-12,21.9571615065071
"Ly75",-1.89735771243888,3.94728610889626,-13.2082999677255,3.97201352003476e-14,2.12216672965479e-12,22.2055180763639
"Eltd1",-1.85065792491161,4.51900596266618,-13.1558655725034,4.4047877281165e-14,2.33417792139333e-12,21.9696058899902
"Msi2",-1.25487999765479,5.93580094575756,-13.1377809916125,4.56504907759657e-14,2.40926960058684e-12,21.7826829656099
"Plxnb2",-1.71710866802284,6.85416281371864,-12.9878264701648,6.14789447387634e-14,3.19272455817346e-12,21.5253904629884
"Abcb1b",-1.47814198994485,4.43184636137936,-12.9283774530807,6.92263587311793e-14,3.53844809215315e-12,21.590509281675
"Tspan2",-1.87867430203527,5.22240006848948,-12.9130912789834,7.13760111030423e-14,3.63401863588549e-12,21.4514066587516
"Foxp1",-1.04736131355896,6.9368428572688,-12.6272346022206,1.27044955291375e-13,6.24782066116638e-12,20.7001517790109
"Cyfip2",-1.05929837583665,8.36427271667178,-12.6026853189627,1.33550373039612e-13,6.49569233183685e-12,20.6308309698601
"Slc44a1",-1.4339725611034,5.94393397209179,-12.5911907869804,1.36712995212049e-13,6.62292842103742e-12,20.7867458101231
"Itga9",-1.09338270636492,4.46579664757021,-12.5735363537462,1.41720999375812e-13,6.81468049961545e-12,20.6593948290968
"Ndrg1",-1.43817252996902,6.1779570802785,-12.5294243251196,1.55074394804898e-13,7.32120315546177e-12,20.6320692263732
"Adck3",-1.6565223375968,4.46410745247658,-12.466242368453,1.76488672580665e-13,8.30200158012599e-12,20.7387288365661
"Nrcam",-2.22054307183464,2.24607753109387,-12.4016994586029,2.01514024835527e-13,9.34377351585588e-12,20.653229666448
"Tmem173",-1.10064008066276,6.04776914660798,-12.3737460018551,2.13456923794187e-13,9.78981515660822e-12,20.2703035000113
"Auts2",-1.35662174243956,4.42188673932703,-12.3721737802639,2.14149850148404e-13,9.78981515660822e-12,20.3143939828358
"Cep78",-1.00806913137625,5.30584259826435,-12.3362297029563,2.3063747901895e-13,1.05065487372036e-11,20.1957221682108
"Irf2",-1.23544685273862,5.86302302347074,-12.3337698068744,2.31812422435709e-13,1.05231492324574e-11,20.2133552524232
"Gm17473",-1.72339832831172,1.92113830482822,-12.3194180280045,2.38790992063269e-13,1.07646647567966e-11,20.466902553572
"Ttyh2",-1.30917874845189,4.90320904789437,-12.311101498421,2.4293326243657e-13,1.08758708490138e-11,20.2654965494791
"Meis1",-1.46762079884116,4.16698396358276,-12.2940685201943,2.51648830890174e-13,1.12273428572066e-11,20.2978273538517
"Impdh1",-1.00170440840257,7.69271798314188,-12.2791071979713,2.59569022488477e-13,1.13850831721888e-11,19.9562616611951
"Mmp14",-2.22998899730209,4.42087778362775,-12.2726319793999,2.63075778058228e-13,1.15000431869696e-11,20.2065954192752
"Arhgap32",-1.31215246917985,5.06036724343798,-12.2436597929722,2.79371877779447e-13,1.21307193619082e-11,20.0060657908332
"Adcy6",-1.36041259799625,4.67963076112074,-12.2180884821181,2.94615260320468e-13,1.27499664158021e-11,20.0631281361404
"Sbk1",-2.2043292121332,3.87446308474046,-12.189538519336,3.12646707773975e-13,1.33963439175891e-11,20.191951212946
"Myo16",-5.50117732982057,1.31330063529058,-12.0856725361241,3.88377605878767e-13,1.62206337504196e-11,18.9143703989849
"Prune2",-2.84799865986407,3.09210771814894,-12.0854537798387,3.88555580095547e-13,1.62206337504196e-11,19.9984938988262
"Col4a5",-1.70929098512369,5.06633452082666,-12.0269886391205,4.39254850856846e-13,1.82199544047106e-11,19.7040427197476
"Egln3",-1.1560595962264,7.39214385834662,-11.991119759192,4.73673961403554e-13,1.95228858441344e-11,19.3405374647716
"6030408B16Rik",-1.50126677099899,3.51300936817335,-11.961067101823,5.04638054013457e-13,2.06028800479771e-11,19.6378078399772
"Gtse1",-1.02716268946351,6.12057524092607,-11.9417813070195,5.25596060842311e-13,2.13912653853158e-11,19.29138217292
"Hmgcll1",-1.81912738191096,2.83345084403066,-11.9367734792999,5.31182795665103e-13,2.15510819878751e-11,19.6069089113238
"Csgalnact1",-1.3134724637428,4.28032033891306,-11.8901934739171,5.86160250895824e-13,2.37075343843629e-11,19.359979244896
"Asic4",-4.45811525297528,-0.0349166835181192,-11.8431049485322,6.47691324163262e-13,2.60339828532868e-11,18.6777878795592
"Ppp3cc",-1.11870996462549,3.77168630577057,-11.8245769682321,6.73684868741366e-13,2.69952180582381e-11,19.3277076394527
"Arhgef3",-1.46713688579196,6.40566051903447,-11.8097038322973,6.9532410906482e-13,2.77765935630417e-11,19.0587126734898
"Lrrn4",-2.11856893995738,2.64062722484838,-11.7750494515072,7.48554308841356e-13,2.98112901585501e-11,19.3371244896754
"Myl4",-2.6216060205079,2.04974210802394,-11.7681502463349,7.59641355729663e-13,3.00683650043848e-11,19.3427736781828
"Btnl2",-2.92734974043439,1.10596914492871,-11.7655120847715,7.63925298192317e-13,3.0146024761188e-11,19.0358242197558
"Runx2",-1.1761965549811,6.27652511002579,-11.7615376002786,7.70426066328308e-13,3.03104291489104e-11,18.8961515594458
"Cd163",-2.70278024110665,2.48471352535496,-11.6356158065517,1.00866453309717e-12,3.90910198005986e-11,19.0510131590341
"Gimap1",-1.90568305733104,2.70972318903534,-11.6246973688905,1.03259875158079e-12,3.98994928326588e-11,19.0247882100895
"Itpk1",-1.15985742849063,5.45795076417469,-11.6158990673183,1.05230892320509e-12,4.05404354598565e-11,18.711199435451
"Fyb",-1.50937284077408,6.12459942495577,-11.5303312277045,1.26536440205735e-12,4.80357486313176e-11,18.5448759720613
"Tsku",-2.145520799615,2.05472471583468,-11.5221149564244,1.28802496803136e-12,4.87534348686624e-11,18.8156149270155
"Map7",-1.30752637658825,3.54511905640727,-11.508590731385,1.32623552689151e-12,4.99087415815434e-11,18.6233453942144
"Paqr5",-4.67182630320726,1.79736821365892,-11.4491633267482,1.5084252233205e-12,5.62755306734773e-11,18.0233887865782
"Tesk1",-1.40464942544633,4.22401563577435,-11.35420663652,1.85453074770409e-12,6.85965034115164e-11,18.3371134486863
"Nlrc5",-1.66202064255686,5.92615822657477,-11.3397466744966,1.91397718996576e-12,7.03942375561626e-11,18.0415841145356
"Ednra",-1.28584073577877,4.10769433877253,-11.3066505366698,2.05750688427645e-12,7.52467940241158e-11,18.2091663768765
"Camk1d",-1.80157899730563,4.91553187311401,-11.3002549385643,2.08649182045882e-12,7.58793369888427e-11,18.1622155635465
"Gimap9",-1.26596570246013,4.59921828588137,-11.2131947275245,2.52542120689722e-12,9.1076509803185e-11,17.8578684441371
"Tgfbr2",-1.32344074329551,5.69813744531041,-11.1870878348535,2.67471099972401e-12,9.5927549473527e-11,17.8186818256607
"Adrb2",-1.86614631590538,4.01432766856689,-11.1836302518502,2.69515055481183e-12,9.63943241132839e-11,18.0359012294395
"H2-DMa",-1.97518007305833,4.59186078692941,-11.153823937212,2.87813062248732e-12,1.01816811639653e-10,17.9545808718912
"Nefh",-1.03962251859474,5.00229733295784,-11.1472608295882,2.92010447029981e-12,1.03020968309518e-10,17.587762093916
"Tjp2",-1.0680123641793,4.70719901077629,-11.0983340773706,3.25346423760309e-12,1.13547651066669e-10,17.6393489106485
