"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Best1",3.68516222951799,0.824110209381812,9.73497425525032,7.4699670246163e-11,5.88486540537581e-10,14.345929342398
"Slc25a45",1.00287887979468,5.67788384673686,9.71886408284184,7.76286830379174e-11,6.09711549837436e-10,14.3962112484275
"Fcgrt",3.10160937884422,1.61470156864996,9.71091968896175,7.91160586189848e-11,6.20267988556932e-10,14.7120931281065
"Palm",1.35564051422658,6.52874090520468,9.70362927663345,8.05066413000694e-11,6.29832899556141e-10,14.2546640007831
"Ctns",1.39508699564594,4.24241422966451,9.6985375846925,8.14926439687296e-11,6.36593860797844e-10,14.6394666226787
"Qsox1",1.57993140474044,3.96580366374135,9.66281622130714,8.87665436256815e-11,6.89498018369945e-10,14.4670626973225
"Aph1c",3.07531552697278,1.69375128764902,9.64669349529422,9.22639391777448e-11,7.14289041350424e-10,14.4709523057226
"Trpv2",1.07242798192917,5.26339620396871,9.64002366047778,9.37517040565791e-11,7.24510936765813e-10,14.2039647106828
"1810011H11Rik",1.4685323076786,3.47930442786838,9.63588364042554,9.46874917776019e-11,7.31307379981324e-10,14.4811538711963
"Stat4",1.37048006523801,4.24560512051034,9.63429865348979,9.50482776247248e-11,7.32786097625773e-10,14.4084151234008
"Lpcat2",1.41524903105113,5.70785091970722,9.60638050036374,1.01638877641312e-10,7.76222087304206e-10,14.136168642884
"Tbc1d8",1.47592255138334,4.37726066806365,9.53824223716026,1.1975869493817e-10,8.98744009469515e-10,14.2547229290693
"Pyroxd2",1.4881564786523,4.228498909915,9.53399418292823,1.20992289491385e-10,9.06953172324853e-10,14.1346959275128
"Acpp",1.76402645238926,5.15888032634019,9.5298419479528,1.22210618002147e-10,9.13974915623201e-10,14.2780467674544
"Trpm4",1.84024572379717,2.30366084477518,9.50499691714906,1.29767307546904e-10,9.63911410642939e-10,14.2791730992482
"Gab3",2.73460896643405,2.06875402684153,9.50300178142792,1.30394486800959e-10,9.67931173320098e-10,14.1916821381937
"Nol4l",1.37373875064279,4.45401701409019,9.49111662596569,1.34195405290331e-10,9.94440038176011e-10,14.0595196732896
"Cd200r3",6.67645949310227,1.44365960550406,9.46766154792799,1.42032310769793e-10,1.04773039245695e-09,12.9561040101782
"Renbp",1.09338714642672,4.86186647579883,9.43677455992923,1.53071703776507e-10,1.12278527126011e-09,13.8278941478444
"Cul9",1.59676546086027,3.03345560653785,9.41958379205319,1.59592083244829e-10,1.16272952680562e-09,13.987979589535
"Dhx58",2.46517910308444,3.3175465184401,9.39130591154588,1.70941922910693e-10,1.23296610286085e-09,13.982653700023
"Gm19412",1.69326937412652,3.32702082213572,9.36703195355749,1.81341636330688e-10,1.30218941619542e-09,13.8295957098278
"Tgm1",3.33326107106466,1.74795285582829,9.36411485499173,1.82634210452124e-10,1.3107462433941e-09,13.698436074964
"Rab3il1",3.32344791508633,1.2945015010336,9.33277911458037,1.9712779039291e-10,1.40797718869335e-09,13.5686332690623
"Ceacam1",1.36432981431802,5.28287663459283,9.32435521724635,2.01220982998301e-10,1.42968865566536e-09,13.6661024197851
"Mapk4",5.15407750800996,1.54295885810541,9.3187914604146,2.03971966620838e-10,1.44550657349255e-09,12.889074973517
"Zfp467",4.77680560244157,-0.945714179354167,9.30448123262783,2.11225579010376e-10,1.49365015920028e-09,13.0217132594894
"Kcnk6",1.4775462425921,4.11911996799859,9.26331316612931,2.3359878378148e-10,1.63758801826942e-09,13.6159970668883
"E330020D12Rik",1.61545403788288,2.23965039193557,9.25898236290664,2.36089078409311e-10,1.65326025080263e-09,13.6892179103285
"Ctso",1.41186039806712,3.86444286884377,9.22364912926347,2.57447595311491e-10,1.78453931122749e-09,13.4802633604854
"Ecm1",2.10464285612103,2.52957601373904,9.19936882174008,2.73260637697928e-10,1.88209170251045e-09,13.5653733050539
"Stard5",1.11974528031262,4.95918986326003,9.19590942065974,2.75593083999591e-10,1.89715005809475e-09,13.2870858358412
"Mitf",3.42138798570295,1.99959346323694,9.19192434786536,2.78305186553437e-10,1.91480457711885e-09,13.4756438032166
"1810043G02Rik",1.39552953795721,2.47924716749715,9.18339474857207,2.84202167539761e-10,1.95020969406381e-09,13.4911933945215
"Pcmtd2",1.27297143995319,5.09777898362662,9.1741542139831,2.90734887143491e-10,1.99082860748098e-09,13.1890234083899
"Ccdc80",1.09035737372223,4.13755841882579,9.17234034163553,2.92035137345971e-10,1.99867801168305e-09,13.2584369008583
"Nfatc1",1.05768902476157,5.82234969671429,9.11927209290118,3.32825799471763e-10,2.25761617269692e-09,12.881494742701
"Cd300ld",5.00582756719093,1.19081628733906,9.11639562342878,3.35196396773238e-10,2.27132297458609e-09,12.6627405807806
"Gpc1",1.09581936410428,7.20597270255441,9.11313957858964,3.37900639454804e-10,2.28845279188405e-09,12.757896528609
"Zfp516",1.22892222616461,5.69174618347055,9.10901115255631,3.41361495825246e-10,2.30555710369916e-09,12.8962710289753
"Parp4",1.08742504916289,4.54638591829286,9.05923043908521,3.86059518226324e-10,2.57780728943741e-09,12.9729221347219
"Tmem86a",2.62354705022788,2.30287497759523,9.05689645076929,3.88296325894676e-10,2.58783942248162e-09,13.2120354098393
"Abca1",1.85535505806382,4.41572611537294,9.04943998512901,3.95531431178681e-10,2.63072980071353e-09,12.8542901640665
"Lrrc75a",1.75101997293682,3.29892214593428,9.02557522503637,4.19626998899118e-10,2.77818323646468e-09,13.0857319779313
"Mmp8",4.1375737707132,3.65177659695623,9.0110472981189,4.35024579129091e-10,2.87279964945727e-09,13.1108050243909
"Mxd1",1.22766452679024,5.33435507057323,8.99779032065497,4.49578504082955e-10,2.94791803965101e-09,12.6871703544353
"Epb4.1l1",2.44677706026753,2.28467570081601,8.99011074920625,4.5823591259186e-10,2.99560768035253e-09,13.0490240136625
"Klf6",1.76865672925461,4.82627263639146,8.97678317196651,4.73666782237703e-10,3.08251420240206e-09,12.8011137644326
"Mib2",1.66047047331216,3.38530419943487,8.95771589634023,4.96671154504798e-10,3.21931183172032e-09,12.8185058765317
"Wrn",1.00319323429947,5.98187817763506,8.94984604429628,5.06495753979617e-10,3.27481791529749e-09,12.4524716645569
"Atp8a1",1.24996929408302,5.17242563360352,8.93553784982951,5.24869358895048e-10,3.38182575014115e-09,12.5928133897364
"Cnn2",1.32931083129023,5.59146553661947,8.93515382620605,5.25371768808448e-10,3.38338376708338e-09,12.5330856691917
"Lrp1",1.91793605885751,3.89727798675851,8.91923841940282,5.46631346444907e-10,3.51158573522723e-09,12.6461837073186
"Il7r",5.08014855288548,-1.0122219843573,8.90426709116789,5.67431693066921e-10,3.63621207852312e-09,12.2192879185026
"Stim2",1.07067975752823,5.46396635048107,8.88384820637248,5.971106323661e-10,3.80387013739405e-09,12.3906963412067
"D330041H03Rik",1.56878076371328,2.78554712159175,8.87652133603105,6.08142686467053e-10,3.86277715185996e-09,12.761555764937
"Ipcef1",1.9519811026405,3.66031637002304,8.84500289292165,6.58024862193966e-10,4.15190927979865e-09,12.6149617002813
"Tmem63a",1.24769730177054,4.82181147180372,8.84424373240836,6.59276562256233e-10,4.15504252804499e-09,12.4265238908709
"Tbc1d24",1.06653822161085,4.88627614979953,8.84180819147064,6.63308703470072e-10,4.17842644209216e-09,12.3781132708472
"Eps8l1",2.73220021442452,1.55047937303617,8.83740026589131,6.70670344452506e-10,4.22070435386665e-09,12.6471469357389
"Mrgpra2b",4.9217166671681,2.18042195525099,8.8307565465315,6.81923911456154e-10,4.2832211622812e-09,12.3925299576683
"Dnajc28",1.67591076582441,2.85549161914252,8.82644377956669,6.89332171722929e-10,4.32765937402262e-09,12.6470428519256
"Rmnd5b",1.10385693982564,5.20821261230945,8.81505596239617,7.0929104124109e-10,4.44007984013167e-09,12.2681460940547
"Plekhh2",4.34029148905012,1.02172067541618,8.81121029765116,7.16163601705632e-10,4.47231940401357e-09,12.2290212908448
"Selenbp1",1.21884530365296,5.31700613580755,8.80293072000261,7.31191642970351e-10,4.55374779011239e-09,12.1119396665001
"A730081D07Rik",2.37162575478758,1.13942836392777,8.7767190855379,7.80925063669004e-10,4.82178258330723e-09,12.5147864171535
"Tob1",1.5904957732504,3.83558224946346,8.74149323909894,8.5325153357084e-10,5.21797675946784e-09,12.3357423671917
"Idua",1.05833666003341,4.72841102204686,8.73984837045351,8.56791300091517e-10,5.23715699109612e-09,12.1207497905411
"Galns",1.05016362786586,5.55976643088559,8.73198130985193,8.7392967707115e-10,5.32436837044333e-09,11.9723184835793
"Cd300e",5.630262064748,1.02421850608894,8.71364519162755,9.15246120273878e-10,5.54745115757038e-09,11.8014300005956
"Myadm",1.88381593087662,4.2205294313404,8.71300626340017,9.16721226059323e-10,5.55379919642006e-09,12.2295628400599
"Ccdc28a",1.33539289914874,2.49117063374178,8.6969592591822,9.54575829460185e-10,5.76162621751817e-09,12.2469264394881
"Arsg",1.63577241920132,2.63337375894863,8.68949814853356,9.72716100870728e-10,5.85750145528973e-09,12.3021622174209
"Cxcr2",5.0766422724628,2.66124425914505,8.68358249717246,9.8734867955776e-10,5.94010561014754e-09,12.1530384878106
"Prss16",1.06928900495844,4.3318277657608,8.65342314814332,1.06551747984797e-09,6.36028204177757e-09,11.9500876514998
"Ebi3",2.0507011009977,3.62990610162303,8.64377898543798,1.09182433720115e-09,6.50818276273028e-09,12.131924997342
"Aldh3b1",1.95352328788083,4.33716465761283,8.64131092368867,1.09866247521968e-09,6.54008936991155e-09,12.0841196908427
"Sgms2",1.57766897610373,4.55543487557757,8.63122652086733,1.12706001329473e-09,6.69685132842355e-09,12.0937148395975
"BC147527",6.56640713692241,-0.617222135173814,8.57972502649428,1.28421241597578e-09,7.53068193162307e-09,10.0893053709152
"Ccdc125",3.11573725660388,3.07170663592788,8.5792994519792,1.28560021543686e-09,7.53541652235522e-09,12.0190919734387
"Grcc10",1.34396617115605,3.59251590556668,8.56648280969925,1.32812010056731e-09,7.76361245640044e-09,11.7995293741057
"Slfn10-ps",2.90182655174925,1.98582810627097,8.5657752988627,1.33050867124438e-09,7.7736324338967e-09,12.0154793320659
"Bcl6",1.70185905280488,3.78511284416883,8.56510232099112,1.33278472467718e-09,7.77988403933949e-09,11.9026878737663
"Clec4a3",4.14231610015579,2.47044513494644,8.55659517612054,1.36190127205656e-09,7.9253985724385e-09,11.8404951315034
"Prg3",2.75285749507779,4.43371965681986,8.54130121735703,1.41588883723366e-09,8.20646641687707e-09,11.9313233357318
"Gadd45a",1.85032398356238,4.05903919043079,8.52661031406963,1.46980384818433e-09,8.4924180511692e-09,11.7020727368891
"Gnb5",2.90875163525838,1.95236794646207,8.52231622796928,1.4859551465318e-09,8.5704823044968e-09,11.8963778350974
"Trim30a",1.95283778610973,4.85780960953471,8.51604166283809,1.50988177814774e-09,8.69303553245769e-09,11.5916363814996
"Rcan3",1.3367892445719,3.70153240230504,8.51294945962373,1.52181738577222e-09,8.74623953938945e-09,11.731212041678
"Cldn15",2.94785897538516,3.34617547326237,8.5101052562401,1.53288070271593e-09,8.79813888742749e-09,11.8809020992919
"Rhof",1.05246837977696,4.76371214530669,8.50728445313163,1.54393403458559e-09,8.85766485683814e-09,11.5028500204144
"Scn1b",5.22355379524463,0.242536706881809,8.49722387032961,1.58402287169121e-09,9.06762299081434e-09,10.7330503266868
"Rom1",2.19016869884295,1.39255150635818,8.49657529456306,1.58664342382088e-09,9.0751614380998e-09,11.8478499781144
"Zbtb4",1.95303618694841,2.2142571165031,8.49655196472147,1.58673776973631e-09,9.0751614380998e-09,11.8132161560417
"Ppard",1.53163651894916,4.21336074385501,8.46665154094191,1.71248481777637e-09,9.71305827400203e-09,11.4829353824352
"Tlr4",1.46005896472679,5.0156284818327,8.45791395515688,1.75111674423845e-09,9.91484897097593e-09,11.4827163184562
"Atp8a2",1.81840851980568,2.88892533305966,8.45517414317403,1.76341256298478e-09,9.97576701753001e-09,11.6968902456548
"Evl",4.39359753598529,0.527336257006518,8.44881940727749,1.79227164204757e-09,1.01169837950885e-08,11.1227753445281
"Tmem156",1.01289574952941,4.33494157942226,8.44738867813667,1.79883524313252e-09,1.01408067570949e-08,11.448670033827
"9930111J21Rik2",1.81002907973166,4.56903723678581,8.44320331080975,1.81817709516123e-09,1.02365105058449e-08,11.4728373571641
"Plod1",1.04318303830291,6.08915227855106,8.41540910821699,1.95211903476461e-09,1.09384382513374e-08,11.0826073531428
"Polg2",1.13956056381015,3.42592956288937,8.40736868119278,1.99271236956727e-09,1.11274772877815e-08,11.4340196443953
"Msantd1",2.7482837729797,0.188995287212781,8.38550752557528,2.10748927405439e-09,1.17149763340365e-08,11.258830945423
"Fam134b",1.29821490760197,4.75281852933178,8.38540004130194,2.10806994466195e-09,1.17149763340365e-08,11.2814417194116
"Slc37a2",3.71774420911768,1.41453159343305,8.3686176090303,2.20076614718825e-09,1.22052741943379e-08,11.3634234392622
"Vwf",3.30837829686328,-0.723691507667679,8.36135420639639,2.24216356711484e-09,1.24083587348048e-08,11.0702743096075
"Atxn1",1.34163070491566,3.62523191127281,8.33212706012847,2.41692978459163e-09,1.32512657614063e-08,11.2244378009433
"Cep350",1.08255645877163,6.44316590716064,8.33027269261119,2.42847591328259e-09,1.33033345072354e-08,10.8276103511648
"Dennd3",1.09221061812356,4.26254455793537,8.30402477499501,2.5980720239328e-09,1.41785494269523e-08,11.0410607716597
"Arhgap24",3.7983297713067,0.939412369833509,8.30382528270542,2.599406225317e-09,1.41798701778532e-08,11.0784083109329
"Inpp5j",1.9114529517512,3.18513160840058,8.30340371708331,2.6022279476385e-09,1.41833440151934e-08,11.275745942008
"Mfsd6",1.21888936003231,4.59042966948747,8.29233261406431,2.67746008924878e-09,1.45263118841274e-08,10.9891203861109
"Abhd15",1.20645461760977,3.65226337617658,8.28537980843785,2.72583674447558e-09,1.47764252415559e-08,11.086228507342
"Pnpla7",1.26532518343307,5.59369173692988,8.27852577712185,2.77439842597612e-09,1.50271233894234e-08,10.8362504270618
"Csf3r",1.07663880588296,5.93067830027015,8.27138640044805,2.8259200388967e-09,1.52870499437483e-08,10.7826930886611
"Gm20531",1.36836420800006,3.89371852453053,8.21741982416896,3.24829707458871e-09,1.74267111237129e-08,10.9173563200586
"Wdr81",1.09620375829414,5.79194442814421,8.19751934437066,3.41983127143718e-09,1.82714688876827e-08,10.5128032392214
"3110062M04Rik",1.1564508777031,3.05497766983627,8.18699139982763,3.51428349143469e-09,1.87221758593749e-08,10.9287165004832
"Gm20658",2.03368179936695,2.61285841909322,8.1816484528997,3.56323077262549e-09,1.89440725311207e-08,11.0455912438436
"Inpp4a",1.83481162529332,3.08264050931255,8.17526687584244,3.6226045057941e-09,1.92282396969439e-08,10.9947752953956
"Apobr",1.13609171186478,5.50905364465497,8.16933345474891,3.6787129336622e-09,1.94782748848843e-08,10.4976374848328
"Lrrc25",2.37705085436866,2.77039163289809,8.15368700585218,3.83095585212858e-09,2.02101990362395e-08,10.9686092367421
"Tnfsf13os",3.67634765675002,1.22886915074178,8.11089514994963,4.28096286508205e-09,2.23570960890427e-08,10.6221332729985
"Blvrb",1.92495888780958,2.38715396064411,8.10536792202116,4.34289180329898e-09,2.26349916829509e-08,10.8459477848837
"1600010M07Rik",7.53160069398776,-0.493443523005554,8.0918277801582,4.49848549456157e-09,2.33428605818916e-08,8.09558663754106
"Gm8995",1.29363928229606,6.89934577886965,8.09026181286042,4.51684312945802e-09,2.34100496406202e-08,10.2349888598356
"Ero1lb",1.13133505624393,5.09707009335341,8.07558404345039,4.69266297546224e-09,2.42342257002491e-08,10.4160571612968
"Ankrd13d",2.27424636776646,2.34010597267874,8.0688813378024,4.77525592925118e-09,2.46313658043179e-08,10.7593906097792
"Zbtb7b",1.09878920525512,5.34997680575477,8.06074946621138,4.87745070451098e-09,2.5088725236397e-08,10.236300124555
"Glp2r",6.53363864603556,-1.69530855045093,8.05343149061179,4.97132083837508e-09,2.54305194817272e-08,7.91092701383878
"Hipk2",1.65601296440509,5.48155928512125,8.04387015596633,5.0967466200618e-09,2.60311020331481e-08,10.2489530176107
"Tcp11l2",1.30494631575791,4.95713360342911,8.03732791502001,5.18442082725309e-09,2.64372881383452e-08,10.331408075934
"2310015A10Rik",1.79477683791973,2.44424012025273,8.03528865977876,5.21206224262007e-09,2.65573799434601e-08,10.6589687328216
"Rab44",1.07949812876591,7.4966001776537,8.01730141296447,5.46246929189592e-09,2.77570406327533e-08,9.90678723980906
"Socs3",2.01892398862771,2.11021264876036,8.01626941440307,5.4772024052001e-09,2.7821016755365e-08,10.6253440799483
"Rdm1",3.81737832182567,0.238682343786846,7.96903076736475,6.19678382956254e-09,3.12074648794455e-08,10.4146784099534
"Iqsec1",1.06062967175533,5.36801311890083,7.9586242304546,6.36784120013694e-09,3.20316475402472e-08,9.99566290896287
"5031414D18Rik",1.51931100304094,2.3494742655273,7.95702407536164,6.3945670349085e-09,3.21536265740577e-08,10.4150524056596
"Maf",4.42504782395697,0.486460603824414,7.95368014748698,6.45078674026766e-09,3.23986708893211e-08,10.038569245841
"Gm11711",8.25498478272658,-3.19907604395119,7.95038947418566,6.50660246675043e-09,3.26033268335858e-08,6.45070935061051
"Prdm1",4.07838224707945,-0.120490960940898,7.9001975257907,7.42158210379854e-09,3.67484364811657e-08,10.017325249618
"A630033H20Rik",3.73832154751642,0.652533336992377,7.90002089338663,7.42502341821907e-09,3.67514597936478e-08,10.1618488986781
"0610009E02Rik",1.88059254154153,2.16492789832729,7.86543273783094,8.13120444584677e-09,3.98367650265768e-08,10.2612207440581
"Ift81",1.5244567144022,2.42176187614953,7.8380999095617,8.73736962410449e-09,4.25336594787209e-08,10.0816699054713
