"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Mamdc2",-1.9447322026279,0.809145962567612,-5.94629312925333,1.54351915070735e-06,1.60649593949879e-05,5.16771248078719
"Dusp4",-3.35352113612231,1.17997957702313,-12.6041660863517,1.33148450913168e-13,6.49569233183685e-12,20.8913874277801
"Shank3",-1.07437688785338,-0.556406687858106,-4.12038394964692,0.000268922320641544,0.00150624606609667,0.154745614797869
"Wnt10a",-3.25004035321473,-1.1671190961704,-7.160400344032,5.34568477652451e-08,7.784680229989e-07,8.29194732542024
"Gjb3",-1.15605379697957,1.27324726929068,-4.85475025984921,3.40883815772525e-05,0.000251602875507373,1.86616339846749
"Il17d",-1.83347155098077,-1.29760250278635,-4.03947204809121,0.000336535261576521,0.00182107507848984,0.228231787627974
"Itga8",-2.55227291350326,0.72377566139787,-6.34226240940061,5.0836350888332e-07,6.03298303092518e-06,6.2689990183482
"Lrguk",-3.69675034031459,-0.485567667369687,-8.06245469823351,4.85583769813621e-09,9.13671606302935e-08,10.708836039556
"Zdhhc23",-1.26931683136476,1.26002083019966,-5.00215579026189,2.24344976238597e-05,0.000174830181663008,2.4557205056082
"Gm5424",-1.19895860867146,2.09698214096939,-7.04261821185812,7.36265044011666e-08,1.04355120812265e-06,7.71841452047873
"RP23-169H13.6",-1.1548302864547,0.891758766480654,-4.45110456995963,0.000106659243876565,0.000671234591977431,0.981950228414238
"RP24-429G21.1",-1.18263673114687,0.817113116689014,-5.34648575814988,8.43450534789042e-06,7.41905033412339e-05,3.4079374610017
"Fndc9",-1.29075198947228,0.063986626478418,-4.12324757751597,0.000266791835014132,0.00149751768006419,0.28780330049565
"Grrp1",-6.06350013437012,-1.88313669585797,-6.15233972937659,8.64827190053827e-07,9.58842989621591e-06,4.66489161448263
"Pcdhb22",-1.38309974276742,0.217141145702211,-3.16094875435939,0.00354986140470854,0.0133394647228165,-2.0340517537812
"Gpr155",-3.19795991673338,0.461700212526042,-6.98472855761671,8.62191561628029e-08,1.20105504770565e-06,7.95725694284019
"Gareml",-2.43802751909402,-1.58414098343465,-4.40045671816531,0.000122974891223346,0.000760639834565368,1.14821370133365
"RP23-298I7.2",-1.81809328013357,-1.11604912916665,-3.91794527858718,0.000470491142066484,0.00243847764369228,-0.0925951036119939
"Acer2",-1.69087055384476,-0.686581397161172,-4.71486221784931,5.06680054879289e-05,0.000351588837653544,1.78490385005318
"Arc",-2.75474753593177,-1.04501147405581,-3.43999395057235,0.00171196264207638,0.00725878869434278,-1.17805860831576
"Art4",-2.35905551051775,0.133962556093982,-7.24314400580382,4.27293356464471e-08,6.43484589986488e-07,8.6546389939432
"3110043O21Rik",-1.6037711953284,0.61640500096506,-3.42335540191151,0.0017890851872966,0.00751948623718734,-1.36007018904702
"Flrt2",-3.93011503453079,-0.666106665175743,-3.80374685835124,0.000643204198933898,0.00317035691524632,-0.372051042003021
"Pde4c",-1.4081491274047,0.163500487062656,-2.93014760484838,0.00637607806477652,0.0218303326780046,-2.57779549638022
"Cmklr1",-3.78310230801695,0.244560163553916,-4.75798866212048,4.48443033062268e-05,0.000317455610591463,2.07358626576371
