,1_DMSO_rep1,2_DMSO_rep2,3_DMSO_rep3,4_HU_rep1,5_HU_rep2,6_HU_rep3,7_dA_rep1,8_dA_rep2,9_dA_rep3,10_dC_rep1,11_dC_rep2,12_dC_rep3,13_dG_rep1,14_dG_rep2,15_dG_rep3,16_T_rep1,17_T_rep2,18_T_rep3,19_rA_rep1,20_rA_rep2,21_rA_rep3,22_rC_rep1,23_rC_rep2,24_rC_rep3,25_rG_rep1,26_rG_rep2,27_rG_rep3,28_rU_rep1,29_rU_rep2,30_rU_rep3,31_rU10_rep1,32_rU10_rep2,33_rU10_rep3,34_rot_rep1,35_rot_rep2,36_rot_rep3,37_rot_hxu_rep1,38_rot_hxui_rep2,39_rot_hxu_rep3
CTP,-0.0411103590569231,0.0181384940196815,0,0.438430903760562,0.552624178029447,0.284505589861729,-0.558893359122866,-0.72002592613294,-0.868042668227656,0.0473802864143983,-0.082695386187226,-0.0874704699189153,-1.39732602792058,-1.70817473785681,-1.76981473483654,0.204470465255195,0.121674020057089,0.198335784209674,-1.45464380559656,-1.22478993617332,-1.48079769293284,2.64991897047327,2.54661154360368,2.40459479035885,-1.06208260192955,-1.23212521475914,-1.39349393013979,1.28950833211287,0.908194583425252,0.91844262170701,1.72397510359451,1.54641404395918,1.60218443287538,-1.30550984040394,-1.67599778282438,-1.83464537159623,-3.95696662495693,-4.14693767248339,-3.82718097527484
cystathionine,-0.130631383171619,0,0.134667645716489,-0.94453794057618,-0.758071633803277,-0.86763286644628,-2.93808427162263,-2.18186152108012,-2.11935626725231,-0.508114637394494,-0.50089129000344,-0.343915003382657,-3.21097773544926,-3.46199241038549,-3.45959874721709,-2.01887792825378,-2.16169040009895,-1.78034311378997,-3.28135976590224,-2.81376146163517,-2.8768323676607,-0.514400051415036,-0.410968329193514,-0.413279210663305,-3.64428859390732,-3.77843387025497,-3.72026721365269,0.283161636428721,0.118164677634494,0.146850786605799,-1.05430805479791,-0.953908836219844,-0.859911918218468,-2.58755450245445,-2.78465706193966,-3.02820426813927,-3.18334378343015,-3.35600246030244,-3.28898912407734
cystine,-0.484489446812007,0,0.165472426693783,-1.21218514383644,-0.640590450806647,-0.348942548689106,-3.33506278830205,-3.59738658869504,-0.950178521434709,0.0990680232927237,0.00406679568758421,0.342397634020155,-6.93451634867245,-4.71826097570325,-6.81917989317435,-1.36439402617449,2.07235350052251,-0.758513144531469,-1.93024254028718,-0.905025125004736,-1.18742634325422,-0.0182482061928449,0.252849018971144,-0.076632587925856,-6.45562178838196,-6.9309821559507,NA,0.303070056519282,0.205881433008438,0.180948098017336,-0.586889538894949,-0.682453493178595,-0.21368316280879,0.491308840333454,0.550979401859727,0.16507017160233,1.29311878871813,-1.54819258354013,1.37708705891237
cytidine,-0.119112371365799,0,0.0931695493762129,0.803976887701804,0.781710749198231,0.775415995297393,0.509891377403954,0.457853530150158,0.667326718063661,0.642039666802845,0.797014292504935,1.15184365394937,-1.12676372897642,-1.00817057195642,-0.85416894149486,2.47375627397597,2.51133393556574,2.96943842284126,-0.214247486000272,0.153407184382498,0.243892340463062,10.3950024433166,10.3474368551636,10.5944908638865,4.4988026508003,1.59783268366494,0.823928006055042,3.82289093637714,3.82771074428997,3.94591724662567,4.54707128641978,4.89163145196486,5.14437621583504,0.205718500401908,0.248537447967813,0.577799738607223,4.16161446352208,4.24343056106213,4.4089019179232
cytosine,0,0.533860433804161,-0.0982430527671805,0.676578189793939,1.63711895068674,0.603342317242945,0.47961192712156,0.423891605973521,1.38608563657203,NA,NA,5.22374640107685,NA,-0.54132962437747,0.319060225619137,3.21334490311569,2.77954247260444,3.17701820744259,0.98492739800559,0.176594303878442,0.40557265169729,10.2889405697403,10.191043169656,10.3125248603823,4.72092139628746,2.21835319237414,0.809755941872234,3.81390517932504,3.83808927126792,4.00318117160725,4.73994157329066,4.9060267103235,5.26244822809156,1.13007242607943,0.348023980375501,1.86462616481395,4.37929023726853,4.32146690183708,4.39727659262401
dADP,0,-1.34475150148439,0.488742124582475,-1.21305813477382,0.0370258012412642,NA,1.16136539205297,-0.0801439330409919,-0.102461824437396,0.230785016251731,-0.00274848209224175,-0.257922074870264,0.413134305973317,-0.0502391832718056,-0.132146989436993,1.95771610030506,2.46061127919978,1.73312046678703,NA,-1.68564685770901,-0.303640648190043,-0.470961869509874,0.517594243828852,0.557876750844968,-1.23394030313584,0.947903726747058,-1.19972109838118,-0.529225831033935,NA,-0.946209896202758,NA,NA,NA,3.85660173702863,2.87115117128554,3.37177947137875,-1.53357078071298,0.459799580539189,1.00499280389072
dAMP,-0.267498025126662,0,0.711036336248578,1.18123596049744,1.07064032378806,-0.391188162389945,1.74553606486359,1.10385155794126,-0.194307946915932,-0.901053060125686,-0.2184257900377,NA,-0.929604323201047,0.5074584450683,-1.26039495538315,1.06160926959582,1.9779664197764,2.08169476147305,0.805869875108778,-1.18775251574871,-0.516790543187227,-1.63625797393517,-1.4012132956421,-2.16476747356423,1.27639512003886,1.17536836018783,-1.4749987473955,NA,1.14322694922223,-1.92400717009115,NA,-0.293545349301579,NA,4.55198907342944,4.51792878445527,4.68225073576349,3.15768532119374,2.45663957448955,3.33328901896065
dATP,-0.00395804029585167,0,0.165971282877636,-1.00041710788987,-1.25557356808142,-1.11260348900669,1.47733292271071,0.707405533828703,0.590217128080569,-0.196249204188313,-0.259686701359402,-0.983075582085246,-0.334229149063749,-0.322334028796107,-0.636373211983968,0.430335938855817,0.325909315821875,0.149429167096997,-0.776143882102005,-0.655896770081531,-1.04720816700281,-0.892618795059036,-0.998281314406643,-1.27727283581558,0.116950939714038,0.0437466519327197,-0.303863216418661,-0.0706723534507949,-0.952683414762964,-0.800105064867326,-1.82790496030389,-1.495704825516,-2.10036744191917,-0.792678668982819,-1.05554591149645,-1.53621497119225,NA,NA,NA
dCTP,0,-0.429031503248914,0.131350268669351,-0.168640783564076,0.0660502024857202,-0.506172471026605,-3.24730589438902,-4.38826355845748,-2.79820100645856,1.20602342944742,1.02245785282457,0.997269035961021,-6.4205343213923,-4.91659246662878,-5.08729120919438,-2.18326107059484,-2.44045890877252,-2.59341624201918,-1.35747229171868,-1.00024305907756,-1.04565076555177,0.713909382499175,0.482871556921581,0.363584666962952,-3.46653851709089,-3.65121673217814,-4.38171935734675,-0.468021121487286,-0.974189899484849,-0.90786892673573,-1.64638091917808,-2.14947712595597,-1.83062539248101,-3.61048668960973,-3.25144717099777,-2.96610319423897,NA,NA,-5.4163505272748
dGTP,-0.0630601544275271,0,0.00688767431427243,0.0188315729963971,0.14292942410678,-0.134677767413513,0.258133272120641,0.18800549150301,0.0804209307509326,0.0228676848518974,-0.15613717766556,-0.135814680963783,-1.96435794340985,-2.10628188227752,-2.30862065291459,-0.413687031254531,-0.537079284623604,-0.432215861375938,0.354139401031083,0.530840585461672,0.31175210390524,-0.985319959254325,-1.13587565968932,-1.27484146328431,-1.67917280250869,-1.88201045821172,-2.01406689535832,-0.694196747309736,-1.01411688139289,-1.07462565168592,-1.6845025262776,-1.8247628951404,-1.77743626369573,-1.83644195266136,-2.0890981986352,-2.30157644497777,-4.85949071178634,-5.21736585161691,-5.07699756700533
