Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
GO Biological Processes,19,GO:0008213,protein alkylation,19_GO:0008152 metabolic process,-11,7,10,30242,182,500,21,4.2,0.9,4221|5252|5929|9070|9646|10322|11091|23067|23168|23411|25940|30827|54623|55677|55904|63976|64324|80204|80349|84332|84661,MEN1|PHF1|RBBP5|ASH2L|CTR9|SMYD5|WDR5|SETD1B|RTF1|SIRT1|FAM98A|CXXC1|PAF1|IWS1|KMT2E|PRDM16|NSD1|FBXO11|WDR61|DYDC2|DPY30,-8.4,MyList
GO Biological Processes,19,GO:0006479,protein methylation,19_GO:0008152 metabolic process,-11,7,10,30242,182,500,21,4.2,0.9,4221|5252|5929|9070|9646|10322|11091|23067|23168|23411|25940|30827|54623|55677|55904|63976|64324|80204|80349|84332|84661,MEN1|PHF1|RBBP5|ASH2L|CTR9|SMYD5|WDR5|SETD1B|RTF1|SIRT1|FAM98A|CXXC1|PAF1|IWS1|KMT2E|PRDM16|NSD1|FBXO11|WDR61|DYDC2|DPY30,-8.4,MyList
GO Biological Processes,19,GO:0043967,histone H4 acetylation,19_GO:0008152 metabolic process,-11,13,12,30242,67,500,14,2.8,0.74,86|3054|6688|6879|8089|11091|23411|54556|54934|55677|55683|55929|80314|339287,ACTL6A|HCFC1|SPI1|TAF7|YEATS4|WDR5|SIRT1|ING3|KANSL2|IWS1|KANSL3|DMAP1|EPC1|MSL1,-8.4,MyList
GO Biological Processes,19,GO:0018022,peptidyl-lysine methylation,19_GO:0008152 metabolic process,-11,8.2,11,30242,132,500,18,3.6,0.83,4221|5252|5929|9070|9646|10322|11091|23067|23168|23411|30827|55677|55904|63976|64324|80349|84332|84661,MEN1|PHF1|RBBP5|ASH2L|CTR9|SMYD5|WDR5|SETD1B|RTF1|SIRT1|CXXC1|IWS1|KMT2E|PRDM16|NSD1|WDR61|DYDC2|DPY30,-8.2,MyList
Reactome Gene Sets,6,R-HSA-162906,HIV Infection,,-11,5.9,9.8,30242,234,500,23,4.6,0.94,5431|5432|5478|5901|5905|6396|6749|6829|6872|6873|6874|6877|6878|6879|6882|6884|8086|9972|55706|79643|83860|129401|348995,POLR2B|POLR2C|PPIA|RAN|RANGAP1|SEC13|SSRP1|SUPT5H|TAF1|TAF2|TAF4|TAF5|TAF6|TAF7|TAF11|TAF13|AAAS|NUP153|NDC1|CHMP6|TAF3|NUP35|NUP43,-8.1,MyList
GO Biological Processes,19,GO:0018394,peptidyl-lysine acetylation,19_GO:0008152 metabolic process,-11,7,10,30242,172,500,20,4,0.88,86|3054|3065|3066|6688|6872|6879|8089|11091|23411|23774|25942|53615|54556|54934|55677|55683|55929|80314|339287,ACTL6A|HCFC1|HDAC1|HDAC2|SPI1|TAF1|TAF7|YEATS4|WDR5|SIRT1|BRD1|SIN3A|MBD3|ING3|KANSL2|IWS1|KANSL3|DMAP1|EPC1|MSL1,-8,MyList
Reactome Gene Sets,6,R-HSA-6807505,RNA polymerase II transcribes snRNA genes,,-11,11,12,30242,74,500,14,2.8,0.74,5431|5432|6667|6829|6877|6878|6882|6884|23248|26512|51593|65123|80789|129685,POLR2B|POLR2C|SP1|SUPT5H|TAF5|TAF6|TAF11|TAF13|RPRD2|INTS6|SRRT|INTS3|INTS5|TAF8,-7.8,MyList
CORUM,33,CORUM:1254,Menin-associated histone methyltransferase complex,,-11,60,19,30242,6,500,6,1.2,0.49,4221|5431|5929|9070|11091|84661,MEN1|POLR2B|RBBP5|ASH2L|WDR5|DPY30,-7.8,MyList
GO Biological Processes,19,GO:0031124,mRNA 3'-end processing,19_GO:0008152 metabolic process,-11,13,12,30242,62,500,13,2.6,0.71,1477|1479|6829|9646|9810|10898|23248|29894|54623|55339|79577|81608|123169,CSTF1|CSTF3|SUPT5H|CTR9|RNF40|CPSF4|RPRD2|CPSF1|PAF1|WDR33|CDC73|FIP1L1|LEO1,-7.8,MyList
Reactome Gene Sets,6,R-HSA-5633007,Regulation of TP53 Activity,,-11,7.2,10,30242,160,500,19,3.8,0.86,3065|3066|3622|5571|6749|6872|6873|6874|6877|6878|6879|6882|6884|7157|9219|23774|53615|57459|83860,HDAC1|HDAC2|ING2|PRKAG1|SSRP1|TAF1|TAF2|TAF4|TAF5|TAF6|TAF7|TAF11|TAF13|TP53|MTA2|BRD1|MBD3|GATAD2B|TAF3,-7.8,MyList
GO Biological Processes,19,GO:0006473,protein acetylation,19_GO:0008152 metabolic process,-11,6.3,9.8,30242,202,500,21,4.2,0.9,86|3054|3065|3066|6688|6872|6879|8089|11091|23411|23774|25942|53615|54556|54934|55677|55683|55929|80018|80314|339287,ACTL6A|HCFC1|HDAC1|HDAC2|SPI1|TAF1|TAF7|YEATS4|WDR5|SIRT1|BRD1|SIN3A|MBD3|ING3|KANSL2|IWS1|KANSL3|DMAP1|NAA25|EPC1|MSL1,-7.7,MyList
GO Biological Processes,19,GO:0006487,protein N-linked glycosylation,19_GO:0008152 metabolic process,-10,12,12,30242,65,500,13,2.6,0.71,1603|1650|1798|2673|4249|5373|6184|6185|56886|57171|79947|199857|440138,DAD1|DDOST|DPAGT1|GFPT1|MGAT5|PMM2|RPN1|RPN2|UGGT1|DOLPP1|DHDDS|ALG14|ALG11,-7.5,MyList
