_MEMBER_MyList,_LogP_MyList,GO,Description,_PATTERN_,_RANK_,GiniIndex
1,-4,GO:0050684,regulation of mRNA processing,M1,1,0
1,-10,GO:0006487,protein N-linked glycosylation,M1,1,0
1,-2.1,GO:0070741,response to interleukin-6,M1,1,0
1,-4.8,R-HSA-5696398,Nucleotide Excision Repair,M1,1,0
1,-2.3,GO:0051702,biological process involved in interaction with symbiont,M1,1,0
1,-3.3,GO:0044774,mitotic DNA integrity checkpoint signaling,M1,1,0
1,-4.6,R-HSA-3214841,PKMTs methylate histone lysines,M1,1,0
1,-2.6,GO:0042770,signal transduction in response to DNA damage,M1,1,0
1,-3.6,GO:0017182,peptidyl-diphthamide metabolic process,M1,1,0
1,-2.2,GO:0008631,intrinsic apoptotic signaling pathway in response to oxidative stress,M1,1,0
1,-5.3,CORUM:456,TFTC complex (TATA-binding protein-free TAF-II-containing complex),M1,1,0
1,-2.6,R-HSA-5250941,Negative epigenetic regulation of rRNA expression,M1,1,0
1,-5.2,GO:0043968,histone H2A acetylation,M1,1,0
1,-2.5,GO:0042119,neutrophil activation,M1,1,0
1,-2.2,GO:0071514,genetic imprinting,M1,1,0
1,-2.2,GO:0051457,maintenance of protein location in nucleus,M1,1,0
1,-3.6,GO:0006306,DNA methylation,M1,1,0
1,-4.4,CORUM:7292,EIF2B1-EIF2B2-EIF2B3-EIF2B4-EIF2B5 complex,M1,1,0
1,-3.5,CORUM:1332,Large Drosha complex,M1,1,0
1,-8.8,R-HSA-3108232,SUMO E3 ligases SUMOylate target proteins,M1,1,0
1,-2.9,GO:0098789,pre-mRNA cleavage required for polyadenylation,M1,1,0
1,-3.8,CORUM:698,SIN3-HDAC-SAP30-ARID4 complex,M1,1,0
1,-2.8,GO:0046049,UMP metabolic process,M1,1,0
1,-2.7,R-HSA-1280218,Adaptive Immune System,M1,1,0
1,-4.3,R-HSA-5689603,UCH proteinases,M1,1,0
1,-2.2,WP2064,Neural crest differentiation,M1,1,0
1,-2.4,WP3945,TYROBP causal network in microglia,M1,1,0
1,-2.3,M255,PID HIF1 TFPATHWAY,M1,1,0
1,-3.9,GO:1901361,organic cyclic compound catabolic process,M1,1,0
1,-2.3,CORUM:5614,Emerin complex 32,M1,1,0
1,-3.7,R-HSA-1169408,ISG15 antiviral mechanism,M1,1,0
1,-3.7,GO:0008585,female gonad development,M1,1,0
1,-7.5,GO:1901990,regulation of mitotic cell cycle phase transition,M1,1,0
1,-5.1,R-HSA-72766,Translation,M1,1,0
1,-5.6,CORUM:1505,NCOR2 complex,M1,1,0
1,-2.5,R-HSA-1912420,Pre-NOTCH Processing in Golgi,M1,1,0
1,-4.2,R-HSA-9675151,Disorders of Developmental Biology,M1,1,0
1,-6.2,GO:2001242,regulation of intrinsic apoptotic signaling pathway,M1,1,0
1,-2.7,R-HSA-68882,Mitotic Anaphase,M1,1,0
1,-2.5,GO:0031000,response to caffeine,M1,1,0
1,-4.4,CORUM:1321,"Transcription initiation factor complex (TAF5, TAF6, TAF9, TAF11, TBP)",M1,1,0
1,-2.8,GO:0051100,negative regulation of binding,M1,1,0
1,-2.3,hsa05213,Endometrial cancer,M1,1,0
1,-3.2,GO:1901800,positive regulation of proteasomal protein catabolic process,M1,1,0
1,-4.8,CORUM:6457,MLL1 core complex,M1,1,0
1,-6.2,GO:0050657,nucleic acid transport,M1,1,0
1,-4.3,R-HSA-74158,RNA Polymerase III Transcription,M1,1,0
1,-2.1,M87,PID LKB1 PATHWAY,M1,1,0
1,-2.7,GO:0034728,nucleosome organization,M1,1,0
1,-4.2,GO:0017148,negative regulation of translation,M1,1,0
1,-3.9,R-HSA-9020591,Interleukin-12 signaling,M1,1,0
1,-2.5,GO:0051851,modulation by host of symbiont process,M1,1,0
1,-6.3,GO:0090685,RNA localization to nucleus,M1,1,0
1,-3.2,GO:1903827,regulation of cellular protein localization,M1,1,0
1,-3.1,R-HSA-1989781,PPARA activates gene expression,M1,1,0
1,-2.4,R-HSA-6796648,TP53 Regulates Transcription of DNA Repair Genes,M1,1,0
1,-3.1,GO:1902563,regulation of neutrophil activation,M1,1,0
1,-3.5,GO:1901983,regulation of protein acetylation,M1,1,0
1,-2.1,GO:0000819,sister chromatid segregation,M1,1,0
