"","dmso_cd11b","dmso_gfp","hu_cd11b","hu_gfp","aph_cd11b","aph_gfp","e2_cd11b","e2_gfp","ha_cd11b","ha_gfp","ha_mean_cd11b","ha_mean_gfp","dmso_viab","is_hit"
"Mb",-0.30074,-0.18404,-0.038867,0.093832,-0.022924,-0.31175,-0.1695,-0.24582,-0.026592,-0.23307,-0.0308955,-0.108959,-0.32929,"Not hit"
"Ppa1",-0.57787,-0.39115,-1.707,-0.50583,-1.9553,-0.41661,-2.2928,-2.4495,-1.7841,-0.43372,-1.83115,-0.46122,-0.69748,"Not hit"
"Srp14",-0.93563,-0.5948,-2.5704,-0.8221,-2.3453,0.17223,-2.6765,-2.3901,-2.5505,-0.42225,-2.45785,-0.324935,-0.63947,"Not hit"
"Ramp2",-0.39667,0.092565,-0.10652,-0.25105,-0.12431,-0.17565,-0.3154,0.046916,-0.11746,-0.25125,-0.115415,-0.21335,-0.32498,"Not hit"
"Tmem208",-0.5945,-0.13852,-1.7134,-0.68557,-2.4843,0.018107,-2.2702,-1.3274,-2.0707,-0.3589,-2.09885,-0.3337315,-0.31593,"Not hit"
"Rabgef1",0.095059,-0.084213,-0.48934,0.037939,-0.75429,-0.28886,-0.21579,0.19121,-0.5342,-0.056196,-0.621815,-0.1254605,-0.1712,"Not hit"
"1700125H20Rik",-0.49761,-0.0097535,0.10419,0.061007,-0.1986,-0.012181,0.062825,0.021033,-0.06318,0.060367,-0.047205,0.024413,-0.25433,"Not hit"
"Ino80e",-0.61851,-0.85043,-1.4224,-1.7219,-1.7809,-1.1942,-2.4931,-1.6247,-1.4943,-1.4925,-1.60165,-1.45805,-0.30351,"Not hit"
"Hira",-0.29086,-0.31048,-0.31227,0.12585,-0.88195,-0.4538,0.24704,0.47931,-0.67015,-0.20135,-0.59711,-0.163975,-0.14112,"Not hit"
"Scoc",-0.1265,0.15275,0.11614,0.15267,0.12265,-0.13784,-0.044303,0.22656,0.11765,-0.056277,0.119395,0.007415,-0.064065,"Not hit"
