"","dmso_cd11b","dmso_gfp","hu_cd11b","hu_gfp","aph_cd11b","aph_gfp","e2_cd11b","e2_gfp","ha_cd11b","ha_gfp","ha_mean_cd11b","ha_mean_gfp","dmso_viab","is_hit"
"Olfr669",-0.2001,-0.040334,-0.021119,-0.073947,-0.14685,0.062126,-0.1069,-0.10745,-0.10147,0.040146,-0.0839845,-0.0059105,0.132,"Not hit"
"2310002J15Rik",0.10047,-0.068355,-0.070818,0.031973,-0.026936,0.045773,-0.19901,-0.21226,-0.036987,0.045474,-0.048877,0.038873,-0.017736,"Not hit"
"Olfr578",-0.2029,-0.014379,-0.38034,0.10248,0.50799,-0.26669,0.083173,0.039395,-0.058487,0.017113,0.063825,-0.082105,0.063135,"Not hit"
"Sorcs3",-0.13121,-0.40635,-0.033542,-0.097088,-0.14556,-0.042703,-0.0055979,0.0075602,-0.10131,-0.061339,-0.089551,-0.0698955,-0.11529,"Not hit"
"Wdr18",-0.6968,0.32701,0.013965,0.22324,0.022507,0.65277,0.1873,0.34593,0.022107,0.38658,0.018236,0.438005,-0.31394,"Not hit"
"Cd200r1",-0.050927,0.036642,-0.060254,0.23069,-0.17353,-0.27715,-0.015885,0.20148,-0.072906,0.13603,-0.116892,-0.02323,0.051602,"Not hit"
"Wnt8a",0.020836,0.15829,0.28479,-0.18861,0.14561,-0.12778,-0.22476,0.19343,0.17823,-0.1707,0.2152,-0.158195,0.080145,"Not hit"
"Akap11",-0.2329,-0.1681,-0.054824,-0.16049,-0.1995,0.039853,-0.25958,0.030257,-0.13576,-0.016566,-0.127162,-0.0603185,0.26322,"Not hit"
"Strip1",0.046337,-1.2799,-0.2533,0.4013,-2.031,-0.082168,-0.80758,-0.57301,-0.42668,0.031097,-1.14215,0.159566,-0.97724,"Not hit"
"Cant1",0.038633,0.015649,0.25042,-0.086276,0.78562,0.13515,0.12775,-0.20941,0.42946,0.010369,0.51802,0.024437,-0.54266,"Not hit"
"Snrnp35",0.18715,0.096126,0.058087,0.067412,-0.0375,-0.10254,-0.16794,-0.17562,0.01956,0.019821,0.0102935,-0.017564,-0.070166,"Not hit"
"Tmem67",-0.11246,0.17467,-0.16919,-0.37387,-0.38675,-0.13447,0.10659,-0.066504,-0.21031,-0.25411,-0.27797,-0.25417,-0.30745,"Not hit"
"Tmem136",0.022994,-0.3257,-0.18594,0.1381,0.14602,-0.041009,-0.023085,-0.034564,-0.016599,0.10434,-0.01996,0.0485455,-0.10026,"Not hit"
"Apoa1",0.30454,0.014291,-0.16974,-0.071093,-0.015673,-0.1236,-0.11682,-0.031369,-0.052507,-0.071278,-0.0927065,-0.0973465,0.086061,"Not hit"
"Olfr1413",-0.087781,0.019623,0.074857,-0.014931,0.054934,-0.033823,-0.015689,-0.14201,0.075601,-0.015584,0.0648955,-0.024377,-0.13213,"Not hit"
"Aprt",-0.25231,-0.02832,-0.29797,0.15624,-0.0090733,-0.14896,-0.19874,0.013652,-0.13448,-0.09149,-0.15352165,0.00363999999999999,-0.12978,"Not hit"
"Olfr993",0.033236,-0.18854,0.12067,0.20965,0.06124,0.22839,-0.037197,0.018233,0.074702,0.20949,0.090955,0.21902,-0.0082968,"Not hit"
"Grb2",0.12343,0.021271,-0.156,-0.09673,-0.090677,-0.034558,-0.18127,0.16991,-0.13901,-0.040991,-0.1233385,-0.065644,0.31179,"Not hit"
"Gnpda1",-0.12892,-0.25441,-0.043581,0.0098911,0.16708,0.11149,-0.34737,-0.18793,-3.7681e-05,0.053051,0.0617495,0.06069055,-0.022288,"Not hit"
"Tmem140",-0.18775,-0.025845,0.13655,0.021061,-0.1711,-0.078585,0.16581,-0.15804,-0.068906,-0.032641,-0.017275,-0.028762,0.27787,"Not hit"
"Trappc8",-0.66482,-0.18913,0.019752,-0.28766,0.15449,-0.59477,0.25625,-0.19602,0.099128,-0.51029,0.087121,-0.441215,-1.254,"Not hit"
"Qpct",-0.14658,0.12215,-0.21902,0.21544,-0.033973,-0.009363,0.29413,0.38787,-0.16216,0.10702,-0.1264965,0.1030385,-0.15085,"Not hit"
"Ptp4a3",0.043623,0.081143,-0.025388,0.29033,-0.093018,0.19354,-0.024037,-0.069322,-0.061503,0.2371,-0.059203,0.241935,-0.085856,"Not hit"
"Usmg5",-0.24396,-0.12084,-0.16947,0.31887,-0.24028,-0.064418,-0.34216,-0.1527,-0.16806,0.16053,-0.204875,0.127226,-0.13294,"Not hit"
"Snapc5",-0.15094,-0.2739,-0.81899,-0.13292,-0.46361,-0.29216,-1.1662,-0.81829,-0.77405,-0.22242,-0.6413,-0.21254,-0.78107,"Not hit"
"Anks6",-0.21425,-0.0081433,-0.06216,-0.3757,0.20993,-0.13106,-0.78388,-0.41346,0.038415,-0.27081,0.073885,-0.25338,-0.12119,"Not hit"
"Dnm3",-0.12744,-0.18894,-0.13826,0.097352,0.066293,-0.010928,0.057943,0.096379,-0.087228,0.030974,-0.0359835,0.043212,0.11893,"Not hit"
"Apba1",-0.042502,-0.10625,0.24621,0.10058,-0.12139,-0.086171,0.092421,0.071234,-0.074737,-0.0083808,0.06241,0.0072045,0.11371,"Not hit"
"Rgs14",-0.19855,-0.38057,-0.041662,0.019302,-0.20775,-0.1239,0.16971,-0.09621,-0.095483,-0.029232,-0.124706,-0.052299,-0.050979,"Not hit"
"Epha4",-0.092174,-0.3517,-0.033745,-0.12165,-0.15377,-0.0080245,0.075499,0.11545,-0.054472,-0.017532,-0.0937575,-0.06483725,0.042188,"Not hit"
"Slc38a10",0.27272,0.076272,0.12902,0.18641,0.1468,0.34631,0.32627,0.22275,0.14635,0.31792,0.13791,0.26636,0.05256,"Not hit"
"Mpp3",0.19386,0.075089,0.11337,-0.056567,0.1622,0.24827,0.078459,0.059528,0.16177,0.077419,0.137785,0.0958515,-0.017763,"Not hit"
"Ifi27",-0.0095447,0.19166,-0.35762,0.22056,-0.056381,0.13235,0.088933,-0.0091467,-0.19771,0.1435,-0.2070005,0.176455,-0.053933,"Not hit"
"Ctr9",-0.79898,0.27518,-0.41507,-0.85144,-0.1307,0.69351,-1.5605,0.04323,-0.17908,-0.51427,-0.272885,-0.078965,-0.9875,"GFP hit only"
"Dgkb",-0.17754,0.23329,-0.018217,0.103,-0.034984,-0.0040592,-0.18403,-0.26428,-0.033352,0.055615,-0.0266005,0.0494704,0.29225,"Not hit"
"Trf",0.029669,0.10972,-0.38493,-0.17187,0.0308,0.011946,-0.081763,-0.14178,-0.093609,-0.065308,-0.177065,-0.079962,0.066473,"Not hit"
"Dmrt3",0.11217,-0.024388,0.18852,-0.078692,-0.02865,0.18991,0.12882,0.13106,0.081407,0.089501,0.079935,0.055609,0.031712,"Not hit"
"Kcnb1",-0.065449,-0.014075,0.034421,-0.064985,-0.23318,-0.16793,-0.17567,-0.15865,-0.016545,-0.083501,-0.0993795,-0.1164575,-0.02595,"Not hit"
"Col5a2",-0.16944,-0.0089996,-0.079047,-0.00058422,0.067803,-0.23906,-0.0074169,-0.18995,-0.068663,-0.17905,-0.005622,-0.11982211,-0.11861,"Not hit"
"Gyk",-0.023174,-0.1342,-0.16954,-0.51305,0.29261,-0.25267,0.031945,-0.076378,0.021258,-0.27601,0.061535,-0.38286,0.1912,"Not hit"
"Lhx2",-0.22521,0.038602,-0.12942,-0.18273,-0.05038,0.044901,-0.17875,-0.10545,-0.12796,0.036696,-0.0899,-0.0689145,0.042157,"Not hit"
"Anp32e",-0.23846,-0.13361,-0.40589,-0.19978,-0.1524,0.14149,-0.6167,-0.42531,-0.23724,0.017471,-0.279145,-0.029145,-0.11497,"Not hit"
"Efhd1",-0.21715,-0.2243,-0.25469,-0.068007,0.34981,0.18021,0.23843,0.22782,0.1113,0.05298,0.04756,0.0561015,0.26911,"Not hit"
"Rad54b",-0.10591,-0.16823,-0.33715,-0.31766,-0.19551,0.00266,-0.23663,-0.32578,-0.19529,-0.15191,-0.26633,-0.1575,0.070854,"Not hit"
"Slc17a4",0.16047,0.25808,-0.23543,-0.1493,0.16818,-0.18953,-0.30637,-0.26909,0.041058,-0.18243,-0.033625,-0.169415,0.15983,"Not hit"
"Llgl1",-0.20603,-0.3428,-0.042968,0.16469,0.13441,-0.0044528,0.004984,-0.086079,-0.0026738,0.12644,0.045721,0.0801186,0.053706,"Not hit"
"B930041F14Rik",-0.27514,-0.055348,0.11031,-0.040198,-0.094431,-0.13144,-0.54014,0.09729,-0.036131,-0.13168,0.0079395,-0.085819,-0.34403,"Not hit"
"Hoxd9",0.16484,0.047849,-0.029147,0.18429,0.13475,0.20223,-0.064487,0.010218,0.13432,0.18919,0.0528015,0.19326,0.15817,"Not hit"
"Olfr1454",-0.1655,0.091899,0.094437,0.13691,0.095727,-0.028187,0.12296,0.093868,0.095309,0.097626,0.095082,0.0543615,-0.045211,"Not hit"
"Glipr2",0.051593,0.27953,-0.06509,-0.11695,-0.1193,0.1408,-0.045016,-0.0016735,-0.11967,0.010583,-0.092195,0.011925,-0.054615,"Not hit"
"Pik3ap1",-0.084581,0.13233,0.1783,0.046917,-0.221,-0.15222,0.17788,0.039019,0.097676,-0.066512,-0.02135,-0.0526515,0.2224,"Not hit"
"Gpr63",-0.3375,0.12168,0.033491,0.1195,0.13921,-0.08852,-0.0042122,-0.12787,0.036069,0.026297,0.0863505,0.01549,-0.095189,"Not hit"
"Gnai1",-0.20096,-0.16635,-0.090865,-0.057403,-0.031221,0.1161,-0.17006,0.085043,-0.088315,-0.051344,-0.061043,0.0293485,0.077715,"Not hit"
"Tnks1bp1",-0.26817,-0.11931,-0.041842,-0.18849,-0.089621,-0.15436,0.069987,0.20827,-0.050986,-0.16307,-0.0657315,-0.171425,-0.043012,"Not hit"
"Slc14a2",-0.0050096,0.024525,0.19683,0.057842,0.031739,-0.02565,-0.28011,0.017738,0.10595,0.029092,0.1142845,0.016096,0.1721,"Not hit"
"Stat2",-0.18361,0.083866,0.1574,-0.31933,0.66339,-0.12499,0.080377,-0.32386,0.19599,-0.23987,0.410395,-0.22216,0.30652,"Not hit"
"Fmo3",-0.094687,-0.12652,0.14407,-0.035543,0.074095,0.044063,0.21014,0.5007,0.12745,0.019032,0.1090825,0.00426,0.070054,"Not hit"
"Fkbp14",-0.15014,0.28233,0.0644,0.30252,-0.32735,0.098998,0.33631,0.37929,-0.039433,0.24315,-0.131475,0.200759,-0.077037,"Not hit"
"Faim",0.038575,0.16637,0.073657,0.087652,0.19514,-0.032247,-0.131,-0.15466,0.16753,0.012503,0.1343985,0.0277025,-0.00023564,"Not hit"
"Zfp541",0.014226,0.17994,-0.11394,-0.1643,-0.10094,-0.028025,-0.21994,-0.57699,-0.11358,-0.099226,-0.10744,-0.0961625,-0.08931,"Not hit"
"Tecta",-0.1841,0.30379,0.047101,0.10186,0.066623,0.2667,0.074631,0.085152,0.048599,0.19927,0.056862,0.18428,0.20587,"Not hit"
"I830012O16Rik",-0.032838,0.17042,-0.010064,0.010073,0.17172,-0.046757,-0.024146,0.0886,0.14209,-0.02265,0.080828,-0.018342,0.17983,"Not hit"
"Crebbp",-0.21501,-0.34317,0.034726,-0.27597,-0.14454,-0.0087616,-0.15414,-0.40207,-0.062656,-0.25886,-0.054907,-0.1423658,0.14428,"Not hit"
"Kcnd3",-0.25494,0.083823,-0.21354,-0.3102,-0.014982,-0.20387,-0.39333,0.052211,-0.092889,-0.24272,-0.114261,-0.257035,-0.14477,"Not hit"
"Fbxo45",0.066776,0.16969,0.15664,0.2424,-0.049471,0.14521,-0.22295,0.2231,0.054948,0.19049,0.0535845,0.193805,-0.044409,"Not hit"
"Col25a1",-0.18422,-0.1927,-0.27734,0.15756,-0.19414,0.16048,-0.1094,-0.27337,-0.26343,0.15987,-0.23574,0.15902,0.031436,"Not hit"
"Mogat1",-0.1196,0.14485,-0.049901,0.29055,0.11784,-0.0055091,0.17223,-0.1291,0.090765,0.050417,0.0339695,0.14252045,-0.31693,"Not hit"
"Hlx",0.11498,-0.059225,0.3649,0.11696,-0.0019285,0.050043,0.063459,-0.080568,0.090917,0.11632,0.18148575,0.0835015,0.080391,"Not hit"
"1700011H14Rik",-0.22489,0.12969,-0.013623,0.24925,-0.19765,-0.069209,-0.29366,0.064242,-0.067973,0.14167,-0.1056365,0.0900205,0.097147,"Not hit"
"Pip5kl1",-0.060697,0.080374,-0.26302,0.13186,-0.066615,-0.045198,0.003187,-0.21405,-0.11118,0.083355,-0.1648175,0.043331,0.0029436,"Not hit"
"Nrg3",-0.29407,-0.13547,-0.20855,-0.099646,-0.4316,0.018513,-0.087125,-0.21332,-0.26352,-0.029275,-0.320075,-0.0405665,-0.3489,"Not hit"
"Notch4",-0.18866,-0.11312,0.018071,-0.018803,-0.4242,0.082424,0.083109,0.065344,-0.25497,0.0065475,-0.2030645,0.0318105,-0.026842,"Not hit"
"Olfr1209",-0.17829,-0.25177,-0.011291,-0.1349,-0.23792,-0.12637,-0.099609,0.084048,-0.20849,-0.13557,-0.1246055,-0.130635,0.10716,"Not hit"
"Zfp229",-0.15996,-0.0028557,0.00095213,-0.099345,0.050456,0.058692,0.089527,0.16394,0.017652,-0.013394,0.025704065,-0.0203265,0.072457,"Not hit"
"Stap1",-0.12878,0.16805,0.01937,-0.02756,0.046594,-0.04286,-0.094182,-0.0097076,0.020861,-0.043135,0.032982,-0.03521,0.14771,"Not hit"
"Syt6",-0.17156,-0.14705,0.16515,0.37804,0.12171,0.0030967,0.21094,-0.016106,0.1441,0.099355,0.14343,0.19056835,0.35481,"Not hit"
"Zfr",-0.0087621,0.26654,-0.17809,-0.039834,-0.24904,-0.045454,-0.013195,-0.055788,-0.18549,-0.045731,-0.213565,-0.042644,0.081405,"Not hit"
"Paxip1",-0.36726,-0.66659,-0.016024,-1.4282,-0.93933,-1.4087,-1.5746,-2.0181,-0.65119,-1.4087,-0.477677,-1.41845,-0.63493,"Not hit"
"Sim2",-0.17297,-0.30551,0.11825,0.011631,0.093329,-0.18811,0.13625,-0.12306,0.11975,-0.093776,0.1057895,-0.0882395,-0.12415,"Not hit"
"Wdr81",-0.27194,-0.39576,-0.5614,-0.61761,-0.63534,-0.17863,-0.52926,-1.3171,-0.61496,-0.41204,-0.59837,-0.39812,-0.19061,"Not hit"
"Prex2",-0.33776,0.097904,-0.50317,-0.17579,-0.12643,0.05023,-0.15482,-0.20507,-0.15529,0.0052732,-0.3148,-0.06278,-0.26074,"Not hit"
"Robo4",-0.040074,0.05239,0.14723,-0.22841,0.053303,-0.12885,0.15133,0.26437,0.087128,-0.19793,0.1002665,-0.17863,0.014718,"Not hit"
"Ugt8a",-0.39913,-0.055503,0.3852,-0.51935,-0.0018671,-0.080063,0.075316,-0.49002,0.046501,-0.29847,0.19166645,-0.2997065,-0.25547,"Not hit"
"Alkbh1",-0.28558,-0.21698,-0.0083263,-0.11802,-0.24365,0.32065,-0.10424,-0.086385,-0.075987,-0.018883,-0.12598815,0.101315,-0.18309,"Not hit"
"Olig1",-0.19462,0.0019666,-0.10895,-0.023573,-0.15591,-0.13486,-0.11306,0.2618,-0.15452,-0.078194,-0.13243,-0.0792165,-0.21359,"Not hit"
"Rbbp9",0.060546,-0.25504,-0.009669,0.26929,-0.092464,0.073584,0.24152,0.21743,-0.046873,0.084047,-0.0510665,0.171437,-0.10303,"Not hit"
"1700010I14Rik",0.31959,-0.046006,-0.14934,0.23582,-0.413,-0.25275,0.15999,-0.16069,-0.24896,-0.021315,-0.28117,-0.00846499999999999,0.21851,"Not hit"
"Cldn15",-0.15992,0.11883,-0.15677,0.043753,0.11444,0.097324,-0.041052,0.092019,-0.060963,0.096867,-0.021165,0.0705385,0.14701,"Not hit"
"Gkn2",-0.053747,0.16191,-0.090387,-0.062333,0.1326,-0.13119,-0.08349,-0.22154,0.079009,-0.094608,0.0211065,-0.0967615,-0.26232,"Not hit"
"Ibtk",-0.091899,-0.0039307,-0.25386,-0.25183,0.0072305,-0.043822,0.22745,0.228,-0.096766,-0.123,-0.12331475,-0.147826,0.065294,"Not hit"
"Zfp600",-0.2039,0.064621,-0.04229,-0.073244,-0.14084,0.080501,0.05581,-0.070438,-0.11886,0.0083403,-0.091565,0.0036285,0.18165,"Not hit"
"Pank4",-0.13431,-0.077769,-0.043592,0.22009,0.29869,0.058372,0.13733,0.097002,0.1478,0.13965,0.127549,0.139231,0.18697,"Not hit"
"Cep350",0.0004077,0.079917,0.19036,0.66949,0.079287,0.16272,-0.32247,0.13197,0.16527,0.43364,0.1348235,0.416105,-0.36816,"Not hit"
"Smc6",-0.30668,0.20585,-0.055453,-0.28232,-0.84324,0.22338,-1.0937,-1.0387,-0.58361,0.018444,-0.4493465,-0.02947,-0.23023,"Not hit"
"Alox12",-0.3119,-0.45152,0.1816,-0.13883,-0.063232,0.08168,0.55619,-0.090849,0.0080297,0.069048,0.059184,-0.028575,-0.11311,"Not hit"
"Pak3",-0.049379,0.10853,-0.075494,0.013089,0.061484,0.041238,-0.056474,0.12276,-0.017772,0.013341,-0.007005,0.0271635,0.040737,"Not hit"
"Akap8",-0.19067,0.05444,0.16735,0.083518,0.31869,0.070506,0.10107,0.065122,0.27214,0.08287,0.24302,0.077012,-0.045202,"Not hit"
"Yipf7",-0.11591,-0.12112,-0.22305,-0.041121,-0.049629,-0.033303,0.026589,-0.22456,-0.21392,-0.03374,-0.1363395,-0.037212,0.2186,"Not hit"
"BC026590",-0.12096,0.041794,-0.37397,-0.15085,0.034853,-0.31477,-0.65453,-0.84063,-0.033639,-0.22825,-0.1695585,-0.23281,0.12,"Not hit"
"Mettl8",-0.15322,-0.053838,0.039932,-0.034678,0.27531,0.093477,0.16965,0.10467,0.10808,0.072964,0.157621,0.0293995,0.039409,"Not hit"
"Tmem164",-0.30293,0.41551,-0.00091894,0.25917,-0.011599,-0.047031,0.53093,0.094976,-0.011422,0.0051873,-0.00625897,0.1060695,-0.10975,"Not hit"
"Vbp1",0.38256,0.44797,-0.41113,0.52209,-0.32851,0.22569,-1.1005,-0.96393,-0.41015,0.27114,-0.36982,0.37389,-0.20088,"Not hit"
"Slc30a8",-0.22899,0.10613,0.064735,-0.16696,-0.13403,0.020326,-0.04292,-0.17006,-0.082475,-0.15283,-0.0346475,-0.073317,-0.048518,"Not hit"
"Chst10",-0.34237,-0.062122,-0.11989,-0.24038,-0.062336,-0.051361,-0.0092251,-0.0073149,-0.074935,-0.081308,-0.091113,-0.1458705,-0.006576,"Not hit"
"Amph",-0.21332,0.050091,-0.025038,0.051031,-0.010272,0.18703,0.094826,-0.066967,-0.010668,0.12942,-0.017655,0.1190305,-0.12837,"Not hit"
"Tnni3k",0.015805,-0.18798,0.081281,0.2425,0.013918,-0.10683,-0.28787,-0.074254,0.035721,0.065886,0.0475995,0.067835,-0.1344,"Not hit"
"Als2cr12",0.055114,-0.032413,-0.29639,0.44591,0.044491,0.13555,0.17434,0.1549,-0.21149,0.28304,-0.1259495,0.29073,0.14904,"Not hit"
"Pik3c2b",-0.19591,0.035256,-0.059917,-0.023589,-0.15044,-0.10855,0.10815,0.0068732,-0.11082,-0.077931,-0.1051785,-0.0660695,-0.0018866,"Not hit"
"Chtf8",-0.27479,0.26763,-0.20422,-0.052296,-0.26433,-0.07936,-0.015524,-0.33719,-0.20295,-0.077847,-0.234275,-0.065828,-0.19479,"Not hit"
"Gpr26",0.21409,-0.032592,-0.41896,0.023521,0.04677,-0.10268,-0.17399,0.070294,-0.26906,0.021022,-0.186095,-0.0395795,0.0036982,"Not hit"
"Ppp2r2c",0.025669,0.012261,-0.11875,0.038105,-0.087067,-0.19073,-0.20329,-0.3782,-0.10159,-0.12611,-0.1029085,-0.0763125,-0.10591,"Not hit"
"A330050F15Rik",-0.28773,-0.002749,0.12322,0.42221,0.11412,-0.25412,-0.25296,0.1916,0.11369,0.19121,0.11867,0.084045,-0.041817,"Not hit"
"Rimbp3",-0.24576,0.075161,-0.019573,0.013028,-0.20998,0.40682,0.036263,0.11738,-0.14167,0.16049,-0.1147765,0.209924,0.045404,"Not hit"
"Bglap3",-0.039953,-0.0048078,0.019905,0.065626,0.088394,-0.062374,0.13372,-0.030103,0.030844,0.0059266,0.0541495,0.001626,0.05051,"Not hit"
"Glipr1l1",-0.060466,-0.099787,-0.1004,0.20014,-0.2529,-0.14822,0.2227,-0.12106,-0.16936,0.087009,-0.17665,0.02596,-0.11846,"Not hit"
"Stk38l",-0.1614,-0.31079,-0.2886,-0.017372,0.055986,-0.071858,-0.055609,0.031933,-0.054259,-0.023401,-0.116307,-0.044615,0.02957,"Not hit"
"Ceacam11",-0.071842,0.24974,0.21892,0.26828,0.19244,0.079494,0.12439,0.17012,0.21527,0.16557,0.20568,0.173887,-0.070069,"Not hit"
"Nck2",0.057055,0.068637,0.0071987,-0.11379,0.063299,-0.046327,0.084026,0.14623,0.027776,-0.046764,0.03524885,-0.0800585,0.13216,"Not hit"
"Chka",0.11711,-0.055306,-0.015333,-0.21432,-0.35722,-0.049168,-0.2289,0.11183,-0.29201,-0.1258,-0.1862765,-0.131744,0.13778,"Not hit"
"Asxl3",-0.24512,0.094831,0.084191,-0.064595,-0.027573,0.20431,0.0095243,0.30371,0.064422,0.060768,0.028309,0.0698575,0.058897,"Not hit"
"Mif",-0.044864,-0.011347,0.13992,-0.10372,0.39115,-0.17908,-0.22907,-0.41756,0.20592,-0.10439,0.265535,-0.1414,-0.14835,"Not hit"
"Mrpl14",-0.12623,0.034895,-0.30068,-0.26179,-0.25147,-0.16704,-0.64189,-0.61488,-0.25122,-0.19423,-0.276075,-0.214415,-0.28031,"Not hit"
"Il1rn",-0.064637,-0.12711,-0.3176,-0.08236,-0.13327,-0.040978,0.026862,-0.18317,-0.17489,-0.070502,-0.225435,-0.061669,-0.08604,"Not hit"
"Sh3gl3",-0.15703,0.11765,0.119,0.24996,0.387,0.013398,0.14198,0.46248,0.22856,0.077954,0.253,0.131679,-0.14503,"Not hit"
"Slc25a46",-0.072962,-0.010537,0.15431,0.25339,-0.20861,0.0041418,0.12158,0.0061776,0.03179,0.0082335,-0.02715,0.1287659,-0.028156,"Not hit"
"Rassf2",-0.2618,0.003264,0.22989,0.18796,-0.13582,0.12397,0.031179,-0.13289,0.13786,0.12367,0.047035,0.155965,0.16512,"Not hit"
"Mfap5",0.13735,0.091245,-0.10456,0.23104,0.2018,-0.025825,0.06731,0.098646,-0.03736,0.086424,0.04862,0.1026075,0.014618,"Not hit"
"Tnfsf15",0.038546,0.2662,0.25051,-0.10202,-0.038755,0.0025006,0.18051,-0.014671,0.14689,-0.030505,0.1058775,-0.0497597,0.085846,"Not hit"
"Sdc2",0.15888,0.22405,0.17388,-0.14134,0.23146,-0.0002889,0.10339,-0.34199,0.19409,-0.10311,0.20267,-0.07081445,-0.16911,"Not hit"
"Olfr11",-0.19831,0.070284,0.11675,-0.0087562,0.026786,-0.041164,0.041556,0.25684,0.11236,-0.009412,0.071768,-0.0249601,-0.1749,"Not hit"
"Rasa1",-0.25794,0.1716,0.12618,0.12802,0.22374,0.033044,0.24503,0.37588,0.17002,0.087724,0.17496,0.080532,0.044024,"Not hit"
"Ciapin1",0.18522,-0.37312,0.27019,0.3056,-0.43967,-0.29146,0.084229,-0.16508,-0.0014737,0.0086894,-0.08474,0.00706999999999999,-0.21873,"Not hit"
"Olfr1051",-0.21366,0.036571,-0.057228,-0.16508,-0.083189,0.027949,-0.10361,-0.050414,-0.055752,-0.13928,-0.0702085,-0.0685655,0.13216,"Not hit"
"Slc25a20",-0.21502,0.073529,-0.59868,-0.63146,-0.80398,-0.30477,-0.30365,-0.30277,-0.65532,-0.44754,-0.70133,-0.468115,-0.056464,"Not hit"
"2300002M23Rik",0.0062351,0.17508,0.20427,0.1825,0.032958,0.1301,0.29686,0.34537,0.095259,0.18187,0.118614,0.1563,0.081789,"Not hit"
"Frem2",-0.11197,-0.14477,-0.16487,-0.31483,-0.038715,0.072211,-0.134,-0.07296,-0.10574,-0.099506,-0.1017925,-0.1213095,-0.24489,"Not hit"
"Pnldc1",-0.12805,-0.15003,-0.21191,-0.10989,-0.24896,0.046868,0.036757,0.084325,-0.21158,0.0012514,-0.230435,-0.031511,-0.019157,"Not hit"
"1700122O11Rik",-0.24198,0.026953,-0.26993,0.052197,0.25062,-0.014394,0.02803,-0.10833,-0.15311,0.025876,-0.009655,0.0189015,-0.028997,"Not hit"
"Carm1",0.23535,0.60948,-0.58605,0.64613,-0.24298,0.38436,0.86335,0.29564,-0.48544,0.42006,-0.414515,0.515245,-0.55351,"GFP hit only"
"Ppp1r3e",0.20717,0.14316,0.0194,0.15594,-0.0089474,0.084837,0.055731,-0.13739,-0.0099257,0.099151,0.0052263,0.1203885,0.028081,"Not hit"
"Hmgxb4",-0.18647,-0.042051,0.1755,0.14734,0.26015,0.049181,0.075929,0.069605,0.22125,0.10331,0.217825,0.0982605,0.21772,"Not hit"
"Gas2l1",-0.25203,-0.069467,-0.041649,0.11747,-0.0095475,-0.059058,0.19341,0.038367,-0.041257,0.0081593,-0.02559825,0.029206,0.05928,"Not hit"
"Gm14378",-0.29776,0.1756,-0.037328,0.053952,0.020287,-0.15025,0.069422,-0.24153,-0.036925,-0.018045,-0.0085205,-0.048149,0.053078,"Not hit"
"Whsc1l1",-0.091061,-0.21604,-0.046485,-0.42153,0.21342,-0.39208,-0.76716,-0.83533,0.1439,-0.40306,0.0834675,-0.406805,0.060245,"Not hit"
"Hoxb5",0.098721,0.027176,0.05232,-0.00040885,0.1065,0.0034272,0.19071,0.22107,0.052735,0.0031459,0.07941,0.001509175,0.23804,"Not hit"
"Nptx2",-0.21017,0.12989,-0.17286,0.10125,0.050406,0.059267,0.19067,-0.0010777,-0.13733,0.058662,-0.061227,0.0802585,-0.16115,"Not hit"
"B630005N14Rik",-0.20344,-0.02414,-0.40105,-0.26956,-0.16691,0.47353,-0.19626,0.33892,-0.23465,0.069219,-0.28398,0.101985,-0.059465,"Not hit"
"Mrpl39",-0.57636,-0.8323,-2.304,-2.3771,-2.6942,-1.0339,-3.5952,-3.2751,-2.564,-1.4499,-2.4991,-1.7055,-1.2296,"Not hit"
"Mrpl22",-0.52854,0.38955,-3.0821,-1.5986,-2.5192,-1.1632,-3.1704,-2.6625,-2.5118,-1.4857,-2.80065,-1.3809,-1.2951,"Not hit"
"Zfp160",0.0010554,0.096661,0.22954,0.08062,0.29077,-0.22298,0.061107,-0.0092927,0.26272,-0.043796,0.260155,-0.07118,-0.27408,"Not hit"
"Neurl1b",-0.23931,-0.035139,0.33409,-0.15467,-0.059393,-0.0022551,0.25781,0.31135,0.2993,-0.13111,0.1373485,-0.07846255,-0.16125,"Not hit"
"Hat1",-0.087215,-0.16306,-0.029823,-0.2216,-0.26077,-0.12378,-0.49381,0.00026092,-0.14812,-0.16371,-0.1452965,-0.17269,-0.032331,"Not hit"
"Myom1",-0.33524,0.093963,-0.10493,-0.31221,-0.2459,-0.013471,-0.16011,-0.34821,-0.15917,-0.082463,-0.175415,-0.1628405,-0.00040709,"Not hit"
"Clip4",0.17446,0.14653,0.087987,0.013173,0.1829,0.21589,0.067334,0.0885,0.12841,0.097199,0.1354435,0.1145315,0.010517,"Not hit"
"Cx3cr1",-0.11771,-0.062429,0.11847,0.013422,0.10542,0.0063393,0.24263,-0.14029,0.11999,0.012769,0.111945,0.00988065,0.0095278,"Not hit"
"Eno1",0.028991,-0.50326,0.31649,-0.55341,0.56492,0.22856,-0.22612,-0.32671,0.47653,-0.054855,0.440705,-0.162425,-0.15396,"Not hit"
"Lyl1",0.1493,-0.48964,0.0042238,0.29469,0.01815,0.18867,0.17495,-0.63188,0.017735,0.18794,0.0111869,0.24168,-0.041764,"Not hit"
"Gal3st2",0.11479,0.116,0.063572,-0.19353,-0.09969,-0.3928,0.49502,0.232,0.021923,-0.242,-0.018059,-0.293165,0.13866,"Not hit"
