,tx,slen
1287,hu50,3.25
1288,hu50,2.25
1289,hu50,5.0
1290,hu50,5.0
1291,hu50,4.75
1292,hu50,8.5
1293,hu50,3.5
1294,hu50,2.25
1295,hu50,3.5
1296,hu50,2.75
1297,hu50,16.75
1298,hu50,8.0
1299,hu50,4.25
1300,hu50,4.0
1301,hu50,4.75
1302,hu50,4.75
1303,hu50,3.75
1304,hu50,10.5
1305,hu50,3.5
1306,hu50,5.0
1307,hu50,4.25
1308,hu50,4.0
1309,hu50,6.25
1310,hu50,4.5
1311,hu50,4.25
1312,hu50,5.25
1313,hu50,4.5
1314,hu50,8.25
1315,hu50,4.5
1316,hu50,5.5
1317,hu50,4.5
1318,hu50,3.75
1319,hu50,3.0
1320,hu50,14.25
1321,hu50,5.25
1322,hu50,6.5
1323,hu50,3.5
1324,hu50,6.25
1325,hu50,4.25
1326,hu50,5.0
1327,hu50,5.25
1328,hu50,8.25
1329,hu50,5.0
1330,hu50,3.25
1331,hu50,4.0
1332,hu50,7.75
1333,hu50,4.5
1334,hu50,3.5
1335,hu50,5.0
1336,hu50,4.5
1337,hu50,19.75
1338,hu50,6.5
1339,hu50,5.75
1340,hu50,3.25
1341,hu50,4.0
1681,aph1,27.25
1682,aph1,2.25
1683,aph1,3.5
1684,aph1,6.5
1685,aph1,21.25
1686,aph1,5.25
1687,aph1,58.5
1688,aph1,8.25
1689,aph1,14.75
1690,aph1,4.5
1691,aph1,7.5
1692,aph1,3.25
1693,aph1,7.0
1694,aph1,5.25
1695,aph1,6.0
1696,aph1,5.75
1697,aph1,3.5
1698,aph1,7.5
1699,aph1,4.0
1700,aph1,5.0
1701,aph1,3.5
1702,aph1,18.25
1703,aph1,5.25
1704,aph1,4.25
1705,aph1,5.5
1706,aph1,5.0
1707,aph1,4.5
1708,aph1,8.5
1709,aph1,5.25
1710,aph1,15.75
1711,aph1,6.5
1712,aph1,9.25
1713,aph1,5.25
1714,aph1,4.5
1715,aph1,4.75
1716,aph1,4.0
1717,aph1,4.75
1718,aph1,3.75
1719,aph1,6.75
1720,aph1,5.5
1721,aph1,9.75
1722,aph1,6.25
1723,aph1,5.75
1724,aph1,5.75
1725,aph1,4.0
1726,aph1,20.75
1727,aph1,4.5
1728,aph1,4.5
1729,aph1,4.75
1730,aph1,6.0
1731,aph1,5.5
1732,aph1,4.5
1733,aph1,4.5
1734,aph1,6.0
1735,aph1,4.25
1736,aph1,6.25
1737,aph1,4.5
1738,aph1,10.25
1739,aph1,5.25
1740,aph1,18.25
1741,aph1,14.75
1742,aph1,4.0
1743,aph1,4.25
1744,aph1,4.5
1745,aph1,6.0
1746,aph1,5.75
1747,aph1,5.0
1748,aph1,4.75
1749,aph1,4.25
1750,aph1,7.25
1751,aph1,19.0
1752,aph1,6.0
1753,aph1,4.0
1754,aph1,43.0
1755,aph1,4.5
1756,aph1,4.75
1757,aph1,25.0
1758,aph1,6.25
1759,aph1,4.5
1760,aph1,4.75
1761,aph1,5.0
1762,aph1,5.0
1763,aph1,5.75
1764,aph1,5.0
1765,aph1,3.75
1766,aph1,5.5
1767,aph1,18.25
1768,aph1,5.75
1769,aph1,5.0
1770,aph1,5.25
1771,aph1,4.25
1772,aph1,4.75
1773,aph1,4.75
1774,aph1,3.5
1775,aph1,5.0
1776,aph1,8.75
1777,aph1,5.25
1778,aph1,5.25
1779,aph1,5.5
1780,aph1,10.25
1781,aph1,6.5
1782,aph1,6.5
1783,aph1,45.25
1784,aph1,5.0
1785,aph1,4.25
1786,aph1,6.0
1787,aph1,4.5
1788,aph1,4.5
1789,aph1,5.25
1790,aph1,5.25
1791,aph1,5.0
1792,aph1,3.5
1793,aph1,5.5
1794,aph1,5.25
1795,aph1,51.5
1796,aph1,6.25
1797,aph1,5.0
1798,aph1,7.75
1799,aph1,3.0
1800,aph1,15.25
1801,aph1,33.25
1802,aph1,49.75
1803,aph1,8.0
1804,aph1,4.25
1805,aph1,5.5
1806,aph1,7.5
1807,aph1,6.0
1808,aph1,24.75
1809,aph1,5.0
1810,aph1,30.25
1811,aph1,3.25
1812,aph1,4.25
1813,aph1,27.75
1814,aph1,7.75
1815,aph1,9.75
1816,aph1,5.5
1817,aph1,8.5
1818,aph1,7.75
1819,aph1,6.5
1820,aph1,4.0
1821,aph1,5.0
1822,aph1,5.25
1823,aph1,5.0
1824,aph1,6.25
1825,aph1,4.5
1826,aph1,3.75
1827,aph1,7.5
1828,aph1,4.5
1829,aph1,24.75
1830,aph1,4.25
1831,aph1,4.25
1832,aph1,29.5
1833,aph1,4.25
1834,aph1,4.5
1835,aph1,5.5
1836,aph1,4.25
1837,aph1,6.75
1838,aph1,8.5
1839,aph1,4.5
1840,aph1,7.75
1841,aph1,6.0
1842,aph1,5.0
1843,aph1,4.25
1844,aph1,4.75
1845,aph1,3.75
1846,aph1,5.0
1847,aph1,7.25
1848,aph1,5.25
1849,aph1,3.75
1850,aph1,4.5
1851,aph1,4.0
1852,aph1,4.25
1853,aph1,6.0
1854,aph1,5.0
1855,aph1,5.5
1856,aph1,6.0
1857,aph1,23.5
1858,aph1,4.0
1859,aph1,3.5
1860,aph1,5.0
